#timeI (float32)[1],PositionR (float32)[1],PositionZ (float32)[1]
-0.00100000,0.00000000,0.00000000
-0.00089999,0.00000000,0.00000000
-0.00079998,0.00000000,0.00000000
-0.00069997,0.00000000,0.00000000
-0.00059996,0.00000000,0.00000000
-0.00049995,0.00000000,0.00000000
-0.00039995,0.00000000,0.00000000
-0.00029994,0.00000000,0.00000000
-0.00019993,0.08499717,0.08499717
-0.00009992,0.08499717,0.08499717
0.00000009,0.08499717,0.08499717
0.00010010,0.08499716,0.08499717
0.00020011,0.08499717,0.08499717
0.00030012,0.08499717,0.08499717
0.00040013,0.08499717,0.08499717
0.00050014,0.08499717,0.08499717
0.00060014,0.08499717,0.08499717
0.00070015,0.08499717,0.08499717
0.00080016,0.08499717,0.08499717
0.00090017,0.08499717,0.08499717
0.00100018,0.08499717,0.08499717
0.00110019,0.08499717,0.08499717
0.00120020,0.08499717,0.08499717
0.00130021,0.08499717,0.08499717
0.00140022,0.08499717,0.08499716
0.00150023,0.08499716,0.08499716
0.00160023,0.08499715,0.08499716
0.00170024,0.08499713,0.08499716
0.00180025,0.08499712,0.08499715
0.00190026,0.08499708,0.08499714
0.00200027,0.08499705,0.08499712
0.00210028,0.08499699,0.08499711
0.00220029,0.08499696,0.08499709
0.00230030,0.08499689,0.08499707
0.00240031,0.08499685,0.08499704
0.00250032,0.08499680,0.08499698
0.00260032,0.08499674,0.08499692
0.00270033,0.08499656,0.08499685
0.00280034,0.08499646,0.08499677
0.00290035,0.08499634,0.08499669
0.00300036,0.08499628,0.08499654
0.00310037,0.08499619,0.08499642
0.00320038,0.08499616,0.08499631
0.00330039,0.08499607,0.08499627
0.00340040,0.08499615,0.08499608
0.00350041,0.08499612,0.08499613
0.00360041,0.08499620,0.08499607
0.00370042,0.08499614,0.08499609
0.00380043,0.08499619,0.08499623
0.00390044,0.08499616,0.08499615
0.00400045,0.08499619,0.08499610
0.00410046,0.08499625,0.08499608
0.00420047,0.08499625,0.08499612
0.00430048,0.08499624,0.08499612
0.00440049,0.08499619,0.08499616
0.00450049,0.08499619,0.08499631
0.00460050,0.08499622,0.08499572
0.00470051,0.08499618,0.08499576
0.00480052,0.08499669,0.08499704
0.00490053,0.08499613,0.08499622
0.00500054,0.08499681,0.08499712
0.00510055,0.08499867,0.08499739
0.00520056,0.08499919,0.08499739
0.00530057,0.08499932,0.08499721
0.00540058,0.08499926,0.08499715
0.00550059,0.08499931,0.08499711
0.00560059,0.08499949,0.08499709
0.00570060,0.08499943,0.08499707
0.00580061,0.08499953,0.08499701
0.00590062,0.08499943,0.08499699
0.00600063,0.08499946,0.08499687
0.00610064,0.08499936,0.08499688
0.00620065,0.08499940,0.08499680
0.00630066,0.08499938,0.08496792
0.00640067,0.08499928,0.08496732
0.00650068,0.08499908,0.08496666
0.00660068,0.08499874,0.08496596
0.00670069,0.05481566,0.02896471
0.00680070,0.05261366,0.02692941
0.00690071,0.05121234,0.02534818
0.00700072,0.04984291,0.02320366
0.00710073,0.04857663,0.02088846
0.00720074,0.04683780,0.01825932
0.00730075,0.04335399,0.01541235
0.00740076,0.04039615,0.01238845
0.00750077,0.03783625,0.00916811
0.00760077,0.03558000,0.00680285
0.00770078,0.03382603,0.00388934
0.00780079,0.03267439,0.00171734
0.00790080,0.03167261,-0.00093066
0.00800081,0.03197870,-0.00303848
0.00810082,0.02885489,-0.00474196
0.00820083,0.03022398,-0.00656650
0.00830084,0.03057751,-0.00809228
0.00840085,0.02995582,-0.00896282
0.00850086,0.03061171,-0.00990845
0.00860086,0.03068134,-0.01119781
0.00870087,0.03062298,-0.01173475
0.00880088,0.03058644,-0.01177372
0.00890089,0.03358628,-0.01333087
0.00900090,0.03361781,-0.01302686
0.00910091,0.03193349,-0.01179489
0.00920092,0.03206932,-0.01152368
0.00930093,0.03200924,-0.01029757
0.00940094,0.03036254,-0.00873619
0.00950095,0.03148416,-0.00805291
0.00960095,0.03095245,-0.00682527
0.00970096,0.02818289,-0.00537041
0.00980097,0.02613014,-0.00398810
0.00990098,0.02574833,-0.00286224
0.01000099,0.02468504,-0.00175185
0.01010100,0.02382311,-0.00054299
0.01020101,0.02345558,0.00030884
0.01030102,0.02150480,0.00094595
0.01040103,0.02119485,0.00178782
0.01050104,0.01984995,0.00216153
0.01060104,0.02016181,0.00289279
0.01070105,0.01945737,0.00295902
0.01080106,0.01828514,0.00321730
0.01090107,0.01796534,0.00336147
0.01100108,0.01982928,0.00319434
0.01110109,0.01902285,0.00226009
0.01120110,0.01882843,0.00218415
0.01130111,0.01838598,0.00186660
0.01140112,0.01970915,0.00164100
0.01150113,0.01813306,0.00130036
0.01160113,0.01720375,0.00110637
0.01170114,0.02040075,0.00094001
0.01180115,0.01825432,0.00105358
0.01190116,0.01853459,0.00055624
0.01200117,0.01968347,0.00028708
0.01210118,0.01894340,0.00042969
0.01220119,0.01888448,0.00012405
0.01230120,0.02090731,-0.00033594
0.01240121,0.01994382,-0.00049318
0.01250121,0.01987644,-0.00065700
0.01260122,0.01938487,-0.00047654
0.01270123,0.02038704,-0.00102615
0.01280124,0.01993266,-0.00093333
0.01290125,0.01907560,-0.00085995
0.01300126,0.01889110,-0.00078805
0.01310127,0.01962543,-0.00121960
0.01320128,0.02005761,-0.00129433
0.01330129,0.01939921,-0.00074943
0.01340130,0.02025312,-0.00070020
0.01350131,0.01894434,-0.00064720
0.01360131,0.01953638,-0.00040177
0.01370132,0.02181634,-0.00043762
0.01380133,0.02050262,-0.00021415
0.01390134,0.02013186,0.00004330
0.01400135,0.01968730,0.00017355
0.01410136,0.02091387,-0.00010569
0.01420137,0.02068905,-0.00002997
0.01430138,0.02141088,-0.00028061
0.01440139,0.02191217,-0.00028924
0.01450140,0.02086600,-0.00029701
0.01460140,0.01993200,-0.00008744
0.01470141,0.02204776,-0.00034768
0.01480142,0.02143417,-0.00030162
0.01490143,0.01949140,-0.00022565
0.01500144,0.02137876,-0.00007144
0.01510145,0.02161450,0.00026297
0.01520146,0.02068725,0.00026186
0.01530147,0.02281198,0.00007280
0.01540148,0.02267934,0.00019716
0.01550149,0.02132945,0.00014316
0.01560149,0.02249619,0.00008102
0.01570150,0.02176267,0.00019968
0.01580151,0.02272024,-0.00003132
0.01590152,0.02272983,-0.00017890
0.01600153,0.01985765,0.00000083
0.01610154,0.02139306,-0.00029150
0.01620155,0.02275277,-0.00042401
0.01630156,0.02169534,-0.00037222
0.01640157,0.02146962,-0.00064368
0.01650158,0.02173292,-0.00067396
0.01660159,0.02184613,-0.00064123
0.01670159,0.02381475,-0.00054841
0.01680160,0.02210139,-0.00024027
0.01690161,0.02265151,0.00004564
0.01700162,0.02288525,-0.00009023
0.01710163,0.02310924,0.00000729
0.01720164,0.02384555,0.00018836
0.01730165,0.02408898,0.00012982
0.01740166,0.02419855,-0.00008160
0.01750167,0.02543066,0.00021630
0.01760168,0.02461358,0.00002988
0.01770168,0.02296051,0.00001530
0.01780169,0.02584868,-0.00003546
0.01790170,0.02464485,-0.00009190
0.01800171,0.02397836,-0.00020603
0.01810172,0.02626972,-0.00006888
0.01820173,0.02380930,-0.00005249
0.01830174,0.02548415,0.00003052
0.01840175,0.02543628,0.00010903
0.01850175,0.02362842,0.00005192
0.01860176,0.02525512,0.00006015
0.01870177,0.02482686,0.00013299
0.01880178,0.02397707,0.00015576
0.01890179,0.02514635,0.00009250
0.01900180,0.02413963,-0.00011087
0.01910181,0.02486170,0.00008856
0.01920182,0.02520510,0.00000470
0.01930183,0.02558626,-0.00020411
0.01940184,0.02601208,-0.00045704
0.01950185,0.02620300,-0.00041632
0.01960185,0.02568810,-0.00050867
0.01970186,0.02714773,-0.00041573
0.01980187,0.02662249,-0.00045679
0.01990188,0.02795170,-0.00040252
0.02000189,0.02810971,-0.00019342
0.02010190,0.02694930,0.00004763
0.02020191,0.02617625,0.00022785
0.02030192,0.02839158,0.00022618
0.02040193,0.02869651,0.00018160
0.02050194,0.03050121,0.00011423
0.02060194,0.02939128,0.00013008
0.02070195,0.02949429,0.00031740
0.02080196,0.02928262,0.00024819
0.02090197,0.02831853,0.00033217
0.02100198,0.02782182,0.00008923
0.02110199,0.02726148,0.00015925
0.02120200,0.02816996,0.00010505
0.02130201,0.02772810,0.00003673
0.02140202,0.02887849,-0.00011686
0.02150203,0.02674500,-0.00022895
0.02160204,0.02499926,-0.00005848
0.02170204,0.02554043,0.00025595
0.02180205,0.02682512,0.00026576
0.02190206,0.02640775,0.00049423
0.02200207,0.02807353,0.00021935
0.02210208,0.02806153,0.00010713
0.02220209,0.02699317,0.00013418
0.02230210,0.02776314,-0.00004248
0.02240211,0.02715388,-0.00003186
0.02250212,0.02543954,-0.00012226
0.02260213,0.02732866,-0.00031504
0.02270213,0.02696639,-0.00018874
0.02280214,0.02605057,-0.00022320
0.02290215,0.02693160,-0.00045004
0.02300216,0.02626206,-0.00050439
0.02310217,0.02829184,-0.00048555
0.02320218,0.02788826,-0.00029652
0.02330219,0.02545150,-0.00030966
0.02340220,0.02706957,-0.00020089
0.02350220,0.02474666,0.00003974
0.02360221,0.02492142,-0.00003945
0.02370222,0.02746680,0.00025723
0.02380223,0.02686340,0.00030404
0.02390224,0.02468943,0.00032786
0.02400225,0.02599869,0.00024939
0.02410226,0.02636818,0.00044675
0.02420227,0.02518348,0.00052617
0.02430228,0.02567422,0.00005182
0.02440229,0.02546430,0.00013839
0.02450230,0.02619457,-0.00034637
0.02460230,0.02552374,-0.00016111
0.02470231,0.02425053,-0.00019552
0.02480232,0.02476171,-0.00002761
0.02490233,0.02482864,0.00016449
