#timeI (float32)[1],integ_ch0 (float32)[1],integ_ch1 (float32)[1],integ_ch2 (float32)[1],integ_ch3 (float32)[1],integ_ch4 (float32)[1],integ_ch5 (float32)[1],integ_ch6 (float32)[1],integ_ch7 (float32)[1],integ_ch8 (float32)[1],integ_ch9 (float32)[1],integ_ch10 (float32)[1],integ_ch11 (float32)[1],integ_ch12 (float32)[1],integ_ch13 (float32)[1],integ_ch14 (float32)[1],integ_ch15 (float32)[1],rogowski_ch (float32)[1]
-0.00100000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57235003,32.65412140,-1.93821394,4.74889612,0.00000000
-0.00089999,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57616401,32.65029907,-1.93821394,4.74508095,0.00000000
-0.00079998,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57616401,32.65412140,-1.93821394,4.74508095,0.00000000
-0.00069997,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57616401,32.65029907,-1.93821394,4.74889612,0.00000000
-0.00059996,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57235003,32.65029907,-1.93439901,4.74889612,0.00000000
-0.00049995,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57235003,32.65029907,-1.93821394,4.74508095,0.00000000
-0.00039995,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57616401,32.65412140,-1.93821394,4.74889612,0.00000000
-0.00029994,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,3.57616401,32.65412140,-1.94202900,4.74889612,0.00000000
-0.00019993,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,3.57616401,32.65412140,-1.93821394,4.74889612,17.67419052
-0.00009992,-0.00000000,-0.00000000,-0.00000002,-0.00000006,-0.00000005,-0.00000004,0.00000003,0.00000002,0.00000002,-0.00000000,0.00000001,-0.00000002,3.57235003,32.65412140,-1.93821394,4.74508095,20.88245010
0.00000009,0.00000001,-0.00000000,-0.00000003,-0.00000012,-0.00000008,-0.00000006,0.00000005,0.00000004,0.00000003,-0.00000001,0.00000000,-0.00000005,3.57235003,32.65029907,-1.94202900,4.74126577,33.25719833
0.00010010,0.00000021,0.00000005,-0.00000003,-0.00000003,-0.00000009,-0.00000005,0.00000001,-0.00000001,-0.00000010,-0.00000006,-0.00000012,-0.00000006,3.47316790,32.60453033,-2.04502511,4.59249401,-8.67956543
0.00020011,0.00000039,0.00000011,0.00000000,0.00000006,-0.00000007,-0.00000002,-0.00000004,-0.00000006,-0.00000018,-0.00000008,-0.00000020,-0.00000005,3.53801799,32.63122940,-1.98017597,4.68786001,-82.92833710
0.00030012,0.00000049,0.00000016,0.00000003,0.00000013,-0.00000004,0.00000001,-0.00000009,-0.00000010,-0.00000022,-0.00000009,-0.00000024,-0.00000004,3.56853509,32.64266968,-1.94965804,4.72982216,-74.67846680
0.00040013,0.00000058,0.00000021,0.00000007,0.00000021,-0.00000000,0.00000005,-0.00000014,-0.00000013,-0.00000026,-0.00000009,-0.00000028,-0.00000005,3.57235003,32.64648819,-1.94202900,4.74126577,-42.59569931
0.00050014,0.00000063,0.00000024,0.00000009,0.00000027,0.00000003,0.00000007,-0.00000018,-0.00000017,-0.00000028,-0.00000010,-0.00000031,-0.00000003,3.57235003,32.64648819,-1.93821394,4.74889612,-45.11645889
0.00060014,0.00000068,0.00000027,0.00000012,0.00000025,0.00000003,0.00000009,-0.00000021,-0.00000019,-0.00000032,-0.00000010,-0.00000033,-0.00000005,3.57235003,32.64648819,-1.94202900,4.74126577,-52.90808105
0.00070015,0.00000077,0.00000031,0.00000015,0.00000024,0.00000002,0.00000012,-0.00000026,-0.00000022,-0.00000035,-0.00000011,-0.00000037,-0.00000010,3.57616401,32.64648819,-1.93821394,4.74508095,-44.65819931
0.00080016,0.00000078,0.00000033,0.00000017,0.00000020,0.00000001,0.00000013,-0.00000029,-0.00000024,-0.00000036,-0.00000011,-0.00000038,-0.00000011,3.56853509,32.64266968,-1.94202900,4.74126577,-57.03295898
