#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
187000000,1.548943,4.295530,0
188000000,1.548943,2.222964,0
189000000,1.912215,0.732003,0
190000000,2.500000,12.376431,5.000000
191000000,3.087785,8.858416,0
192000000,3.451057,5.882107,0
193000000,3.451057,3.456802,0
194000000,3.087785,1.597554,0
195000000,2.500000,12.249916,4.766522
196000000,1.912215,8.749928,0
197000000,1.548943,5.791900,0
198000000,1.548943,3.385263,0
199000000,1.912215,1.545355,0
200000000,2.500000,12.802232,5.000000
201000000,3.087785,9.224211,0
202000000,3.451057,6.187073,0
203000000,3.451057,3.699690,0
204000000,3.087785,1.776232,0
205000000,2.500000,10.158412,3.885974
206000000,1.912215,6.971186,0
207000000,1.548943,4.330885,0
208000000,1.548943,2.249807,0
209000000,1.912215,0.749872,0
210000000,2.500000,12.383920,5.000000
211000000,3.087785,8.864841,0
212000000,3.451057,5.887453,0
213000000,3.451057,3.461046,0
214000000,3.087785,1.600657,0
215000000,2.500000,12.213573,4.751235
216000000,1.912215,8.718781,0
217000000,1.548943,5.766023,0
218000000,1.548943,3.364769,0
219000000,1.912215,1.530438,0
220000000,2.500000,12.793329,5.000000
221000000,3.087785,9.216553,0
222000000,3.451057,6.180675,0
223000000,3.451057,3.694579,0
224000000,3.087785,1.772450,0
225000000,2.500000,10.202663,3.904619
226000000,1.912215,7.008503,0
227000000,1.548943,4.361145,0
228000000,1.548943,2.272809,0
229000000,1.912215,0.765225,0
230000000,2.500000,12.390454,5.000000
231000000,3.087785,8.870446,0
232000000,3.451057,5.892116,0
233000000,3.451057,3.464748,0
234000000,3.087785,1.603365,0
235000000,2.500000,12.181865,4.737896
236000000,1.912215,8.691612,0
237000000,1.548943,5.743458,0
238000000,1.548943,3.346907,0
239000000,1.912215,1.517452,0
240000000,2.500000,12.785603,5.000000
241000000,3.087785,9.209907,0
242000000,3.451057,6.175124,0
243000000,3.451057,3.690144,0
244000000,3.087785,1.769169,0
245000000,2.500000,10.241046,3.920791
246000000,1.912215,7.040883,0
247000000,1.548943,4.387416,0
248000000,1.548943,2.292800,0
249000000,1.912215,0.778601,0
250000000,2.500000,12.396217,5.000000
251000000,3.087785,8.875391,0
252000000,3.451057,5.896232,0
253000000,3.451057,3.468016,0
254000000,3.087785,1.605755,0
255000000,2.500000,12.153873,4.726121
256000000,1.912215,8.667632,0
257000000,1.548943,5.723548,0
258000000,1.548943,3.331154,0
259000000,1.912215,1.506009,0
260000000,2.500000,12.778813,5.000000
261000000,3.087785,9.204067,0
262000000,3.451057,6.170246,0
263000000,3.451057,3.686248,0
264000000,3.087785,1.766288,0
265000000,2.500000,10.274762,3.934997
266000000,1.912215,7.069335,0
267000000,1.548943,4.410513,0
268000000,1.548943,2.310391,0
269000000,1.912215,0.790394,0
270000000,2.500000,12.401353,5.000000
271000000,3.087785,8.879798,0
272000000,3.451057,5.899899,0
273000000,3.451057,3.470928,0
274000000,3.087785,1.607886,0
275000000,2.500000,12.128921,4.715624
276000000,1.912215,8.646261,0
277000000,1.548943,5.705808,0
278000000,1.548943,3.317124,0
279000000,1.912215,1.495827,0
280000000,2.500000,12.772787,5.000000
281000000,3.087785,9.198883,0
282000000,3.451057,6.165917,0
283000000,3.451057,3.682790,0
284000000,3.087785,1.763731,0
285000000,2.500000,10.304678,3.947601
286000000,1.912215,7.094588,0
287000000,1.548943,4.431021,0
288000000,1.548943,2.326022,0
289000000,1.912215,0.800892,0
290000000,2.500000,12.405966,5.000000
291000000,3.087785,8.883756,0
292000000,3.451057,5.903193,0
293000000,3.451057,3.473544,0
294000000,3.087785,1.609799,0
295000000,2.500000,12.106509,4.706195
296000000,1.912215,8.627068,0
297000000,1.548943,5.689881,0
298000000,1.548943,3.304533,0
299000000,1.912215,1.486696,0
300000000,2.500000,12.767394,5.000000
301000000,3.087785,9.194245,0
302000000,3.451057,6.162044,0
303000000,3.451057,3.679698,0
304000000,3.087785,1.761444,0
305000000,2.500000,10.331436,3.958875
306000000,1.912215,7.117181,0
307000000,1.548943,4.449376,0
308000000,1.548943,2.340022,0
309000000,1.912215,0.810309,0
310000000,2.500000,12.410137,5.000000
311000000,3.087785,8.887335,0
312000000,3.451057,5.906172,0
313000000,3.451057,3.475910,0
314000000,3.087785,1.611531,0
315000000,2.500000,12.086231,4.697664
316000000,1.912215,8.609705,0
317000000,1.548943,5.675475,0
318000000,1.548943,3.293149,0
319000000,1.912215,1.478446,0
320000000,2.500000,12.762532,5.000000
321000000,3.087785,9.190064,0
322000000,3.451057,6.158552,0
323000000,3.451057,3.676909,0
324000000,3.087785,1.759382,0
325000000,2.500000,10.355560,3.969038
326000000,1.912215,7.137554,0
327000000,1.548943,4.465934,0
328000000,1.548943,2.352658,0
329000000,1.912215,0.818820,0
330000000,2.500000,12.413933,5.000000
331000000,3.087785,8.890592,0
332000000,3.451057,5.908883,0
333000000,3.451057,3.478064,0
