#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
821000000,3.087785,9.144108,0
822000000,3.451057,6.120185,0
823000000,3.451057,3.646284,0
824000000,3.087785,1.736760,0
825000000,2.500000,10.620273,4.080550
826000000,1.912215,7.361397,0
827000000,1.548943,4.648207,0
828000000,1.548943,2.492237,0
829000000,1.912215,0.913555,0
830000000,2.500000,12.457754,5.000000
831000000,3.087785,8.928200,0
832000000,3.451057,5.940191,0
833000000,3.451057,3.502940,0
834000000,3.087785,1.631325,0
835000000,2.500000,11.854439,4.600139
836000000,1.912215,8.411411,0
837000000,1.548943,5.511168,0
838000000,1.548943,3.163580,0
839000000,1.912215,1.384935,0
840000000,2.500000,12.708102,5.000000
841000000,3.087785,9.143260,0
842000000,3.451057,6.119477,0
843000000,3.451057,3.645720,0
844000000,3.087785,1.736343,0
845000000,2.500000,10.625150,4.082604
846000000,1.912215,7.365526,0
847000000,1.548943,4.651576,0
848000000,1.548943,2.494824,0
849000000,1.912215,0.915323,0
850000000,2.500000,12.458598,5.000000
851000000,3.087785,8.928924,0
852000000,3.451057,5.940793,0
853000000,3.451057,3.503419,0
854000000,3.087785,1.631677,0
855000000,2.500000,11.850326,4.598408
856000000,1.912215,8.407895,0
857000000,1.548943,5.508258,0
858000000,1.548943,3.161290,0
859000000,1.912215,1.383288,0
860000000,2.500000,12.707156,5.000000
861000000,3.087785,9.142446,0
862000000,3.451057,6.118798,0
863000000,3.451057,3.645177,0
864000000,3.087785,1.735943,0
865000000,2.500000,10.629834,4.084577
866000000,1.912215,7.369492,0
867000000,1.548943,4.654811,0
868000000,1.548943,2.497310,0
869000000,1.912215,0.917022,0
870000000,2.500000,12.459409,5.000000
871000000,3.087785,8.929621,0
872000000,3.451057,5.941374,0
873000000,3.451057,3.503881,0
874000000,3.087785,1.632015,0
875000000,2.500000,11.846364,4.596741
876000000,1.912215,8.404509,0
877000000,1.548943,5.505456,0
878000000,1.548943,3.159086,0
879000000,1.912215,1.381704,0
880000000,2.500000,12.706245,5.000000
881000000,3.087785,9.141662,0
882000000,3.451057,6.118144,0
883000000,3.451057,3.644656,0
884000000,3.087785,1.735558,0
885000000,2.500000,10.634338,4.086474
886000000,1.912215,7.373304,0
887000000,1.548943,4.657922,0
888000000,1.548943,2.499700,0
889000000,1.912215,0.918656,0
890000000,2.500000,12.460190,5.000000
891000000,3.087785,8.930291,0
892000000,3.451057,5.941932,0
893000000,3.451057,3.504324,0
894000000,3.087785,1.632340,0
895000000,2.500000,11.842560,4.595140
896000000,1.912215,8.401258,0
897000000,1.548943,5.502766,0
898000000,1.548943,3.156969,0
899000000,1.912215,1.380183,0
900000000,2.500000,12.705371,5.000000
901000000,3.087785,9.140912,0
902000000,3.451057,6.117518,0
903000000,3.451057,3.644156,0
904000000,3.087785,1.735189,0
905000000,2.500000,10.638654,4.088292
906000000,1.912215,7.376959,0
907000000,1.548943,4.660903,0
908000000,1.548943,2.501991,0
909000000,1.912215,0.920222,0
910000000,2.500000,12.460940,5.000000
911000000,3.087785,8.930935,0
912000000,3.451057,5.942468,0
913000000,3.451057,3.504750,0
914000000,3.087785,1.632652,0
915000000,2.500000,11.838903,4.593601
916000000,1.912215,8.398132,0
917000000,1.548943,5.500178,0
918000000,1.548943,3.154933,0
919000000,1.912215,1.378720,0
920000000,2.500000,12.704531,5.000000
921000000,3.
