#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.558750;-1.949658;4.775599;0;0.454824;0.001739;0;0.521831
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.558750;-1.945844;4.775599;0;0.454823;0.001740;-0.003187;1.477997
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.558750;-1.945844;4.775599;0;0.454823;0.001740;0.002129;-0.116808
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.558750;-1.945844;4.775599;0;0.454823;0.001740;0.002939;-0.359816
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.562561;-1.949658;4.775599;0;0.454823;0.001739;0.003187;-0.434289
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.562561;-1.945844;4.775599;0;0.454823;0.001740;0.004382;-0.792599
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.558750;-1.945844;4.775599;0;0.454823;0.001740;0.004990;-0.975179
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.562561;-1.945844;4.775599;0;0.454823;0.001739;0.004961;-0.966325
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.558750;-1.953473;4.767969;7.161499;0.454822;0.001739;0.004222;-0.744645
-0.000100;-0.000003;0.000001;-0.000003;-0.000012;-0.000010;0.000001;-0.000002;0.000004;0.000002;-0.000001;0.000002;-0.000012;3.557091;32.558750;-1.945844;4.775599;13.348880;0.454824;0.001739;0.003853;-0.634032
0;-0.000007;0.000001;-0.000007;-0.000025;-0.000021;0;-0.000003;0.000010;0.000005;-0.000001;0.000004;-0.000023;3.560906;32.562561;-1.945844;4.775599;5.557373;0.454825;0.001739;0.003645;-0.571857
0.000100;-0.000083;-0.000019;-0.000017;-0.000061;-0.000037;-0.000023;0.000033;0.000046;0.000066;0.000026;0.000052;-0.000020;3.488427;32.532051;-2.025952;4.664972;4.640747;0.454813;0.001739;0.002939;-0.360005
0.000200;-0.000149;-0.000038;-0.000030;-0.000089;-0.000051;-0.000047;0.000073;0.000080;0.000107;0.000045;0.000086;-0.000032;3.541832;32.554939;-1.964917;4.745081;-31.796261;0.454821;0.001739;-0.004649;1.916328
0.000300;-0.000190;-0.000057;-0.000046;-0.000111;-0.000069;-0.000064;0.000099;0.000103;0.000132;0.000051;0.000103;-0.000035;3.553276;32.554939;-1.953473;4.771784;-35.921139;0.454826;0.001738;-0.004382;1.835900
0.000400;-0.000226;-0.000078;-0.000057;-0.000114;-0.000069;-0.000085;0.000130;0.000118;0.000152;0.000056;0.000121;-0.000013;3.557091;32.558750;-1.953473;4.775599;-8.421631;0.454826;0.001738;-0.004222;1.787964
0.000500;-0.000234;-0.000085;-0.000059;-0.000110;-0.000061;-0.000091;0.000147;0.000126;0.000157;0.000060;0.000123;-0.000006;3.560906;32.558750;-1.945844;4.783228;5.557373;0.454825;0.001739;-0.002939;1.403328
0.000600;-0.000252;-0.000097;-0.000065;-0.000110;-0.000056;-0.000100;0.000161;0.000130;0.000172;0.000060;0.000132;0.000009;3.560906;32.566380;-1.938214;4.783228;4.869873;0.454824;0.001739;-0.001243;0.894807
0.000700;-0.000247;-0.000113;-0.000077;-0.000101;-0.000050;-0.000106;0.000179;0.000134;0.000144;0.000052;0.000122;0.000033;3.618126;32.589272;-1.880994;4.863336;13.348880;0.454832;0.001739;-0.000627;0.709684
0.000800;-0.000264;-0.000117;-0.000074;-0.000101;-0.000039;-0.000106;0.000183;0.000135;0.000178;0.000060;0.000137;0.000037;3.541832;32.554939;-1.961102;4.752710;28.473631;0.454822;0.001739;0.000314;0.427488
0.000900;-0.000290;-0.000125;-0.000081;-0.000111;-0.000045;-0.000099;0.000189;0.000148;0.000195;0.000067;0.000149;0.000023;3.553276;32.554939;-1.949658;4.767969;17.702999;0.454823;0.001739;0.003853;-0.634023
0.001000;-0.000298;-0.000128;-0.000085;-0.000118;-0.000049;-0.000087;0.000185;0.000155;0.000199;0.000069;0.000148;0.000003;3.560906;32.558750;-1.945844;4.779413;1.203247;0.454824;0.001739;0.004222;-0.744677
0.001100;-0.000321;-0.000135;-0.000092;-0.000126;-0.000053;-0.000077;0.000180;0.000162;0.000210;0.000073;0.000157;-0.000009;3.557091;32.558750;-1.949658;4.779413;8.765625;0.454825;0.001739;0.004755;-0.904927
0.001200;-0.000319;-0.000132;-0.000092;-0.000127;-0.000049;-0.000053;0.000167;0.000165;0.000207;0.000074;0.000151;-0.000037;3.564720;32.562561;-1.942029;4.783228;14.036380;0.454826;0.001738;0.004990;-0.975506
0.001300;-0.000330;-0.000136;-0.000095;-0.000130;-0.000048;-0.000034;0.000153;0.000163;0.000214;0.000073;0.000151;-0.000053;3.560906;32.562561;-1.942029;4.783228;10.369750;0.454827;0.001737;0.005000;-0.978761
0.001400;-0.000334;-0.000140;-0.000091;-0.000117;-0.000022;-0.000016;0.000146;0.000158;0.000210;0.000075;0.000149;-0.000048;3.560906;32.566380;-1.938214;4.779413;27.327881;0.454824;0.001739;0.004961;-0.966566
0.001500;-0.000346;-0.000152;-0.000092;-0.000105;-0.000002;-0.000002;0.000141;0.000152;0.000212;0.000075;0.000150;-0.000032;3.549462;32.554939;-1.953473;4.756525;17.932131;0.454821;0.001739;0.004382;-0.792620
