#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
0.113624;-0.007008;-0.007410;-0.005920;-0.003333;-0.007158;-0.008044;-0.008318;-0.008169;-0.006376;-0.001658;-0.005848;-0.006255;-0.204190;36.911308;0.587108;-3.532789;-2941.282458;0.459603;-0.004915;0.445860;-0.002381;0.452393;-0.000368
0.113724;-0.006925;-0.007297;-0.005859;-0.003264;-0.007101;-0.008006;-0.008278;-0.008125;-0.006348;-0.001606;-0.005727;-0.006127;6.498215;40.027908;-2.605784;-10.513670;-2908.759062;0.459283;-0.005068;0.451005;-0.005346;0.454478;-0.001777
0.113824;-0.006946;-0.007247;-0.005829;-0.003183;-0.006987;-0.007872;-0.008204;-0.008082;-0.006300;-0.001602;-0.005781;-0.006088;3.938560;31.360941;3.650302;6.145071;-2887.658999;0.459489;-0.004706;0.438100;-0.002705;0.448634;-0.000369
0.113924;-0.006925;-0.007198;-0.005797;-0.003129;-0.006924;-0.007788;-0.008132;-0.007949;-0.006218;-0.001568;-0.005758;-0.006029;6.021379;32.028511;3.631228;-0.751883;-2860.086114;0.459686;-0.004710;0.441955;-0.003334;0.450395;-0.000654
0.114024;-0.006934;-0.007177;-0.005764;-0.003087;-0.006878;-0.007760;-0.008139;-0.007987;-0.006274;-0.001572;-0.005779;-0.006013;6.879683;39.829540;-0.553483;-10.826470;-2858.142453;0.459547;-0.004463;0.451063;-0.004846;0.454530;-0.001200
0.114124;-0.006866;-0.007150;-0.005684;-0.003080;-0.006724;-0.007556;-0.007971;-0.007904;-0.006241;-0.001562;-0.005750;-0.006041;-0.158414;40.504742;4.451386;-10.658620;-2825.662403;0.459905;-0.004093;0.451322;-0.001237;0.454802;0.000655
0.114224;-0.006786;-0.007095;-0.005616;-0.003101;-0.006752;-0.007671;-0.008054;-0.007927;-0.006203;-0.001546;-0.005657;-0.005993;5.075336;36.381069;-0.114794;-2.216722;-2820.638526;0.459393;-0.004448;0.444919;-0.004174;0.451566;-0.000932
0.114324;-0.006708;-0.007056;-0.005576;-0.003149;-0.006789;-0.007659;-0.007996;-0.007868;-0.006087;-0.001499;-0.005523;-0.005930;4.876973;35.896599;0.541332;-0.374229;-2798.765628;0.459355;-0.004948;0.443733;-0.003917;0.450944;-0.001147
0.114424;-0.006654;-0.007036;-0.005518;-0.003152;-0.006708;-0.007563;-0.007898;-0.007751;-0.006010;-0.001477;-0.005421;-0.005927;-1.405816;41.271500;3.692264;-7.217777;-2770.503100;0.459593;-0.005006;0.449959;-0.001090;0.453991;0.000109
0.114524;-0.006637;-0.007030;-0.005500;-0.003144;-0.006670;-0.007503;-0.007803;-0.007692;-0.005941;-0.001451;-0.005384;-0.005918;6.128190;38.803391;-0.015612;-7.656466;-2753.299570;0.459835;-0.005049;0.448925;-0.004459;0.453607;-0.001545
