#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.507500;31.891180;-1.942029;4.798486;0;0;NaN;NaN;0.463028;0.001616
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.507500;31.894991;-1.938214;4.802301;0;0;NaN;NaN;0.463028;0.001616
-0.000800;0;0;0;-32324.499604;0;0;0;0;0;0;0;0;3.507500;31.891180;-1.942029;4.802301;0;-1259308630.420316;0.439727;-0.090314;0.463030;0.001616
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.511315;31.891180;-1.938214;4.802301;0;0;0.455477;0.012412;0.463030;0.001616
-0.000600;0;0;0;0;0;0;0;0;0;0;-144422.842086;0;3.511315;31.894991;-1.942029;4.798486;0;-5626473222.921750;0.530041;0.066114;0.463025;0.001615
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.511315;31.894991;-1.938214;4.802301;0;0;0.463025;-0.090314;0.463028;0.001616
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.511315;31.894991;-1.938214;4.802301;0;0;0.439727;-0.090314;0.463028;0.001616
-0.000300;0;-1900567102953802.312015;0;0;0;0;0;0;0;0;0;0;3.507500;31.894991;-1.938214;4.802301;0;-74042926719241881627.908696;0.530041;-0.066114;0.463028;0.001616
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.503685;31.891180;-1.949658;4.790857;0.010682;0;NaN;NaN;0.463023;0.001615
-0.000100;0.000022;-0.000013;0.000017;-0.000035;0.000005;0.000004;-0.000006;-0.000006;0.000009;-0.000004;0.000042;-0.000015;3.507500;31.891180;-1.945844;4.798486;1.125470;0.860605;0.630927;0.170614;0.463028;0.001615
0;0.000039;-0.000029;0.000032;-0.000075;0.000002;-0.000003;0;-0.000006;0.000026;-0.000007;0.000087;-0.000025;3.507500;31.891180;-1.945844;4.794672;2.014267;1.619320;0.643176;0.270242;0.463025;0.001615
0.000100;-0.000019;-0.000034;0.000025;-0.000083;-0.000007;-0.000025;0.000021;0.000010;0.000072;0.000009;0.000110;-0.000017;3.450280;31.868290;-2.003064;4.706934;2.232131;2.424006;0.513679;0.390941;0.462984;0.001615
0.000200;-0.000094;-0.000044;-0.000006;-0.000064;-0.000028;-0.000056;0.000062;0.000034;0.000090;0.000022;0.000096;0.000017;3.496056;31.883551;-1.957288;4.775599;-0.017604;1.114151;0.297292;1.237026;0.463018;0.001615
0.000300;-0.000168;-0.000059;-0.000041;-0.000046;-0.000051;-0.000091;0.000106;0.000059;0.000104;0.000033;0.000083;0.000057;3.507500;31.891180;-1.942029;4.798486;-2.702119;-0.558597;1.298891;-3.282713;0.463028;0.001616
0.000400;-0.000240;-0.000075;-0.000077;-0.000028;-0.000075;-0.000126;0.000151;0.000085;0.000116;0.000044;0.000070;0.000099;3.515130;31.891180;-1.942029;4.806116;-5.468111;-2.159631;0.803431;-1.063432;0.463032;0.001615
0.000500;-0.000310;-0.000091;-0.000112;-0.000010;-0.000098;-0.000159;0.000193;0.000110;0.000128;0.000054;0.000057;0.000143;3.511315;31.891180;-1.938214;4.798486;-8.284442;-3.715907;0.730889;-0.738357;0.463028;0.001616
0.000600;-0.000346;-0.000121;-0.000124;-0.000037;-0.000114;-0.000183;0.000227;0.000128;0.000154;0.000061;0.000098;0.000164;3.511315;31.891180;-1.938214;4.806116;-9.042165;-3.621041;0.756054;-0.933170;0.463032;0.001616
0.000700;-0.000365;-0.000160;-0.000124;-0.000089;-0.000125;-0.000201;0.000255;0.000142;0.000186;0.000063;0.000167;0.000174;3.511315;31.894991;-1.938214;4.806116;-8.972961;-3.012679;0.808051;-1.358281;0.463030;0.001616
0.000800;-0.000383;-0.000198;-0.000123;-0.000139;-0.000134;-0.000216;0.000280;0.000155;0.000217;0.000067;0.000234;0.000183;3.511315;31.891180;-1.938214;4.802301;-8.513796;-2.256614;0.911844;-2.118951;0.463030;0.001616
0.000900;-0.000381;-0.000227;-0.000116;-0.000184;-0.000138;-0.000223;0.000296;0.000163;0.000240;0.000070;0.000291;0.000178;3.511315;31.894991;-1.942029;4.802301;-7.349697;-1.226226;1.251614;-4.298328;0.463028;0.001615
