#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
0.771170;0.003733;0.003304;0.003346;0.003741;0.004719;0.006127;0.007047;0.007198;0.006772;0.007515;0.005532;0.004533;-22.321739;0.976958;7.079705;13.221310;2394.251953;0.432359;0.006677;0
0.771270;0.003818;0.003408;0.003469;0.003905;0.004901;0.006336;0.007282;0.007394;0.006906;0.007603;0.005603;0.004607;-16.710340;-0.186521;4.081362;14.491610;2456.870117;0.432029;0.005091;0
0.771370;0.003944;0.003479;0.003508;0.003954;0.004939;0.006381;0.007338;0.007575;0.007137;0.007779;0.005787;0.004743;-28.074289;1.064696;7.709129;16.761339;2505.989990;0.432130;0.007683;0
0.771470;0.004050;0.003582;0.003613;0.004092;0.005093;0.006555;0.007496;0.007672;0.007185;0.007808;0.005806;0.004821;-18.175180;-2.597403;5.305876;16.284510;2552.393066;0.431678;0.005552;0
0.771570;0.004199;0.003665;0.003665;0.004145;0.005128;0.006586;0.007497;0.007807;0.007391;0.008009;0.005982;0.004973;-18.480350;-4.603929;7.987601;14.670900;2600.012939;0.432075;0.006259;0
0.771670;0.004259;0.003747;0.003771;0.004287;0.005298;0.006797;0.007689;0.007968;0.007408;0.007927;0.005947;0.004974;-12.083130;-4.340715;5.984890;13.408230;2640.553955;0.432620;0.004652;0.005719
0.771770;0.004351;0.003799;0.003799;0.004326;0.005331;0.006807;0.007655;0.008024;0.007529;0.008055;0.006064;0.005080;-16.691271;-6.606639;8.803944;14.434390;2669.462891;0.432158;0.005878;0
0.771870;0.004416;0.003859;0.003851;0.004398;0.005417;0.006905;0.007720;0.008104;0.007540;0.008027;0.006085;0.005132;-19.987160;-6.713450;9.727098;16.048000;2695.241943;0.431960;0.006354;0
0.771970;0.004450;0.003908;0.003924;0.004507;0.005548;0.007040;0.007806;0.008140;0.007515;0.007977;0.006056;0.005147;-15.234060;1.541532;7.106408;10.455670;2718.214111;0.435473;0.004974;0
0.772070;0.004487;0.003890;0.003892;0.004486;0.005522;0.006992;0.007723;0.008192;0.007647;0.008090;0.006154;0.005220;-17.465651;-9.742311;5.485166;18.752609;2727.641113;0.430892;0.005345;0
0.772170;0.004529;0.003928;0.003959;0.004581;0.005632;0.007106;0.007795;0.008216;0.007612;0.008023;0.006115;0.005224;-20.605129;1.610196;5.630125;14.567900;2744.687012;0.434733;0.005520;0
0.772270;0.004520;0.003872;0.003904;0.004546;0.005600;0.007065;0.007728;0.008200;0.007621;0.007981;0.006090;0.005200;-10.915830;-2.086235;5.733121;10.440410;2728.604980;0.434715;0.004236;0.004375
0.772370;0.004620;0.003993;0.004003;0.004630;0.005676;0.007117;0.007779;0.008223;0.007615;0.007965;0.006139;0.005303;-8.100592;-0.186521;5.618680;7.606096;2758.375977;0.436246;0.003726;0.009575
0.772470;0.004590;0.003929;0.003944;0.004591;0.005634;0.007053;0.007750;0.008198;0.007592;0.007901;0.006097;0.005277;-6.719675;-0.857906;4.829040;8.224075;2738.125000;0.435775;0.003460;0.005547
0.772570;0.004616;0.003939;0.003952;0.004608;0.005646;0.007049;0.007794;0.008269;0.007680;0.007957;0.006144;0.005311;-19.777349;0.927367;4.180543;13.766820;2752.554932;0.434931;0.005310;0
0.772670;0.004590;0.003891;0.003904;0.004572;0.005595;0.006971;0.007751;0.008227;0.007632;0.007866;0.006126;0.005299;-19.102150;-3.066610;6.724939;13.782070;2732.023926;0.433833;0.005656;0
0.772770;0.004590;0.003878;0.003875;0.004564;0.005572;0.006910;0.007713;0.008211;0.007658;0.007857;0.006131;0.005303;-20.189329;-4.058428;5.237212;15.853450;2726.132080;0.433078;0.005695;0
0.772870;0.004572;0.003851;0.003837;0.004543;0.005534;0.006860;0.007687;0.008203;0.007630;0.007784;0.006088;0.005274;-9.203036;-5.878034;5.431761;9.528698;2711.281006;0.434024;0.004189;0
0.772970;0.004586;0.003845;0.003828;0.004553;0.005534;0.006852;0.007686;0.008232;0.007659;0.007772;0.006095;0.005286;-20.078711;-6.419720;7.712944;14.957000;2713.810059;0.432587;0.006089;0
0.773070;0.004563;0.003788;0.003761;0.004499;0.005455;0.006735;0.007572;0.008174;0.007640;0.007721;0.006055;0.005257;-11.472770;-0.575619;5.870450;11.481820;2686.659912;0.434683;0.004742;0
0.773170;0.004601;0.003824;0.003772;0.004513;0.005453;0.006709;0.007567;0.008212;0.007638;0.007730;0.006060;0.005295;-18.156111;-4.272051;7.945639;14.743370;2692.531006;0.433113;0.006026;0
0.773270;0.004568;0.003826;0.003796;0.004538;0.005467;0.006676;0.007525;0.008166;0.007603;0.007666;0.006032;0.005254;-17.858561;-2.597403;7.136926;13.400610;2683.167969;0.433815;0.005780;0
0.773370;0.004519;0.003745;0.003710;0.004453;0.005378;0.006575;0.007452;0.008140;0.007510;0.007497;0.005919;0.005181;-14.761030;-5.878034;5.679715;15.311760;2643.108887;0.432174;0.005154;0
0.773470;0.004500;0.003700;0.003691;0.004439;0.005371;0.006559;0.007430;0.008080;0.007436;0.007420;0.005831;0.005132;-16.553940;-6.396832;5.302062;15.288880;2623.934082;0.431887;0.005238;0
0.773570;0.004509;0.003673;0.003631;0.004357;0.005259;0.006372;0.007181;0.007941;0.007419;0.007436;0.005933;0.005191;-20.166451;-4.821366;9.654619;14.606050;2598.431885;0.432559;0.006776;0
0.773670;0.004448;0.003632;0.003621;0.004351;0.005266;0.006370;0.007141;0.007811;0.007220;0.007221;0.005756;0.005097;-15.409530;-4.054614;4.455201;16.189140;2563.218994;0.432116;0.004969;0
0.773770;0.004405;0.003570;0.003550;0.004274;0.005174;0.006220;0.006948;0.007729;0.007225;0.007186;0.005744;0.005072;-17.190990;-4.920547;7.133111;16.307400;2531.652100;0.431698;0.005838;0
0.773870;0.004373;0.003525;0.003515;0.004250;0.005154;0.006191;0.006892;0.007682;0.007150;0.007098;0.005683;0.005016;-18.323950;-0.400144;6.129848;14.537380;2510.720947;0.433166;0.005807;0
0.773970;0.004411;0.003608;0.003585;0.004324;0.005219;0.006226;0.006905;0.007674;0.007132;0.007100;0.005679;0.005054;-19.392071;-2.849173;5.523313;16.093769;2527.145020;0.432380;0.005712;0
0.774070;0.004337;0.003478;0.003437;0.004183;0.005046;0.006000;0.006667;0.007576;0.007176;0.007091;0.005708;0.005034;-21.532101;1.228727;4.668823;16.048000;2480.739990;0.433160;0.006372;0
0.774170;0.004300;0.003493;0.003464;0.004225;0.005084;0.006032;0.006747;0.007596;0.007118;0.006978;0.005619;0.004972;-22.398041;-8.319433;9.231189;17.863791;2477.104004;0.430029;0.007007;0
0.774270;0.004197;0.003368;0.003329;0.004095;0.004924;0.005834;0.006573;0.007476;0.007035;0.006859;0.005512;0.004876;-28.249769;3.502281;6.766901;18.287220;2416.705078;0.432584;0.007745;0
0.774370;0.004152;0.003310;0.003275;0.004045;0.004855;0.005731;0.006483;0.007391;0.006951;0.006747;0.005442;0.004816;-30.408880;4.009634;8.247000;18.744980;2383.017090;0.432389;0.008384;0
0.774470;0.004105;0.003210;0.003169;0.003942;0.004729;0.005553;0.006282;0.007218;0.006807;0.006667;0.005424;0.004800;-26.685749;-9.357028;9.158710;25.207060;2333.662109;0.426700;0.008144;0
0.774570;0.004060;0.003178;0.003139;0.003908;0.004684;0.005488;0.006203;0.007154;0.006772;0.006583;0.005364;0.004744;-8.516393;-11.573360;5.374540;19.530809;2309.750000;0.427453;0.004551;0
0.774670;0.004045;0.003131;0.003066;0.003826;0.004579;0.005346;0.006050;0.007068;0.006725;0.006506;0.005336;0.004725;-24.576220;-5.954328;9.357074;20.907909;2276.915039;0.428479;0.008039;0
0.774770;0.003973;0.003050;0.003001;0.003771;0.004519;0.005263;0.005949;0.007022;0.006710;0.006463;0.005280;0.004654;-26.685749;-11.096530;9.238818;25.477900;2247.779053;0.425394;0.008489;0
