#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
0.318662;-0.004382;-0.005661;-0.003977;-0.003032;-0.004161;-0.005427;-0.005428;-0.004558;-0.003375;-0.001423;-0.003704;-0.003722;3.026850;34.382171;2.524969;1.769625;-1928.685092;0.459893;0.000416;-0.004382;0
0.318762;-0.004855;-0.006087;-0.004421;-0.003472;-0.004731;-0.006094;-0.006106;-0.005198;-0.003931;-0.001601;-0.004192;-0.004181;-5.613416;33.218688;6.717310;-7.175816;-2164.210081;0.456690;0.001489;-0.004649;0
0.318862;-0.005320;-0.006507;-0.004857;-0.003901;-0.005293;-0.006780;-0.006830;-0.005933;-0.004581;-0.001809;-0.004688;-0.004631;-2.260306;40.569591;10.196299;-10.773060;-2407.485961;0.452732;0.001704;-0.004843;0
0.318962;-0.005843;-0.006990;-0.005333;-0.004353;-0.005863;-0.007434;-0.007517;-0.006596;-0.005171;-0.001999;-0.005227;-0.005160;-9.588320;35.839378;-1.510969;5.450798;-2656.292915;0.459897;0.001506;-0.004961;0
0.319062;-0.006348;-0.007445;-0.005766;-0.004740;-0.006320;-0.007961;-0.008094;-0.007173;-0.005688;-0.002189;-0.005756;-0.005659;10.953769;45.864381;-7.175779;-11.616109;-2878.445148;0.451955;0.000114;-0.005000;0
0.319162;-0.006910;-0.007989;-0.006249;-0.005218;-0.006836;-0.008510;-0.008704;-0.007791;-0.006299;-0.002414;-0.006384;-0.006286;-9.477694;41.244788;11.462780;-10.567070;-3131.948947;0.454409;0.002441;-0.004911;0
0.319262;-0.007404;-0.008465;-0.006671;-0.005700;-0.007336;-0.009092;-0.009345;-0.008427;-0.006881;-0.002610;-0.006858;-0.006822;2.214321;35.396881;9.948350;-5.680458;-3367.825746;0.457474;0.001823;-0.004755;0
0.319362;-0.007336;-0.008333;-0.006435;-0.005461;-0.006898;-0.008551;-0.008841;-0.008039;-0.006555;-0.002562;-0.006677;-0.006830;-2.363303;35.961449;14.701451;-11.642810;-3249.134778;0.456519;0.002318;-0.004524;0
0.319462;-0.007723;-0.008746;-0.006752;-0.005818;-0.007239;-0.008937;-0.009258;-0.008485;-0.007020;-0.002699;-0.007120;-0.007281;-1.947502;37.334740;10.669330;-4.707713;-3428.595066;0.458327;0.002178;-0.004222;0
0.319562;-0.007712;-0.008657;-0.006534;-0.005556;-0.006782;-0.008342;-0.008685;-0.008039;-0.006707;-0.002651;-0.007076;-0.007351;-1.882652;30.399639;12.843700;3.253538;-3316.447973;0.462940;0.002388;-0.003645;0
0.319662;-0.008117;-0.009048;-0.006886;-0.005939;-0.007212;-0.008815;-0.009198;-0.008539;-0.007197;-0.002823;-0.007542;-0.007768;-4.263017;36.205589;8.704763;-6.168738;-3512.815952;0.459502;0.002370;-0.003187;0
0.319762;-0.008081;-0.008881;-0.006707;-0.005643;-0.006867;-0.008379;-0.008749;-0.008170;-0.006937;-0.002752;-0.007453;-0.007686;-0.642879;33.855741;10.573960;-6.115333;-3407.129764;0.460571;0.002429;-0.002679;0
0.319862;-0.008059;-0.008699;-0.006481;-0.005287;-0.006421;-0.007816;-0.008149;-0.007674;-0.006594;-0.002687;-0.007409;-0.007625;-8.924565;35.023040;5.790341;10.661660;-3278.213977;0.465344;0.002750;-0.001841;0
0.319962;-0.008353;-0.008927;-0.006682;-0.005427;-0.006588;-0.007965;-0.008273;-0.007827;-0.006785;-0.002800;-0.007745;-0.007912;-5.708783;34.969632;3.936404;6.084036;-3373.529195;0.464630;0.002545;-0.000937;0
0.320062;-0.008471;-0.008973;-0.006735;-0.005397;-0.006599;-0.007952;-0.008213;-0.007768;-0.006811;-0.002776;-0.007900;-0.008006;-1.615624;26.146259;5.385984;7.453508;-3387.947082;0.467378;0.002475;-0.000314;0
