#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.787043;0;NaN;NaN;0.439142;-0.004255;0.439166;-0.004252
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;NaN;NaN;0.439140;-0.004255;0.439140;-0.004255
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;NaN;NaN;0.439140;-0.004255;0.439140;-0.004255
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.787043;0;0.450157;0.002440;0.439142;-0.004255;0.439142;-0.004255
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.930585;4.790857;0;NaN;NaN;0.439140;-0.004254;0.439140;-0.004254
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.790857;0;0.554241;0.024200;0.439140;-0.004255;0.439140;-0.004255
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.043770;-1.938214;4.783228;0;NaN;NaN;0.439142;-0.004255;0.439142;-0.004255
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.047581;-1.938214;4.783228;0;0.450157;0.002440;0.439144;-0.004255;0.439144;-0.004255
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.518944;32.047581;-1.938214;4.779413;0;NaN;NaN;0.439146;-0.004254;0.439146;-0.004254
-0.000100;-0.000060;0.000014;-0.000047;0.000059;-0.000028;-0.000038;0.000040;0.000028;-0.000011;0.000011;-0.000073;0.000036;3.526573;32.047581;-1.934399;4.787043;-2.764320;0.571444;0.044306;0.439142;-0.004255;0.439153;-0.004252
