#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.926770;4.783228;0;0;NaN;NaN;0.454886;0.001740;0.454886;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.930585;4.783228;0;0;NaN;NaN;0.454886;0.001740;0.454886;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;-9247.264347;3.530388;32.093361;-1.926770;4.783228;0;-360258006.834769;0.554241;0.024200;0.454886;0.001740;0.533975;0.026487
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0;0.437961;0.004212;0.454886;0.001740;0.454886;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.934399;4.783228;0;0;0.505214;-0.018112;0.454886;0.001740;0.454886;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.089539;-1.930585;4.783228;0;0;0.554241;0.001623;0.454887;0.001740;0.454887;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.089539;-1.930585;4.783228;0;0;0.434453;-0.001852;0.454887;0.001740;0.454887;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0;0.437961;0.004212;0.454886;0.001740;0.454886;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0.008278;0;NaN;NaN;0.454886;0.001740;0.454886;0.001740
-0.000100;0.000047;-0.000020;0.000042;-0.000065;0.000018;0.000014;-0.000018;-0.000021;0.000012;-0.000013;0.000083;-0.000022;3.518944;32.081909;-1.945844;4.764154;2.968661;2.259017;0.619991;0.064824;0.454885;0.001740;0.454930;0.001754
0;0.000056;-0.000029;0.000051;-0.000088;0.000015;0.000004;-0.000010;-0.000019;0.000020;-0.000018;0.000112;-0.000025;3.530388;32.093361;-1.938214;4.779413;3.490880;2.687578;0.631140;0.120375;0.454886;0.001740;0.454939;0.001757
0.000100;0.000014;-0.000017;0.000036;-0.000059;0.000005;-0.000012;0.000005;-0.000006;0.000038;-0.000002;0.000087;-0.000018;3.492241;32.074280;-1.972546;4.722193;3.147121;2.802384;0.550212;0.155739;0.454880;0.001740;0.454936;0.001757
0.000200;-0.000029;-0.000006;0.000018;-0.000029;-0.000003;-0.000023;0.000025;0.000010;0.000051;0.000014;0.000055;-0.000019;3.511315;32.085732;-1.953473;4.752710;2.275734;2.472617;0.438901;0.209203;0.454883;0.001740;0.454932;0.001755
0.000300;-0.000065;0.000002;-0.000004;0.000002;-0.000014;-0.000035;0.000044;0.000025;0.000051;0.000025;0.000017;-0.000014;3.526573;32.089539;-1.934399;4.775599;0.622359;1.313558;0.217919;0.405525;0.454886;0.001740;0.454912;0.001748
0.000400;-0.000098;0.000011;-0.000026;0.000035;-0.000023;-0.000044;0.000060;0.000038;0.000048;0.000034;-0.000023;-0.000007;3.530388;32.089539;-1.930585;4.783228;-0.987321;0.141593;-3.515320;3.594478;0.454887;0.001740;0.454889;0.001741
0.000500;-0.000118;0.000017;-0.000038;0.000055;-0.000030;-0.000051;0.000071;0.000047;0.000047;0.000041;-0.000048;-0.000004;3.534203;32.093361;-1.930585;4.783228;-1.784911;-0.384152;2.326473;-1.309534;0.454886;0.001740;0.454894;0.001742
0.000600;-0.000095;0.000008;-0.000019;0.000020;-0.000025;-0.000048;0.000071;0.000043;0.000060;0.000035;-0.000007;-0.000022;3.530388;32.089539;-1.930585;4.783228;-0.322738;0.813987;-0.271146;0.800336;0.454887;0.001740;0.454903;0.001745
0.000700;-0.000071;-0.000001;0.000001;-0.000014;-0.000018;-0.000043;0.000068;0.000038;0.000072;0.000029;0.000034;-0.000041;3.534203;32.089539;-1.930585;4.783228;1.164827;2.005972;0.226256;0.383886;0.454887;0.001740;0.454926;0.001753
0.000800;-0.000047;-0.000010;0.000021;-0.000048;-0.000010;-0.000035;0.000061;0.000031;0.000082;0.000023;0.000073;-0.000060;3.534203;32.093361;-1.930585;4.783228;2.688998;3.213806;0.353814;0.268038;0.454886;0.001740;0.454949;0.001760
0.000900;-0.000023;-0.000018;0.000043;-0.000081;0;-0.000023;0.000053;0.000022;0.000091;0.000018;0.000111;-0.000078;3.534203;32.093361;-1.930585;4.783228;4.299422;4.488051;0.412894;0.206435;0.454886;0.001740;0.454975;0.001768
0.001000;-0.000009;-0.000022;0.000057;-0.000101;0.000010;-0.000010;0.000043;0.000014;0.000096;0.000013;0.000134;-0.000092;3.530388;32.093361;-1.930585;4.787043;5.189488;5.139321;0.429815;0.179225;0.454887;0.001740;0.454988;0.001773
0.001100;-0.000036;-0.000010;0.000041;-0.000065;0.000014;0.000001;0.000037;0.000016;0.000084;0.000020;0.000090;-0.000085;3.534203;32.089539;-1.934399;4.783228;3.933141;4.131447;0.369050;0.169278;0.454887;0.001740;0.454968;0.001766
0.001200;-0.000063;0.000002;0.000026;-0.000028;0.000018;0.000014;0.000029;0.000016;0.000071;0.000027;0.000045;-0.000078;3.530388;32.089539;-1.930585;4.783228;2.644622;3.069095;0.267470;0.149533;0.454887;0.001740;0.454947;0.001760
0.001300;-0.000090;0.000014;0.000011;0.000010;0.000024;0.000030;0.000018;0.000015;0.000057;0.000035;0;-0.000071;3.530388;32.093361;-1.930585;4.783228;1.452385;2.082610;0.072937;0.092547;0.454886;0.001740;0.454927;0.001753
0.001400;-0.000120;0.000025;-0.000006;0.000046;0.000027;0.000039;0.000013;0.000017;0.000043;0.000042;-0.000042;-0.000062;3.526573;32.089539;-1.934399;4.775599;-0.026909;0.865008;-0.722324;-0.013846;0.454886;0.001740;0.454902;0.001746
0.001500;-0.000141;0.000031;-0.000016;0.000070;0.000027;0.000044;0.000012;0.000018;0.000036;0.000048;-0.000067;-0.000055;3.530388;32.089539;-1.934399;4.779413;-0.777651;0.287880;-3.582492;-0.423610;0.454886;0.001740;0.454892;0.001742
0.001600;-0.000124;0.000017;0.000001;0.000035;0.000030;0.000040;0.000019;0.000016;0.000048;0.000042;-0.000023;-0.000066;3.526573;32.089539;-1.938214;4.771784;0.515961;1.373102;-0.299178;0.062444;0.454885;0.001740;0.454912;0.001749
0.001700;-0.000107;0.000003;0.000017;-0.000002;0.000029;0.000030;0.000032;0.000017;0.000064;0.000036;0.000022;-0.000078;3.534203;32.089539;-1.934399;4.779413;1.744676;2.437759;0.081705;0.143751;0.454886;0.001740;0.454934;0.001756
