#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.480272;0.002306;0;0
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.480308;0.002306;0.001243;0
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.083534;0;0.480306;0.002307;0.001545;0
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.480309;0.002306;0.002409;0.003080
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.480309;0.002306;0.002939;0.018985
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.087348;0;0.480309;0.002307;0.003423;0.033485
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.091163;0;0.480311;0.002307;0.003645;0.040148
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.091163;0;0.480311;0.002306;0.004222;0.057466
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.053804;0.075940;0.087348;-0.420580;0.480306;0.002306;0.004524;0.066541
-0.000100;0;0;0;-0.000004;0;0.000014;-0.000014;-0.000005;0;0;0;-0.000008;0.001803;0.049989;0.075940;0.087348;-0.901993;0.480306;0.002306;0.004843;0.076113
0;0;0.000004;0.000004;-0.000008;0;0.000027;-0.000027;-0.000009;-0.000004;0;0;-0.000016;-0.002012;0.049989;0.075940;0.087348;-1.473946;0.480304;0.002306;0.004961;0.079636
0.000100;-0.000064;-0.000007;0;-0.000030;0.000004;0.000027;-0.000018;0.000014;0.000048;0.000053;0.000037;-0.000016;-0.047788;0.027101;0.018720;-0.080498;0.357792;0.480210;0.002304;0.005000;0.080869
