#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005956;0.458672;0.022350;9.813205;14.555175
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005956;0.458672;0.022350;9.813205;14.555175
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.083534;0;0.005867;0.459155;0.022737;9.832278;14.532287
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005873;0.459170;0.023213;9.813205;14.555175
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005946;0.458455;0.022319;9.813205;14.555175
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.087348;0;0.005906;0.459243;0.022441;9.813205;14.532287
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.091163;0;0.005875;0.458871;0.022298;9.794131;14.532287
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.091163;0;0.005928;0.458969;0.022328;9.794131;14.555175
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.053804;0.075940;0.087348;-0.420580;0;NaN;NaN;9.832278;14.555175
-0.000100;0.000001;0.000002;0.000001;-0.000003;-0.000001;0.000011;-0.000012;-0.000003;-0.000002;0.000001;0;-0.000008;0.001803;0.049989;0.075940;0.087348;-0.901994;-0.502625;0.469729;0.079099;9.813205;14.555175
0;0.000001;0.000005;0.000002;-0.000007;0;0.000025;-0.000028;-0.000007;-0.000004;0.000003;-0.000001;-0.000017;-0.002012;0.049989;0.075940;0.087348;-1.473946;-1.090919;0.473660;0.080092;9.813205;14.532287
0.000100;-0.000064;-0.000008;0.000001;-0.000031;0.000004;0.000028;-0.000020;0.000013;0.000046;0.000051;0.000037;-0.000015;-0.047788;0.027101;0.018720;-0.080498;0.357792;1.561842;0.307452;0.377783;10.537995;14.600951
0.000200;-0.000124;-0.000026;-0.000007;-0.000045;0.000008;0.000033;-0.000013;0.000026;0.000075;0.000081;0.000063;-0.000019;-0.013456;0.042360;0.053052;-0.030907;0.185682;2.088694;0.211936;0.507270;10.366334;14.600951
0.000300;-0.000162;-0.000042;-0.000016;-0.000055;0.000008;0.000040;-0.000012;0.000034;0.000086;0.000093;0.000078;-0.000019;-0.002012;0.049989;0.037794;0.033943;-1.258267;1.340413;-0.065692;0.998868;10.080233;14.761168
0.000400;-0.000188;-0.000054;-0.000019;-0.000051;0.000017;0.000038;-0.000004;0.000036;0.000095;0.000098;0.000088;-0.000009;0.009432;0.049989;0.041608;0.060645;-1.332630;1.848357;0.015551;0.796948;9.946719;14.806944
0.000500;-0.000215;-0.000070;-0.000025;-0.000048;0.000021;0.000029;0.000016;0.000045;0.000104;0.000107;0.000101;0.000009;0.017062;0.053804;0.041608;0.075904;-0.680322;2.853803;0.130616;0.595872;9.889498;14.852721
0.000600;-0.000233;-0.000082;-0.000031;-0.000047;0.000021;0.000014;0.000038;0.000053;0.000115;0.000109;0.000110;0.000021;0.043765;0.080507;0.049238;0.167457;-0.277294;3.429192;0.159780;0.555030;9.565250;14.967161
