#timeI (float64)[1];PositionZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.051605;0.085000;-0.004000;26.699307
0.051705;0.085000;-0.004000;26.699306
0.051805;0.085000;-0.004000;26.699304
0.051905;0.085000;-0.004000;26.699303
0.052005;0.085000;-0.004000;26.699302
0.052105;0.085000;-0.004000;26.699300
0.052205;0.085000;-0.004000;26.699299
0.052305;0.085000;-0.004000;26.699298
0.052405;0.085000;-0.004000;26.699296
0.052505;0.085000;-0.004000;26.699295
0.052605;0.085000;-0.004000;26.699294
0.052705;0.085000;-0.004000;26.699292
0.052805;0.085000;-0.004000;26.699291
0.052905;0.085000;-0.004000;26.699290
0.053005;0.085000;-0.004000;26.699288
0.053105;0.085000;-0.004000;26.699287
0.053205;0.085000;-0.004000;26.699286
0.053305;0.085000;-0.004000;26.699284
0.053405;0.085000;-0.004000;26.699283
0.053505;0.085000;-0.004000;26.699282
0.053605;0.085000;-0.004000;26.699280
0.053705;0.085000;-0.004000;26.699279
0.053805;0.085000;-0.004000;26.699278
0.053905;0.085000;-0.004000;26.699276
0.054005;0.085000;-0.004000;26.699275
0.054105;0.085000;-0.004000;26.699274
0.054205;0.085000;-0.004000;26.699272
0.054305;0.085000;-0.004000;26.699271
0.054405;0.085000;-0.004000;26.699270
0.054505;0.085000;-0.004000;26.699268
0.054605;0.085000;-0.004000;26.699267
0.054705;0.085000;-0.004000;26.699266
0.054805;0.085000;-0.004000;26.699264
0.054905;0.085000;-0.004000;26.699263
0.055005;0.085000;-0.004000;26.699262
0.055105;0.085000;-0.004000;26.699260
0.055205;0.085000;-0.004000;26.699259
0.055305;0.085000;-0.004000;26.699258
0.055405;0.085000;-0.004000;26.699256
0.055505;0.085000;-0.004000;26.699255
0.055605;0.085000;-0.004000;26.699254
0.055705;0.085000;-0.004000;26.699252
0.055805;0.085000;-0.004000;26.699251
0.055905;0.085000;-0.004000;26.699250
0.056005;0.085000;-0.004000;26.699248
0.056105;0.085000;-0.004000;26.699247
0.056205;0.085000;-0.004000;26.699246
0.056305;0.085000;-0.004000;26.699244
0.056405;0.085000;-0.004000;26.699243
0.056505;0.085000;-0.004000;26.699242
0.056605;0.085000;-0.004000;26.699240
0.056705;0.085000;-0.004000;26.699239
0.056805;0.085000;-0.004000;26.699238
0.056905;0.085000;-0.004000;26.699236
0.057005;0.085000;-0.004000;26.699235
0.057105;0.085000;-0.004000;26.699233
0.057205;0.085000;-0.004000;26.699232
0.057305;0.085000;-0.004000;26.699231
0.057405;0.085000;-0.004000;26.699229
0.057505;0.085000;-0.004000;26.699228
0.057605;0.085000;-0.004000;26.699227
0.057705;0.085000;-0.004000;26.699225
0.057805;0.085000;-0.004000;26.699224
0.057905;0.085000;-0.004000;26.699223
0.058005;0.085000;-0.004000;26.699221
0.058105;0.085000;-0.004000;26.699220
0.058205;0.085000;-0.004000;26.699219
0.058305;0.085000;-0.004000;26.699217
0.058405;0.085000;-0.004000;26.699216
0.058505;0.085000;-0.004000;26.699215
0.058605;0.085000;-0.004000;26.699213
0.058705;0.085000;-0.004000;26.699212
0.058805;0.085000;-0.004000;26.699211
0.058905;0.085000;-0.004000;26.699209
0.059005;0.085000;-0.004000;26.699208
0.059105;0.085000;-0.004000;26.699207
0.059205;0.085000;-0.004000;26.699205
0.059305;0.085000;-0.004000;26.699204
0.059405;0.085000;-0.004000;26.699203
0.059505;0.085000;-0.004000;26.699201
0.059605;0.085000;-0.004000;26.699200
0.059705;0.085000;-0.004000;26.699199
0.059805;0.085000;-0.004000;26.699197
0.059905;0.085000;-0.004000;26.699196
0.060005;0.085000;-0.004000;26.699195
0.060106;0.085000;-0.004000;26.699193
0.060206;0.085000;-0.004000;26.699192
0.060306;0.085000;-0.004000;26.699191
0.060406;0.085000;-0.004000;26.699189
0.060506;0.085000;-0.004000;26.699188
0.060606;0.085000;-0.004000;26.699187
0.060706;0.085000;-0.004000;26.699185
0.060806;0.085000;-0.004000;26.699184
0.060906;0.085000;-0.004000;26.699183
0.061006;0.085000;-0.004000;26.699181
0.061106;0.085000;-0.004000;26.699180
0.061206;0.085000;-0.004000;26.699179
0.061306;0.085000;-0.004000;26.699177
0.061406;0.085000;-0.004000;26.699176
0.061506;0.085000;-0.004000;26.699175
0.061606;0.085000;-0.004000;26.699173
0.061706;0.085000;-0.004000;26.699172
0.061806;0.085000;-0.004000;26.699171
0.061906;0.085000;-0.004000;26.699169
0.062006;0.085000;-0.004000;26.699168
0.062106;0.085000;-0.004000;26.699167
0.062206;0.085000;-0.004000;26.699165
0.062306;0.085000;-0.004000;26.699164
0.062406;0.085000;-0.004000;26.699163
0.062506;0.085000;-0.004000;26.699161
0.062606;0.085000;-0.004000;26.699160
0.062706;0.085000;-0.004000;26.699159
0.062806;0.085000;-0.004000;26.699157
0.062906;0.085000;-0.004000;26.699156
0.063006;0.085000;-0.004000;26.699155
0.063106;0.085000;-0.004000;26.699153
0.063206;0.085000;-0.004000;26.699152
0.063306;0.085000;-0.004000;26.699151
0.063406;0.085000;-0.004000;26.699149
0.063506;0.085000;-0.004000;26.699148
0.063606;0.085000;-0.004000;26.699147
0.063706;0.085000;-0.004000;26.699145
0.063806;0.085000;-0.004000;26.699144
0.063906;0.085000;-0.004000;26.699143
0.064006;0.085000;-0.004000;26.699141
0.064106;0.085000;-0.004000;26.699140
0.064206;0.085000;-0.004000;26.699139
0.064306;0.085000;-0.004000;26.699137
0.064406;0.085000;-0.004000;26.699136
