#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.425272;-0.002594;0.077832
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.425233;-0.002596;0.115183
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.083534;0;0.425235;-0.002595;0.133064
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.425233;-0.002596;0.150142
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.425233;-0.002596;0.158254
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.087348;0;0.425233;-0.002595;0.173459
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.091163;0;0.425231;-0.002595;0.180527
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.091163;0;0.425231;-0.002596;0.193456
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.053804;0.075940;0.087348;-0.420580;0.425235;-0.002596;0.204529
-0.000100;0.000001;0.000002;0.000001;-0.000003;-0.000001;0.000011;-0.000012;-0.000003;-0.000002;0.000001;0;-0.000008;0.001803;0.049989;0.075940;0.087348;-0.901994;0.425236;-0.002596;0.213596
0;0.000001;0.000005;0.000002;-0.000007;0;0.000025;-0.000028;-0.000007;-0.000004;0.000003;-0.000001;-0.000017;-0.002012;0.049989;0.075940;0.087348;-1.473946;0.425240;-0.002594;0.217296
0.000100;-0.000064;-0.000008;0.000001;-0.000031;0.000004;0.000028;-0.000020;0.000013;0.000046;0.000051;0.000037;-0.000015;-0.047788;0.027101;0.018720;-0.080498;0.357792;0.425316;-0.002597;0.225268
0.000200;-0.000124;-0.000026;-0.000007;-0.000045;0.000008;0.000033;-0.000013;0.000026;0.000075;0.000081;0.000063;-0.000019;-0.013456;0.042360;0.053052;-0.030907;0.185682;0.425303;-0.002597;0.227917
0.000300;-0.000162;-0.000042;-0.000016;-0.000055;0.000008;0.000040;-0.000012;0.000034;0.000086;0.000093;0.000078;-0.000019;-0.002012;0.049989;0.037794;0.033943;-1.258267;0.425269;-0.002606;0.226984
0.000400;-0.000188;-0.000054;-0.000019;-0.000051;0.000017;0.000038;-0.000004;0.000036;0.000095;0.000098;0.000088;-0.000009;0.009432;0.049989;0.041608;0.060645;-1.332630;0.425258;-0.002608;0.223516
0.000500;-0.000215;-0.000070;-0.000025;-0.000048;0.000021;0.000029;0.000016;0.000045;0.000104;0.000107;0.000101;0.000009;0.017062;0.053804;0.041608;0.075904;-0.680322;0.425259;-0.002609;0.180963
0.000600;-0.000233;-0.000082;-0.000031;-0.000047;0.000021;0.000014;0.000038;0.000053;0.000115;0.000109;0.000110;0.000021;0.043765;0.080507;0.049238;0.167457;-0.277294;0.425229;-0.002615;0.166608
0.000700;-0.000252;-0.000095;-0.000038;-0.000046;0.000022;-0.000001;0.000064;0.000066;0.000126;0.000118;0.000120;0.000032;0.085726;0.133912;0.030164;0.163642;0.858127;0.425265;-0.002632;0.151227
0.000800;-0.000269;-0.000109;-0.000045;-0.000046;0.000021;-0.000016;0.000090;0.000078;0.000136;0.000122;0.000128;0.000045;0.184908;0.236909;0.041608;-0.622183;1.622379;0.425720;-0.002658;0.134950
0.000900;-0.000279;-0.000114;-0.000053;-0.000056;0.000012;-0.000022;0.000103;0.000093;0.000145;0.000132;0.000134;0.000033;0.242128;0.290314;0.060682;-1.530079;1.490610;0.426207;-0.002669;0.117377
0.001000;-0.000295;-0.000124;-0.000065;-0.000070;0;-0.000027;0.000115;0.000107;0.000156;0.000139;0.000141;0.000026;0.615968;0.442902;0.095014;-2.216722;0.602057;0.426629;-0.002771;0.101925
0.001100;-0.000313;-0.000131;-0.000075;-0.000084;-0.000011;-0.000034;0.000125;0.000118;0.000168;0.000143;0.000149;0.000018;1.119506;0.587860;0.217084;-2.735520;-0.627438;0.426959;-0.002886;0.086576
0.001200;-0.000328;-0.000140;-0.000086;-0.000097;-0.000019;-0.000036;0.000134;0.000132;0.000178;0.000151;0.000154;0.000010;1.779447;0.877776;0.175122;-2.941513;-1.296896;0.427208;-0.003096;0.074088
0.001300;-0.000338;-0.000146;-0.000095;-0.000108;-0.000026;-0.000033;0.000135;0.000138;0.000186;0.000151;0.000156;-0.000002;2.351650;1.312651;0.316266;-3.433608;-2.601702;0.427673;-0.003227;0.059505
0.001400;-0.000353;-0.000157;-0.000099;-0.000107;-0.000019;-0.000036;0.000147;0.000145;0.000194;0.000155;0.000159;0.000003;2.931482;1.697934;0.239972;-4.074475;-2.013041;0.428198;-0.003423;0.047464
0.001500;-0.000356;-0.000165;-0.000100;-0.000099;-0.000008;-0.000032;0.000151;0.000147;0.000195;0.000153;0.000156;0.000005;3.946189;2.418910;0.213269;-6.134406;-1.216780;0.429614;-0.003734;0.039745
0.001600;-0.000365;-0.000174;-0.000102;-0.000091;0.000004;-0.000027;0.000150;0.000149;0.000198;0.000154;0.000156;0.000007;5.174518;3.155144;-0.030871;-7.557284;-0.598441;0.430717;-0.004174;0.037040
0.001700;-0.000373;-0.000184;-0.000103;-0.000082;0.000016;-0.000023;0.000151;0.000148;0.000196;0.000151;0.000154;0.000011;6.452438;4.101187;-0.648850;-8.575806;-0.198864;0.431718;-0.004741;0.032872
0.001800;-0.000380;-0.000194;-0.000105;-0.000075;0.000027;-0.000015;0.000139;0.000139;0.000198;0.000142;0.000149;0.000008;7.875317;5.318072;-1.331679;-9.704952;-1.284657;0.432908;-0.005373;0.034536
0.001900;-0.000390;-0.000203;-0.000113;-0.000081;0.000027;-0.000006;0.000130;0.000140;0.000194;0.000145;0.000146;-0.000007;9.710181;6.218338;-3.876075;-11.303310;-3.418027;0.434179;-0.006683;0.064768
0.002000;-0.000404;-0.000215;-0.000124;-0.000094;0.000017;-0.000007;0.000124;0.000142;0.000193;0.000140;0.000143;-0.000021;11.960850;7.889171;-3.765449;-14.412280;-7.354226;0.436622;-0.007321;0.076966
0.002100;-0.000427;-0.000231;-0.000141;-0.000113;0.000003;-0.000016;0.000125;0.000150;0.000195;0.000141;0.000145;-0.000033;13.540130;9.277717;-5.749086;-15.983930;-11.609240;0.438148;-0.008380;0.104052
0.002200;-0.000443;-0.000248;-0.000159;-0.000134;-0.000016;-0.000032;0.000130;0.000157;0.000197;0.000138;0.000143;-0.000047;16.633841;11.520750;-8.278224;-17.433510;-16.688610;0.440052;-0.010054;0.151912
0.002300;-0.000469;-0.000271;-0.000185;-0.000164;-0.000045;-0.000059;0.000130;0.000161;0.000199;0.000132;0.000138;-0.000068;18.316111;12.909300;-9.018273;-19.489620;-24.738760;0.441861;-0.010777;0.174504
0.002400;-0.000490;-0.000294;-0.000202;-0.000175;-0.000057;-0.000084;0.000140;0.000164;0.000198;0.000123;0.000131;-0.000070;20.471411;11.970890;-9.815542;-21.248199;-29.710890;0.442349;-0.011667;0.204725
0.002500;-0.000517;-0.000330;-0.000233;-0.000199;-0.000083;-0.000122;0.000131;0.000150;0.000191;0.000098;0.000113;-0.000086;21.524269;12.424830;-10.414450;-22.690149;-40.754520;0.443463;-0.012184;0.226062
0.002600;-0.000530;-0.000353;-0.000251;-0.000209;-0.000095;-0.000145;0.000126;0.000144;0.000182;0.000085;0.000098;-0.000100;21.818001;12.066250;-11.368120;-22.884701;-47.127449;0.443533;-0.012598;0.246496
0.002700;-0.000556;-0.000385;-0.000275;-0.000226;-0.000112;-0.000170;0.000120;0.000134;0.000180;0.000065;0.000085;-0.000108;22.886110;12.176880;-10.490740;-23.655260;-55.012550;0.444162;-0.012716;0.260120
0.002800;-0.000568;-0.000409;-0.000294;-0.000239;-0.000123;-0.000189;0.000102;0.000120;0.000164;0.000046;0.000061;-0.000131;22.878481;12.092960;-10.403000;-23.857441;-63.162430;0.444421;-0.012756;0.273340
0.002900;-0.000589;-0.000435;-0.000320;-0.000266;-0.000146;-0.000205;0.000080;0.000110;0.000155;0.000032;0.000044;-0.000159;27.498070;10.959990;-16.578979;-21.766991;-72.561272;0.443008;-0.016013;0.384785
0.003000;-0.000626;-0.000478;-0.000366;-0.000317;-0.000193;-0.000239;0.000033;0.000082;0.000133;0.000002;0.000014;-0.000204;20.459970;11.223210;-9.659141;-22.671070;-90.792809;0.443900;-0.012020;0.280223
0.003100;-0.000654;-0.000508;-0.000394;-0.000347;-0.000218;-0.000255;0.000005;0.000070;0.000122;-0.000011;-0.000001;-0.000234;26.254480;10.567080;-14.652570;-21.458000;-101.674004;0.443132;-0.015233;0.393120
0.003200;-0.000702;-0.000567;-0.000456;-0.000413;-0.000273;-0.000294;-0.000058;0.000027;0.000089;-0.000058;-0.000045;-0.000290;22.561859;10.303870;-10.643330;-22.644369;-126.390404;0.443896;-0.013078;0.345994
0.003300;-0.000728;-0.000597;-0.000491;-0.000451;-0.000301;-0.000309;-0.000100;0.000009;0.000070;-0.000074;-0.000068;-0.000331;20.536261;11.394870;-11.856400;-21.458000;-139.787506;0.443956;-0.012857;0.357616
0.003400;-0.000752;-0.000633;-0.000524;-0.000475;-0.000315;-0.000323;-0.000143;-0.000025;0.000045;-0.000105;-0.000101;-0.000359;22.806000;10.300050;-11.505450;-21.850920;-153.234802;0.443697;-0.013417;0.393079
0.003500;-0.000788;-0.000677;-0.000564;-0.000508;-0.000338;-0.000342;-0.000185;-0.000056;0.000022;-0.000128;-0.000124;-0.000384;23.492640;11.284240;-12.428600;-21.595329;-167.421799;0.444142;-0.013879;0.425780
0.003600;-0.000815;-0.000715;-0.000601;-0.000536;-0.000356;-0.000361;-0.000223;-0.000086;-0.000001;-0.000149;-0.000153;-0.000409;21.726440;11.818300;-15.327760;-19.764280;-180.382095;0.443564;-0.014186;0.505946
0.003700;-0.000873;-0.000793;-0.000691;-0.000616;-0.000419;-0.000420;-0.000285;-0.000137;-0.000042;-0.000193;-0.000196;-0.000453;25.720421;12.398130;-18.768610;-19.783360;-208.310898;0.444050;-0.016324;0.605300
0.003800;-0.000902;-0.000831;-0.000737;-0.000650;-0.000443;-0.000448;-0.000291;-0.000140;-0.000044;-0.000198;-0.000201;-0.000461;25.865379;12.291320;-17.750090;-19.745211;-217.547501;0.443975;-0.016055;0.617379
0.003900;-0.000966;-0.000920;-0.000835;-0.000740;-0.000519;-0.000506;-0.000329;-0.000167;-0.000066;-0.000233;-0.000233;-0.000516;27.242479;13.927820;-18.093410;-21.175720;-245.172195;0.445650;-0.016555;0.643983
0.004000;-0.000993;-0.000943;-0.000868;-0.000785;-0.000558;-0.000542;-0.000349;-0.000178;-0.000080;-0.000242;-0.000249;-0.000553;22.546600;16.628620;-15.987710;-22.629110;-257.678711;0.447700;-0.014611;0.588034
