#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.572350;32.650299;-1.938214;4.741266;0;0.454807;0.001739;0;0.521831
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.576164;32.654121;-1.938214;4.745081;0;0.454806;0.001739;0.004649;-0.872848
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.654121;-1.934399;4.748896;0;0.454807;0.001739;-0.000937;0.802889
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.654121;-1.930585;4.748896;0;0.454807;0.001739;-0.002129;1.160501
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.654121;-1.934399;4.748896;0;0.454807;0.001739;-0.003645;1.615270
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.576164;32.650299;-1.934399;4.748896;0;0.454807;0.001739;-0.004222;1.788323
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.576164;32.650299;-1.934399;4.748896;0;0.454807;0.001739;-0.004649;1.916496
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.654121;-1.930585;4.748896;0;0.454807;0.001739;-0.004843;1.974706
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.650299;-1.934399;4.748896;4.182129;0.454807;0.001739;-0.004990;2.018857
-0.000100;0.000004;0.000003;0.000001;-0.000009;-0.000004;0.000007;-0.000008;-0.000003;-0.000001;-0.000002;-0.000003;-0.000012;3.576164;32.650299;-1.934399;4.748896;9.911255;0.454808;0.001739;-0.004961;2.009900
0;0.000007;0.000004;0.000002;-0.000017;-0.000007;0.000015;-0.000019;-0.000007;-0.000001;-0.000004;-0.000006;-0.000022;3.579979;32.654121;-1.934399;4.748896;9.682007;0.454809;0.001739;-0.004755;1.948194
0.000100;-0.000061;-0.000014;0;-0.000048;-0.000010;0.000008;-0.000001;0.000016;0.000054;0.000020;0.000035;-0.000018;3.507500;32.619789;-2.010693;4.645899;19.765261;0.454798;0.001739;-0.003645;1.615183
0.000200;-0.000108;-0.000024;0;-0.000065;-0.000004;0.000014;0.000007;0.000030;0.000083;0.000037;0.000056;-0.000038;3.553276;32.642670;-1.957288;4.714563;-18.734131;0.454804;0.001739;-0.003187;1.477923
0.000300;-0.000151;-0.000043;-0.000008;-0.000062;0.000006;0.000017;0.000016;0.000037;0.000100;0.000044;0.000070;-0.000021;3.572350;32.646488;-1.942029;4.737452;-47.150391;0.454806;0.001739;-0.001841;1.073988
0.000400;-0.000178;-0.000054;-0.000009;-0.000048;0.000024;0.000027;0.000016;0.000038;0.000105;0.000053;0.000080;-0.000012;3.572350;32.646488;-1.942029;4.741266;-18.046631;0.454808;0.001739;-0.000937;0.802734
0.000500;-0.000197;-0.000063;-0.000010;-0.000034;0.000044;0.000041;0.000012;0.000037;0.000106;0.000059;0.000086;-0.000001;3.576164;32.646488;-1.938214;4.745081;-10.026000;0.454810;0.001739;-0.000314;0.615737
0.000600;-0.000221;-0.000073;-0.000014;-0.000024;0.000056;0.000046;0.000012;0.000036;0.000114;0.000063;0.000097;0.000012;3.576164;32.650299;-1.938214;4.748896;-5.671875;0.454811;0.001738;0.001243;0.148497
0.000700;-0.000247;-0.000086;-0.000020;-0.000015;0.000066;0.000045;0.000025;0.000043;0.000119;0.000070;0.000109;0.000027;3.579979;32.650299;-1.934399;4.748896;47.264771;0.454812;0.001738;0.002129;-0.117121
0.000800;-0.000264;-0.000097;-0.000028;-0.000026;0.000057;0.000038;0.000038;0.000051;0.000128;0.000069;0.000117;0.000025;3.572350;32.642670;-1.942029;4.737452;54.598019;0.454810;0.001739;0.002679;-0.282053
0.000900;-0.000282;-0.000107;-0.000036;-0.000041;0.000046;0.000029;0.000056;0.000066;0.000138;0.000071;0.000125;0.000017;3.576164;32.646488;-1.938214;4.741266;-10.026000;0.454809;0.001739;0.003423;-0.505042
0.001000;-0.000299;-0.000120;-0.000046;-0.000058;0.000033;0.000017;0.000075;0.000081;0.000149;0.000071;0.000133;0.000012;3.576164;32.646488;-1.934399;4.748896;-68.920898;0.454809;0.001739;0.004045;-0.691692
0.001100;-0.000316;-0.000128;-0.000054;-0.000074;0.000023;0.000009;0.000088;0.000093;0.000163;0.000071;0.000140;0.000001;3.572350;32.646488;-1.942029;4.745081;-71.670776;0.454808;0.001739;0.004524;-0.835419
0.001200;-0.000317;-0.000131;-0.000058;-0.000085;0.000016;0.000008;0.000098;0.000104;0.000168;0.000071;0.000138;-0.000017;3.579979;32.650299;-1.934399;4.752710;-83.816406;0.454808;0.001739;0.004843;-0.931057
0.001300;-0.000329;-0.000138;-0.000065;-0.000083;0.000021;0.000005;0.000106;0.000109;0.000181;0.000070;0.000141;-0.000014;3.583794;32.650299;-1.934399;4.752710;-80.608147;0.454808;0.001739;0.004990;-0.975237
0.001400;-0.000352;-0.000153;-0.000073;-0.000079;0.000025;-0.000002;0.000126;0.000123;0.000194;0.000076;0.000152;-0.000001;3.583794;32.650299;-1.934399;4.756525;-76.254028;0.454809;0.001739;0.004843;-0.931042
0.001500;-0.000353;-0.000158;-0.000076;-0.000069;0.000035;0;0.000134;0.000129;0.000197;0.000079;0.000150;0;3.572350;32.646488;-1.942029;4.741266;-84.274780;0.454808;0.001740;0.004649;-0.872717
0.001600;-0.000371;-0.000170;-0.000082;-0.000061;0.000046;0;0.000145;0.000139;0.000206;0.000085;0.000157;0.000009;3.576164;32.646488;-1.934399;4.745081;-73.733276;0.454809;0.001741;0.004222;-0.744263
0.001700;-0.000376;-0.000177;-0.000084;-0.000050;0.000058;0.000006;0.000150;0.000146;0.000209;0.000089;0.000156;0.000013;3.576164;32.646488;-1.934399;4.752710;-80.608147;0.454809;0.001742;0.003645;-0.570734
0.001800;-0.000392;-0.000187;-0.000089;-0.000055;0.000057;0.000012;0.000148;0.000149;0.000219;0.000090;0.000162;0.000007;3.579979;32.646488;-1.934399;4.752710;-78.087402;0.454808;0.001743;0.002939;-0.358788
0.001900;-0.000394;-0.000191;-0.000090;-0.000060;0.000060;0.000027;0.000143;0.000153;0.000220;0.000090;0.000159;-0.000011;3.579979;32.650299;-1.930585;4.752710;-75.337402;0.454807;0.001743;0.002129;-0.115686
0.002000;-0.000388;-0.000190;-0.000089;-0.000062;0.000066;0.000048;0.000126;0.000148;0.000220;0.000085;0.000149;-0.000034;3.579979;32.646488;-1.934399;4.752710;-71.900017;0.454807;0.001743;0.001243;0.149766
0.002100;-0.000408;-0.000203;-0.000094;-0.000069;0.000067;0.000059;0.000122;0.000153;0.000228;0.000085;0.000155;-0.000040;3.576164;32.646488;-1.938214;4.745081;-62.275150;0.454806;0.001742;-0.000314;0.616770
0.002200;-0.000405;-0.000206;-0.000094;-0.000073;0.000068;0.000071;0.000117;0.000154;0.000225;0.000083;0.000147;-0.000058;3.572350;32.646488;-1.938214;4.741266;-77.629028;0.454806;0.001741;-0.001243;0.895281
0.002300;-0.000423;-0.000218;-0.000099;-0.000067;0.000080;0.000073;0.000123;0.000161;0.000233;0.000087;0.000152;-0.000051;3.568535;32.642670;-1.945844;4.741266;-45.087891;0.454806;0.001742;-0.002409;1.245243
0.002400;-0.000427;-0.000225;-0.000105;-0.000058;0.000086;0.000069;0.000131;0.000166;0.000239;0.000087;0.000152;-0.000047;3.576164;32.650299;-1.938214;4.748896;-35.692261;0.454805;0.001743;-0.004222;1.789486
0.002500;-0.000451;-0.000242;-0.000116;-0.000055;0.000087;0.000052;0.000160;0.000185;0.000250;0.000093;0.000164;-0.000031;3.579979;32.650299;-1.938214;4.756525;-32.713131;0.454804;0.001746;-0.004755;1.950293
0.002600;-0.000455;-0.000251;-0.000122;-0.000048;0.000090;0.000043;0.000177;0.000195;0.000260;0.000094;0.000164;-0.000027;3.579979;32.646488;-1.934399;4.748896;-43.942139;0.454801;0.001749;-0.004911;1.998019
0.002700;-0.000479;-0.000269;-0.000133;-0.000045;0.000092;0.000028;0.000205;0.000213;0.000275;0.000099;0.000176;-0.000013;3.579979;32.650299;-1.938214;4.752710;-31.109011;0.454796;0.001753;-0.005000;2.025973
0.002800;-0.000472;-0.000272;-0.000135;-0.000049;0.000089;0.000029;0.000212;0.000223;0.000278;0.000099;0.000170;-0.000032;3.576164;32.646488;-1.938214;4.748896;-30.421511;0.454795;0.001754;-0.003187;1.482371
0.002900;-0.000483;-0.000282;-0.000142;-0.000061;0.000083;0.000027;0.000220;0.000237;0.000291;0.000099;0.000172;-0.000047;3.576164;32.646488;-1.938214;4.748896;-24.234131;0.454796;0.001753;-0.000627;0.713850
0.003000;-0.000493;-0.000293;-0.000149;-0.000072;0.000076;0.000026;0.000229;0.000249;0.000299;0.000099;0.000172;-0.000059;3.576164;32.646488;-1.934399;4.752710;-21.254999;0.454798;0.001750;0;0.525127
0.003100;-0.000501;-0.000301;-0.000154;-0.000080;0.000071;0.000031;0.000228;0.000255;0.000311;0.000095;0.000172;-0.000076;3.579979;32.650299;-1.930585;4.756525;-17.359131;0.454802;0.001746;0.000937;0.242822
0.003200;-0.000501;-0.000306;-0.000156;-0.000086;0.000072;0.000042;0.000227;0.000263;0.000312;0.000095;0.000166;-0.000099;3.583794;32.650299;-1.930585;4.756525;-16.671749;0.454804;0.001744;0.002409;-0.199491
0.003300;-0.000508;-0.000315;-0.000160;-0.000079;0.000085;0.000052;0.000226;0.000266;0.000320;0.000094;0.000162;-0.000098;3.576164;32.646488;-1.934399;4.748896;-25.838261;0.454801;0.001746;0.003645;-0.569616
