#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.512970;-1.949658;4.764154;0;0.004535;0.448612;0.026495;0.454828;0.001740;0.454828;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.516788;-1.949658;4.764154;0;0.004535;0.448612;0.026495;0.454827;0.001740;0.454827;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.512970;-1.949658;4.760340;0;0.004569;0.448080;0.025772;0.454827;0.001740;0.454827;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.512970;-1.945844;4.764154;0;0.004533;0.448033;0.025112;0.454828;0.001740;0.454828;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.512970;-1.949658;4.767969;0;0.004568;0.448799;0.025603;0.454828;0.001740;0.454828;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.512970;-1.949658;4.764154;0;0.004547;0.448234;0.026435;0.454828;0.001740;0.454828;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.512970;-1.945844;4.764154;0;0.004542;0.448566;0.026417;0.454828;0.001740;0.454828;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.516788;-1.949658;4.764154;0;0.004528;0.448145;0.025866;0.454827;0.001740;0.454827;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.512970;-1.945844;4.764154;6.874908;0;NaN;NaN;0.454828;0.001740;0.454828;0.001740
-0.000100;-0.000001;0.000002;-0.000002;-0.000017;-0.000009;0.000002;-0.000002;0.000004;0.000002;0.000001;0;-0.000015;3.553276;32.516788;-1.945844;4.764154;8.249878;-1.311159;0.479798;-0.067543;0.454827;0.001740;0.454828;0.001739
0;-0.000004;0.000002;-0.000005;-0.000027;-0.000013;0.000003;-0.000004;0.000006;0.000005;0.000001;0;-0.000019;3.553276;32.516788;-1.949658;4.764154;9.854019;-2.126843;0.482340;-0.073536;0.454827;0.001740;0.454829;0.001739
0.000100;-0.000072;-0.000020;-0.000007;-0.000024;-0.000006;-0.000017;0.000028;0.000029;0.000058;0.000026;0.000045;0.000010;3.473168;32.482460;-2.029767;4.653528;13.520630;1.969139;0.330067;0.398389;0.454817;0.001740;0.454819;0.001739
0.000200;-0.000126;-0.000037;-0.000008;-0.000013;0.000008;-0.000028;0.000056;0.000047;0.000090;0.000045;0.000072;0.000018;3.530388;32.501530;-1.968732;4.733637;-32.311970;4.849238;0.347231;0.236693;0.454825;0.001740;0.454830;0.001738
0.000300;-0.000162;-0.000056;-0.000014;-0.000002;0.000018;-0.000032;0.000072;0.000053;0.000107;0.000052;0.000084;0.000038;3.549462;32.509159;-1.953473;4.760340;-48.582531;6.107192;0.341094;0.221900;0.454828;0.001740;0.454833;0.001738
0.000400;-0.000183;-0.000067;-0.000015;0.000013;0.000032;-0.000030;0.000079;0.000055;0.000113;0.000057;0.000091;0.000050;3.549462;32.509159;-1.949658;4.764154;-19.708010;7.640745;0.348748;0.182775;0.454828;0.001740;0.454835;0.001739
0.000500;-0.000206;-0.000080;-0.000019;0.000019;0.000040;-0.000025;0.000085;0.000058;0.000121;0.000061;0.000102;0.000062;3.557091;32.512970;-1.945844;4.767969;-1.604126;8.509583;0.345569;0.178357;0.454828;0.001740;0.454835;0.001739
0.000600;-0.000224;-0.000085;-0.000026;0.000002;0.000034;-0.000021;0.000085;0.000063;0.000129;0.000062;0.000109;0.000048;3.553276;32.509159;-1.945844;4.767969;-1.145798;6.873724;0.300554;0.246174;0.454829;0.001740;0.454833;0.001740
0.000700;-0.000243;-0.000092;-0.000034;-0.000015;0.000027;-0.000022;0.000094;0.000076;0.000137;0.000068;0.000117;0.000035;3.557091;32.512970;-1.938214;4.775599;24.749620;5.752105;0.242602;0.336099;0.454829;0.001740;0.454833;0.001741
0.000800;-0.000260;-0.000101;-0.000045;-0.000034;0.000016;-0.000024;0.000103;0.000087;0.000149;0.000069;0.000123;0.000023;3.545647;32.509159;-1.949658;4.756525;23.374649;4.164920;0.127037;0.526251;0.454827;0.001740;0.454829;0.001741
0.000900;-0.000291;-0.000115;-0.000059;-0.000058;0;-0.000038;0.000127;0.000108;0.000166;0.000074;0.000140;0.000017;3.553276;32.509159;-1.949658;4.764154;42.395168;2.767613;-0.106532;0.953902;0.454828;0.001740;0.454830;0.001740
0.001000;-0.000297;-0.000120;-0.000067;-0.000070;-0.000007;-0.000045;0.000142;0.000122;0.000172;0.000076;0.000140;0.000006;3.553276;32.509159;-1.945844;4.767969;35.520279;2.037624;-0.368485;1.380997;0.454829;0.001740;0.454830;0.001740
0.001100;-0.000316;-0.000132;-0.000073;-0.000064;-0.000004;-0.000058;0.000164;0.000131;0.000185;0.000077;0.000149;0.000021;3.553276;32.516788;-1.945844;4.771784;35.520279;3.176504;-0.104617;0.946192;0.454828;0.001740;0.454829;0.001741
0.001200;-0.000339;-0.000151;-0.000079;-0.000052;0.000011;-0.000049;0.000170;0.000138;0.000182;0.000082;0.000162;0.000034;3.579979;32.528229;-1.915326;4.813745;31.166180;4.200425;-0.005059;0.733131;0.454832;0.001740;0.454833;0.001742
0.001300;-0.000312;-0.000139;-0.000061;-0.000020;0.000058;0.000023;0.000101;0.000111;0.000159;0.000083;0.000153;-0.000011;3.591423;32.532051;-1.907697;4.825189;55.915791;5.658207;0.095678;0.420506;0.454833;0.001740;0.454834;0.001744
0.001400;-0.000267;-0.000112;-0.000037;0.000013;0.000106;0.000091;0.000036;0.000085;0.000139;0.000083;0.000127;-0.000072;3.595238;32.532051;-1.900067;4.832819;155.601700;7.500711;0.171583;0.207750;0.454834;0.001740;0.454833;0.001746
0.001501;-0.000221;-0.000087;-0.000020;0.000034;0.000133;0.000127;-0.000001;0.000067;0.000129;0.000076;0.000095;-0.000124;3.587609;32.528229;-1.907697;4.817560;129.477097;8.115674;0.186082;0.115930;0.454833;0.001740;0.454829;0.001748
0.001601;-0.000203;-0.000071;-0.000018;0.000030;0.000130;0.000127;0.000001;0.000073;0.000136;0.000073;0.000074;-0.000168;3.572350;32.524422;-1.922956;4.802301;42.166019;7.144695;0.131253;0.116196;0.454831;0.001740;0.454826;0.001747
0.001701;-0.000205;-0.000071;-0.000028;0.000014;0.000109;0.000099;0.000031;0.000090;0.000150;0.000069;0.000061;-0.000179;3.564720;32.520599;-1.934399;4.787043;-60.499020;5.508845;0.017567;0.194793;0.454830;0.001740;0.454825;0.001746
0.001801;-0.000236;-0.000087;-0.000044;-0.000008;0.000085;0.000065;0.000071;0.000112;0.000170;0.000068;0.000069;-0.000168;3.553276;32.516788;-1.945844;4.771784;-118.935600;3.787538;-0.217992;0.411764;0.454828;0.001740;0.454824;0.001744
0.001901;-0.000260;-0.000103;-0.000057;-0.000025;0.000071;0.000056;0.000087;0.000124;0.000179;0.000066;0.000076;-0.000159;3.560906;32.516788;-1.938214;4.775599;-108.164902;2.160372;-0.779918;0.865305;0.454829;0.001740;0.454826;0.001742
0.002001;-0.000287;-0.000117;-0.000065;-0.000033;0.000070;0.000056;0.000097;0.000135;0.000188;0.000069;0.000085;-0.000152;3.564720;32.516788;-1.934399;4.779413;-40.103519;1.792076;-1.117855;1.173228;0.454829;0.001740;0.454827;0.001742
0.002101;-0.000298;-0.000130;-0.000065;-0.000020;0.000086;0.000062;0.000099;0.000134;0.000188;0.000069;0.000084;-0.000130;3.553276;32.512970;-1.942029;4.771784;-19.937160;3.166698;-0.456115;0.654890;0.454829;0.001740;0.454824;0.001744
0.002201;-0.000319;-0.000145;-0.000067;-0.000006;0.000104;0.000070;0.000102;0.000134;0.000194;0.000071;0.000091;-0.000107;3.553276;32.512970;-1.945844;4.767969;4.583282;4.737341;-0.174621;0.443751;0.454828;0.001740;0.454820;0.001747
0.002301;-0.000329;-0.000155;-0.000066;0.000011;0.000124;0.000081;0.000099;0.000130;0.000192;0.000071;0.000090;-0.000088;3.553276;32.512970;-1.945844;4.767969;11.458160;6.259289;-0.033766;0.320916;0.454828;0.001740;0.454816;0.001750
0.002401;-0.000352;-0.000171;-0.000069;0.000022;0.000137;0.000080;0.000105;0.000130;0.000202;0.000071;0.000098;-0.000064;3.560906;32.512970;-1.942029;4.775599;21.999660;7.378827;0.030045;0.284604;0.454829;0.001740;0.454811;0.001754
0.002501;-0.000365;-0.000182;-0.000071;0.000032;0.000148;0.000084;0.000112;0.000135;0.000205;0.000076;0.000101;-0.000054;3.560906;32.516788;-1.938214;4.779413;71.040550;8.564220;0.076178;0.249801;0.454829;0.001740;0.454804;0.001758
0.002601;-0.000379;-0.000192;-0.000080;0.000021;0.000140;0.000084;0.000117;0.000144;0.000215;0.000075;0.000105;-0.000066;3.553276;32.512970;-1.945844;4.764154;62.332352;7.183062;-0.016996;0.324484;0.454828;0.001740;0.454803;0.001757
0.002701;-0.000404;-0.000205;-0.000092;0.000006;0.000129;0.000074;0.000136;0.000163;0.000229;0.000080;0.000116;-0.000073;3.557091;32.516788;-1.942029;4.771784;11.916490;6.156926;-0.125856;0.433951;0.454828;0.001740;0.454804;0.001756
0.002801;-0.000410;-0.000212;-0.000101;-0.000007;0.000121;0.000073;0.000145;0.000177;0.000237;0.000082;0.000116;-0.000091;3.553276;32.512970;-1.949658;4.767969;-25.437071;5.026115;-0.288067;0.568673;0.454828;0.001740;0.454807;0.001754
0.002901;-0.000426;-0.000221;-0.000109;-0.000020;0.000112;0.000069;0.000156;0.000193;0.000248;0.000087;0.000120;-0.000107;3.553276;32.512970;-1.945844;4.767969;-29.791170;4.045338;-0.511716;0.767167;0.454828;0.001740;0.454810;0.001752
0.003001;-0.000438;-0.000231;-0.000117;-0.000027;0.000108;0.000068;0.000167;0.000207;0.000256;0.000088;0.000121;-0.000114;3.557091;32.516788;-1.942029;4.775599;-31.395309;3.417677;-0.737708;0.961168;0.454829;0.001740;0.454812;0.001751
0.003101;-0.000451;-0.000245;-0.000122;-0.000017;0.000116;0.000063;0.000176;0.000212;0.000269;0.000088;0.000124;-0.000101;3.560906;32.516788;-1.938214;4.779413;-39.645191;4.332705;-0.508285;0.780577;0.454829;0.001740;0.454806;0.001755
0.003201;-0.000459;-0.000258;-0.000123;-0.000006;0.000128;0.000062;0.000189;0.000221;0.000274;0.000089;0.000123;-0.000092;3.557091;32.520599;-1.938214;4.775599;-35.291088;5.799230;-0.286499;0.588714;0.454828;0.001740;0.454795;0.001763
0.003301;-0.000470;-0.000274;-0.000127;0.000004;0.000137;0.000059;0.000202;0.000227;0.000282;0.000087;0.000124;-0.000077;3.553276;32.512970;-1.942029;4.771784;-47.207569;6.775560;-0.196299;0.516023;0.454829;0.001740;0.454785;0.001769
