#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.792971;0.000044;-0.000076;0.000044;-0.000173;-0.000119;0.000164;-0.000098;0.000001;0.000056;0.000027;-0.000002;-0.000052;3.553276;32.524422;-1.945844;4.764154;-3787.979004;0.454864;0.001308;-0.002679;1.195954
0.793071;0.000045;-0.000077;0.000048;-0.000154;-0.000106;0.000169;-0.000101;-0.000007;0.000051;0.000026;-0.000003;-0.000037;3.545647;32.520599;-1.949658;4.760340;-3780.187012;0.454856;0.001397;-0.002129;1.057614
0.793171;0.000044;-0.000079;0.000051;-0.000139;-0.000097;0.000166;-0.000097;-0.000011;0.000048;0.000025;-0.000002;-0.000021;3.553276;32.524422;-1.945844;4.767969;-3768.500000;0.454849;0.001479;-0.001545;0.907129
0.793271;0.000043;-0.000081;0.000053;-0.000125;-0.000090;0.000161;-0.000091;-0.000013;0.000046;0.000024;0;-0.000005;3.549462;32.520599;-1.949658;4.764154;-3751.541992;0.454842;0.001556;-0.001243;0.839754
0.793372;0.000040;-0.000085;0.000052;-0.000115;-0.000088;0.000149;-0.000075;-0.000010;0.000046;0.000024;0.000003;0.000012;3.553276;32.524422;-1.945844;4.764154;-3738.708008;0.454836;0.001627;-0.000627;0.676026
0.793472;0.000036;-0.000087;0.000048;-0.000122;-0.000098;0.000137;-0.000062;-0.000002;0.000051;0.000025;0.000008;0.000011;3.553276;32.524422;-1.942029;4.767969;-3736.187988;0.454837;0.001615;0;0.484168
0.793572;0.000033;-0.000087;0.000043;-0.000139;-0.000113;0.000129;-0.000052;0.000007;0.000057;0.000026;0.000011;-0.000001;3.553276;32.524422;-1.945844;4.767969;-3734.812012;0.454844;0.001536;0.000627;0.272526
0.793672;0.000031;-0.000086;0.000038;-0.000156;-0.000127;0.000123;-0.000044;0.000016;0.000062;0.000027;0.000013;-0.000014;3.553276;32.524422;-1.945844;4.771784;-3736.875000;0.454851;0.001460;0.001243;0.064856
0.793772;0.000030;-0.000085;0.000033;-0.000172;-0.000140;0.000120;-0.000040;0.000024;0.000066;0.000028;0.000014;-0.000029;3.557091;32.524422;-1.945844;4.771784;-3738.937988;0.454857;0.001384;0.001841;-0.137122
0.793872;0.000029;-0.000083;0.000029;-0.000188;-0.000152;0.000119;-0.000037;0.000031;0.000070;0.000030;0.000014;-0.000044;3.553276;32.524422;-1.945844;4.771784;-3741.229004;0.454864;0.001314;0.002409;-0.328689
0.793972;0.000030;-0.000083;0.000029;-0.000187;-0.000151;0.000118;-0.000034;0.000033;0.000070;0.000027;0.000013;-0.000041;3.557091;32.524422;-1.945844;4.771784;-3743.520996;0.454862;0.001329;0.002939;-0.483114
0.794072;0.000033;-0.000084;0.000031;-0.000175;-0.000143;0.000118;-0.000030;0.000030;0.000069;0.000027;0.000012;-0.000028;3.557091;32.524422;-1.942029;4.767969;-3745.125000;0.454855;0.001412;0.003423;-0.603437
0.794172;0.000036;-0.000085;0.000034;-0.000163;-0.000133;0.000120;-0.000029;0.000027;0.000067;0.000026;0.000010;-0.000017;3.557091;32.524422;-1.942029;4.771784;-3745.812012;0.454848;0.001494;0.003853;-0.707854
0.794272;0.000040;-0.000085;0.000038;-0.000150;-0.000121;0.000126;-0.000031;0.000022;0.000065;0.000026;0.000008;-0.000004;3.557091;32.524422;-1.942029;4.771784;-3743.979004;0.454841;0.001580;0.004222;-0.792747
0.794372;0.000043;-0.000085;0.000042;-0.000136;-0.000108;0.000133;-0.000036;0.000015;0.000061;0.000025;0.000006;0.000007;3.557091;32.524422;-1.942029;4.771784;-3748.333008;0.454833;0.001667;0.004755;-0.926570
0.794472;0.000046;-0.000083;0.000046;-0.000133;-0.000104;0.000146;-0.000047;0.000011;0.000058;0.000026;0.000005;0.000001;3.557091;32.528229;-1.945844;4.771784;-3744.895996;0.454832;0.001674;0.004911;-0.971442
0.794572;0.000047;-0.000078;0.000047;-0.000139;-0.000104;0.000164;-0.000063;0.000007;0.000055;0.000026;0.000002;-0.000015;3.557091;32.524422;-1.942029;4.771784;-3745.583008;0.454838;0.001618;0.004961;-1.003015
0.794672;0.000049;-0.000074;0.000049;-0.000144;-0.000103;0.000184;-0.000082;0.000002;0.000051;0.000027;-0.000001;-0.000031;3.557091;32.528229;-1.942029;4.771784;-3740.541992;0.454842;0.001565;0.005000;-1.030833
0.794772;0.000050;-0.000069;0.000053;-0.000148;-0.000101;0.000206;-0.000104;-0.000005;0.000045;0.000028;-0.000004;-0.000047;3.560906;32.524422;-1.942029;4.771784;-3738.250000;0.454847;0.001510;0.004961;-1.035448
0.794872;0.000047;-0.000066;0.000053;-0.000155;-0.000104;0.000218;-0.000116;-0.000007;0.000041;0.000029;-0.000005;-0.000060;3.553276;32.524422;-1.945844;4.767969;-3733.895996;0.454852;0.001447;0.004843;-1.019099
0.794972;0.000046;-0.000066;0.000055;-0.000150;-0.000097;0.000223;-0.000121;-0.000010;0.000038;0.000027;-0.000006;-0.000055;3.557091;32.528229;-1.938214;4.771784;-3690.125977;0.454851;0.001465;0.004649;-0.955415
0.795072;0.000044;-0.000069;0.000057;-0.000138;-0.000087;0.000222;-0.000118;-0.000014;0.000035;0.000026;-0.000004;-0.000038;3.549462;32.524422;-1.949658;4.760340;-3680.042969;0.454843;0.001538;0.004382;-0.853181
0.795172;0.000040;-0.000074;0.000057;-0.000129;-0.000083;0.000211;-0.000107;-0.000012;0.000035;0.000025;-0.000001;-0.000021;3.553276;32.524422;-1.945844;4.767969;-3715.333008;0.454839;0.001605;0.004045;-0.732377
0.795272;0.000038;-0.000078;0.000056;-0.000121;-0.000079;0.000200;-0.000094;-0.000010;0.000037;0.000024;0.000001;-0.000003;3.557091;32.524422;-1.942029;4.771784;-3771.479004;0.454833;0.001672;0.003645;-0.591959
0.795372;0.000037;-0.000082;0.000056;-0.000113;-0.000075;0.000190;-0.000083;-0.000008;0.000039;0.000024;0.000003;0.000013;3.560906;32.524422;-1.942029;4.771784;-3793.020020;0.454827;0.001737;0.003187;-0.435282
0.795472;0.000035;-0.000083;0.000054;-0.000118;-0.000082;0.000185;-0.000077;-0.000002;0.000042;0.000026;0.000006;0.000011;3.557091;32.524422;-1.938214;4.771784;-3797.833008;0.454828;0.001732;0.002679;-0.284471
0.795572;0.000033;-0.000082;0.000051;-0.000130;-0.000094;0.000183;-0.000075;0.000004;0.000045;0.000026;0.000007;-0.000003;3.557091;32.524422;-1.942029;4.771784;-3803.562012;0.454834;0.001659;0.002129;-0.141223
0.795672;0.000032;-0.000080;0.000048;-0.000143;-0.000105;0.000182;-0.000075;0.000009;0.000048;0.000026;0.000008;-0.000017;3.553276;32.528229;-1.942029;4.771784;-3806.312012;0.454841;0.001585;0.001545;0.011666
0.795772;0.000031;-0.000079;0.000046;-0.000154;-0.000114;0.000183;-0.000077;0.000013;0.000050;0.000027;0.000008;-0.000032;3.557091;32.524422;-1.942029;4.771784;-3801.958008;0.454848;0.001510;0.000937;0.171784
0.795872;0.000031;-0.000076;0.000044;-0.000164;-0.000123;0.000186;-0.000081;0.000016;0.000051;0.000027;0.000007;-0.000047;3.557091;32.524422;-1.938214;4.771784;-3806.541016;0.454855;0.001435;0.000314;0.336209
0.795972;0.000032;-0.000076;0.000045;-0.000162;-0.000119;0.000188;-0.000084;0.000014;0.000050;0.000026;0.000005;-0.000043;3.557091;32.524422;-1.938214;4.771784;-3804.478027;0.454854;0.001446;-0.000314;0.527906
