#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093360;-1.926770;4.783228;0;0.462884;0.001615;0;0
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093360;-1.930585;4.783228;0;0.462889;0.001614;0.001841;0.006792
-0.000800;0;0;0;0;0;0;0;0;0;0;0;-9247.263908;3.530388;32.093360;-1.926770;4.783228;0;NaN;NaN;0.002409;NaN
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093360;-1.930585;4.783228;0;NaN;NaN;0.002679;NaN
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093360;-1.934399;4.783228;0;NaN;NaN;0.003187;NaN
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.089538;-1.930585;4.783228;0;NaN;NaN;0.003423;NaN
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.089538;-1.930585;4.783228;0;NaN;NaN;0.003853;NaN
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093360;-1.930585;4.783228;0;NaN;NaN;0.004045;NaN
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093360;-1.930585;4.783228;0.008278;NaN;NaN;0.004222;NaN
-0.000100;0.000047;-0.000021;0.000042;-0.000065;0.000019;0.000014;-0.000018;-0.000023;0.000013;-0.000012;0.000081;-0.000020;3.518944;32.081909;-1.945844;4.764154;2.968661;NaN;NaN;0.004524;NaN
0;0.000057;-0.000028;0.000049;-0.000087;0.000016;0.000005;-0.000009;-0.000018;0.000022;-0.000018;0.000111;-0.000025;3.530388;32.093360;-1.938214;4.779413;3.490880;NaN;NaN;0.004649;NaN
0.000100;0.000014;-0.000018;0.000035;-0.000061;0.000004;-0.000014;0.000005;-0.000005;0.000039;0;0.000089;-0.000020;3.492241;32.074279;-1.972546;4.722193;3.147121;NaN;NaN;0.004843;NaN
0.000200;-0.000029;-0.000007;0.000018;-0.000030;-0.000004;-0.000023;0.000027;0.000009;0.000052;0.000012;0.000055;-0.000020;3.511315;32.085731;-1.953473;4.752710;2.275734;NaN;NaN;0.004911;NaN
0.000300;-0.000064;0.000004;-0.000004;0.000004;-0.000016;-0.000036;0.000046;0.000027;0.000052;0.000024;0.000018;-0.000012;3.526573;32.089538;-1.934399;4.775599;0.622359;NaN;NaN;0.004990;NaN
0.000400;-0.000097;0.000011;-0.000025;0.000034;-0.000023;-0.000045;0.000060;0.000041;0.000048;0.000036;-0.000022;-0.000008;3.530388;32.089538;-1.930585;4.783228;-0.987321;NaN;NaN;0.004990;NaN
0.000500;-0.000118;0.000018;-0.000039;0.000053;-0.000031;-0.000050;0.000069;0.000045;0.000048;0.000042;-0.000048;-0.000004;3.534203;32.093360;-1.930585;4.783228;-1.784911;NaN;NaN;0.004961;NaN
0.000600;-0.000093;0.000007;-0.000021;0.000019;-0.000023;-0.000050;0.000069;0.000045;0.000061;0.000036;-0.000007;-0.000020;3.530388;32.089538;-1.930585;4.783228;-0.322738;NaN;NaN;0.004843;NaN
0.000700;-0.000072;0;0;-0.000015;-0.000019;-0.000041;0.000069;0.000036;0.000074;0.000030;0.000033;-0.000041;3.534203;32.089538;-1.930585;4.783228;1.164827;NaN;NaN;0.004755;NaN
0.000800;-0.000047;-0.000011;0.000021;-0.000049;-0.000008;-0.000036;0.000060;0.000032;0.000082;0.000024;0.000074;-0.000061;3.534203;32.093360;-1.930585;4.783228;2.688998;NaN;NaN;0.004649;NaN
0.000900;-0.000021;-0.000018;0.000042;-0.000080;0;-0.000023;0.000055;0.000023;0.000091;0.000018;0.000111;-0.000078;3.534203;32.093360;-1.930585;4.783228;4.299422;NaN;NaN;0.003423;NaN
0.001000;-0.000011;-0.000021;0.000056;-0.000102;0.000012;-0.000009;0.000041;0.000014;0.000095;0.000012;0.000133;-0.000094;3.530388;32.093360;-1.930585;4.787043;5.189488;NaN;NaN;0.003187;NaN
0.001100;-0.000036;-0.000011;0.000042;-0.000065;0.000016;0;0.000037;0.000018;0.000082;0.000018;0.000089;-0.000086;3.534203;32.089538;-1.934399;4.783228;3.933141;NaN;NaN;0.002679;NaN
0.001200;-0.000064;0.000004;0.000025;-0.000027;0.000019;0.000014;0.000027;0.000018;0.000069;0.000030;0.000044;-0.000078;3.530388;32.089538;-1.930585;4.783228;2.644622;NaN;NaN;0.002409;NaN
