#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.065248;0.072126;0.072090;0;0.005333;0.456133;0.026103;9.965792;14.532287
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.072126;0.072090;0;0.005333;0.456133;0.026103;9.984866;14.532287
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.065248;0.068311;0.075904;0;0.005307;0.455803;0.025455;9.946719;14.555175
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.069063;0.072126;0.072090;0;0.005311;0.456021;0.025200;9.984866;14.509399
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.065248;0.072126;0.072090;0;0.005280;0.456095;0.025543;9.965792;14.509399
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.068311;0.072090;0;0.005287;0.455819;0.025749;9.984866;14.555175
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.072126;0.072090;0;0.005347;0.456402;0.026486;9.984866;14.532287
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.065248;0.064496;0.064460;0;0.005310;0.456772;0.026846;10.003939;14.532287
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.065248;0.068311;0.068275;-0.413401;0;NaN;NaN;9.984866;14.532287
-0.000100;-0.000004;-0.000002;-0.000001;-0.000007;-0.000007;-0.000002;0;0.000003;0;0.000001;0.000004;-0.000005;-0.017270;0.061433;0.060682;0.060645;-1.228734;-0.745169;0.468369;-0.093184;10.003939;14.532287
0;-0.000011;-0.000006;-0.000005;-0.000013;-0.000014;-0.000016;0.000013;0.000010;0.000003;0.000003;0.000008;-0.000002;-0.009641;0.061433;0.064496;0.068275;-1.789187;-1.139639;0.471436;-0.195522;9.965792;14.555175
0.000100;-0.000079;-0.000028;-0.000015;-0.000024;-0.000020;-0.000048;0.000056;0.000040;0.000059;0.000050;0.000052;0.000028;-0.059232;0.042360;0.007276;-0.008019;1.110212;2.727575;0.391587;0.395309;10.251894;14.600951
