#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.576164;32.657928;-1.934399;4.752710;0;0.454807;0.001739;0;0.521831
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.661751;-1.934399;4.752710;0;0.454806;0.001739;0.003187;-0.434319
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.661751;-1.930585;4.760340;0;0.454807;0.001739;0.001841;-0.030355
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.583794;32.661751;-1.930585;4.767969;0;0.454808;0.001739;0.001243;0.148782
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.657928;-1.926770;4.767969;0;0.454809;0.001739;0.000937;0.240775
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.657928;-1.926770;4.767969;0;0.454809;0.001739;-0.001243;0.894881
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.657928;-1.926770;4.767969;0;0.454809;0.001739;-0.001545;0.985372
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.657928;-1.930585;4.764154;0;0.454808;0.001739;-0.002679;1.325572
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.579979;32.661751;-1.930585;4.767969;24.835449;0.454808;0.001739;-0.002939;1.403510
-0.000100;0.000004;0.000003;0.000001;-0.000002;-0.000004;0.000007;-0.000009;-0.000003;-0.000001;-0.000003;-0.000004;-0.000011;3.579979;32.661751;-1.930585;4.767969;26.668819;0.454809;0.001739;-0.003423;1.548569
0;0.000001;0.000001;0.000002;0.000003;0.000008;0.000012;-0.000012;-0.000005;-0.000001;0;-0.000004;-0.000001;3.579979;32.661751;-1.930585;4.764154;23.460569;0.454808;0.001739;-0.004382;1.836275
0.000100;-0.000076;-0.000019;0;0;0.000019;0.000002;0.000014;0.000019;0.000058;0.000032;0.000046;0.000022;3.492241;32.619789;-2.029767;4.432277;27.585449;0.454774;0.001738;-0.004755;1.947952
0.000200;-0.000125;-0.000033;0;0.000008;0.000038;0.000005;0.000028;0.000032;0.000084;0.000053;0.000068;0.000023;3.553276;32.646488;-1.957288;4.603938;-16.413820;0.454795;0.001738;-0.004843;1.974136
0.000300;-0.000168;-0.000053;-0.000008;0.000012;0.000050;0.000008;0.000038;0.000039;0.000100;0.000062;0.000084;0.000043;3.576164;32.654121;-1.938214;4.703119;-22.142941;0.454808;0.001738;-0.004990;2.018355
0.000400;-0.000192;-0.000062;-0.000009;0.000021;0.000067;0.000019;0.000035;0.000037;0.000107;0.000069;0.000094;0.000051;3.579979;32.654121;-1.930585;4.733637;-1.289062;0.454812;0.001738;-0.004755;1.948057
