#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.771784;0;0.004882;0.452505;0.025483;0.454827;0.001740;0.454828;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.524422;-1.938214;4.771784;0;0.004882;0.452505;0.025483;0.454827;0.001740;0.454827;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.524422;-1.942029;4.771784;0;0.004834;0.451563;0.025303;0.454827;0.001740;0.454827;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.528229;-1.942029;4.771784;0;0.004948;0.453149;0.024990;0.454827;0.001740;0.454827;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.528229;-1.942029;4.771784;0;0.004838;0.452591;0.026258;0.454827;0.001740;0.454827;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.775599;0;0.004901;0.452549;0.025526;0.454828;0.001740;0.454828;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.771784;0;0.004914;0.452147;0.025939;0.454827;0.001740;0.454827;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.528229;-1.942029;4.775599;0;0.004857;0.452212;0.024875;0.454827;0.001740;0.454827;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.560906;32.524422;-1.942029;4.775599;-15.267970;0;NaN;NaN;0.454828;0.001740;0.454828;0.001740
-0.000100;0.000002;0.000001;0.000003;0.000005;0.000009;0.000008;-0.000009;-0.000006;-0.000004;-0.000002;-0.000003;0.000002;3.557091;32.524422;-1.942029;4.775599;-4.955627;0.254656;0.474696;-0.448805;0.454828;0.001740;0.454828;0.001740
0;0.000001;-0.000001;0.000008;0.000018;0.000021;0.000011;-0.000012;-0.000011;-0.000004;0.000001;-0.000002;0.000017;3.553276;32.520599;-1.945844;4.764154;-0.372375;1.795343;0.479782;-0.111643;0.454827;0.001740;0.454828;0.001739
0.000100;-0.000075;-0.000022;0.000007;0.000019;0.000030;-0.000009;0.000023;0.000015;0.000054;0.000030;0.000046;0.000041;3.473168;32.486271;-2.025952;4.653528;6.731689;6.162691;0.422587;0.078224;0.454816;0.001740;0.454822;0.001738
0.000200;-0.000133;-0.000044;0.000001;0.000024;0.000040;-0.000027;0.000056;0.000033;0.000085;0.000047;0.000074;0.000058;3.534203;32.512970;-1.964917;4.741266;-72.100403;8.328089;0.399949;0.110886;0.454825;0.001740;0.454832;0.001737
0.000300;-0.000173;-0.000067;-0.000010;0.000025;0.000042;-0.000046;0.000088;0.000048;0.000102;0.000053;0.000091;0.000084;3.553276;32.520599;-1.945844;4.767969;-70.496246;9.233019;0.387096;0.139357;0.454827;0.001740;0.454835;0.001738
0.000400;-0.000196;-0.000078;-0.000018;0.000017;0.000036;-0.000057;0.000110;0.000066;0.000116;0.000061;0.000103;0.000078;3.557091;32.524422;-1.938214;4.775599;-36.809299;9.261683;0.367858;0.171418;0.454828;0.001740;0.454835;0.001739
0.000500;-0.000234;-0.000094;-0.000033;-0.000002;0.000019;-0.000070;0.000130;0.000086;0.000141;0.000066;0.000122;0.000071;3.560906;32.520599;-1.938214;4.775599;-12.059690;7.807765;0.325417;0.263063;0.454828;0.001740;0.454834;0.001740
0.000600;-0.000254;-0.000104;-0.000044;-0.000015;0.000006;-0.000079;0.000148;0.000105;0.000152;0.000071;0.000131;0.000057;3.560906;32.524422;-1.934399;4.783228;-6.559784;6.836300;0.280152;0.345357;0.454829;0.001740;0.454833;0.001741
0.000700;-0.000274;-0.000113;-0.000056;-0.000028;-0.000008;-0.000084;0.000158;0.000117;0.000168;0.000071;0.000140;0.000045;3.560906;32.524422;-1.938214;4.775599;1.919250;5.350075;0.203465;0.493156;0.454828;0.001740;0.454831;0.001741
0.000800;-0.000282;-0.000118;-0.000065;-0.000038;-0.000020;-0.000083;0.000165;0.000127;0.000174;0.000072;0.000142;0.000029;3.557091;32.524422;-1.942029;4.771784;13.148250;4.089258;0.094382;0.685029;0.454827;0.001740;0.454829;0.001741
