#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.065248;0.072126;0.072090;0;0.425288;-0.002593;0.077798
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.072126;0.072090;0;0.425250;-0.002595;0.115149
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.065248;0.068311;0.075904;0;0.425246;-0.002596;0.133098
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.069063;0.072126;0.072090;0;0.425250;-0.002594;0.150074
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.065248;0.072126;0.072090;0;0.425248;-0.002594;0.158185
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.068311;0.072090;0;0.425250;-0.002596;0.173493
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.005826;0.069063;0.072126;0.072090;0;0.425250;-0.002595;0.187191
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;-0.013456;0.065248;0.064496;0.064460;0;0.425252;-0.002595;0.193422
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;-0.009641;0.065248;0.068311;0.068275;-0.413401;0.425250;-0.002595;0.204495
-0.000100;-0.000004;-0.000002;-0.000001;-0.000007;-0.000007;-0.000002;0;0.000003;0;0.000001;0.000004;-0.000005;-0.017270;0.061433;0.060682;0.060645;-1.228734;0.425257;-0.002594;0.209280
0;-0.000011;-0.000006;-0.000005;-0.000013;-0.000014;-0.000016;0.000013;0.000010;0.000003;0.000003;0.000008;-0.000002;-0.009641;0.061433;0.064496;0.068275;-1.789187;0.425256;-0.002595;0.220521
0.000100;-0.000079;-0.000028;-0.000015;-0.000024;-0.000020;-0.000048;0.000056;0.000040;0.000059;0.000050;0.000052;0.000028;-0.059232;0.042360;0.007276;-0.008019;1.110212;0.425295;-0.002597;0.226724
0.000200;-0.000140;-0.000048;-0.000025;-0.000032;-0.000021;-0.000077;0.000102;0.000068;0.000100;0.000087;0.000084;0.000038;-0.024900;0.057619;0.060682;0.033943;2.808848;0.425298;-0.002590;0.227396
0.000300;-0.000182;-0.000070;-0.000040;-0.000038;-0.000026;-0.000098;0.000135;0.000086;0.000125;0.000101;0.000100;0.000059;-0.013456;0.061433;0.060682;0.060645;2.562479;0.425290;-0.002592;0.227478
