#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.520599;-1.945844;4.764154;0;0.005221;0.454554;0.024144;0.454827;0.001740;0.454827;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.524422;-1.945844;4.764154;0;0.005221;0.454554;0.024144;0.454826;0.001740;0.454826;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.942029;4.764154;0;0.005188;0.454141;0.024725;0.454826;0.001740;0.454826;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.520599;-1.942029;4.767969;0;0.005228;0.454950;0.024152;0.454827;0.001740;0.454827;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.557091;32.524422;-1.945844;4.764154;0;0.005199;0.454593;0.024414;0.454826;0.001740;0.454826;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.520599;-1.945844;4.764154;0;0.005220;0.454426;0.024761;0.454827;0.001740;0.454827;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.545647;32.520599;-1.949658;4.756525;0;0.005163;0.454185;0.023727;0.454826;0.001740;0.454826;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.553276;32.520599;-1.945844;4.764154;0;0.005191;0.453847;0.023747;0.454827;0.001740;0.454827;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.545647;32.520599;-1.953473;4.756525;38.556671;0;NaN;NaN;0.454826;0.001740;0.454826;0.001740
-0.000100;-0.000003;-0.000005;-0.000001;0.000010;0.000002;-0.000014;0.000015;0.000003;0.000002;-0.000001;0.000003;0.000018;3.557091;32.520599;-1.945844;4.764154;48.639832;1.157854;0.479174;0.034733;0.454827;0.001740;0.454828;0.001739
0;-0.000006;-0.000009;-0.000001;0.000018;0.000003;-0.000030;0.000031;0.000008;0.000008;0;0.000008;0.000035;3.553276;32.520599;-1.942029;4.764154;51.389801;2.581168;0.479632;0.047802;0.454827;0.001740;0.454829;0.001739
0.000100;-0.000073;-0.000028;-0.000005;0.000015;0.000004;-0.000058;0.000074;0.000036;0.000068;0.000026;0.000053;0.000058;3.496056;32.493900;-2.006879;4.684046;52.764771;6.703435;0.433327;0.124365;0.454820;0.001740;0.454826;0.001738
0.000200;-0.000135;-0.000050;-0.000012;0.000017;0.000008;-0.000087;0.000120;0.000062;0.000104;0.000044;0.000085;0.000074;3.545647;32.516788;-1.953473;4.745081;-6.588440;8.987354;0.407462;0.154041;0.454825;0.001740;0.454833;0.001738
0.000300;-0.000168;-0.000070;-0.000023;0.000018;0.000006;-0.000103;0.000148;0.000078;0.000125;0.000050;0.000099;0.000089;3.549462;32.520599;-1.949658;4.760340;-28.817261;9.699021;0.392826;0.178594;0.454826;0.001740;0.454835;0.001739
0.000400;-0.000195;-0.000081;-0.000033;-0.000002;-0.000005;-0.000109;0.000165;0.000094;0.000141;0.000057;0.000110;0.000075;3.549462;32.516788;-1.949658;4.760340;-6.130127;8.484904;0.360346;0.244792;0.454827;0.001740;0.454833;0.001740
0.000500;-0.000215;-0.000090;-0.000043;-0.000020;-0.000014;-0.000110;0.000174;0.000107;0.000152;0.000061;0.000117;0.000063;3.553276;32.520599;-1.942029;4.771784;4.182220;7.133615;0.319107;0.329040;0.454828;0.001740;0.454833;0.001741
0.000600;-0.000232;-0.000095;-0.000051;-0.000035;-0.000022;-0.000107;0.000175;0.000114;0.000165;0.000064;0.000124;0.000047;3.560906;32.520599;-1.938214;4.771784;3.036407;5.709210;0.260522;0.446886;0.454828;0.001740;0.454831;0.001742
0.000700;-0.000252;-0.000104;-0.000059;-0.000051;-0.000028;-0.000104;0.000181;0.000126;0.000174;0.000069;0.000132;0.000035;3.557091;32.524422;-1.942029;4.775599;5.786346;4.632722;0.177857;0.600537;0.454828;0.001740;0.454830;0.001742
0.000800;-0.000264;-0.000108;-0.000065;-0.000060;-0.000030;-0.000094;0.000179;0.000129;0.000181;0.000068;0.000132;0.000022;3.557091;32.520599;-1.942029;4.767969;-3.609344;3.541964;0.053920;0.809618;0.454827;0.001740;0.454829;0.001742
0.000900;-0.000275;-0.000116;-0.000065;-0.000047;-0.000013;-0.000087;0.000181;0.000130;0.000185;0.000070;0.000135;0.000032;3.553276;32.524422;-1.942029;4.767969;7.619659;5.070672;0.156451;0.561661;0.454827;0.001740;0.454829;0.001743
0.001000;-0.000276;-0.000120;-0.000062;-0.000031;0.000005;-0.000075;0.000177;0.000126;0.000183;0.000070;0.000132;0.000039;3.553276;32.520599;-1.945844;4.764154;0.286438;6.518128;0.212412;0.415821;0.454827;0.001740;0.454829;0.001745
0.001100;-0.000295;-0.000131;-0.000063;-0.000018;0.000024;-0.000066;0.000176;0.000124;0.000190;0.000073;0.000139;0.000055;3.553276;32.520599;-1.949658;4.767969;5.328033;8.066078;0.247353;0.337413;0.454827;0.001740;0.454828;0.001748
