#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005956;0.458672;0.022350;0.458526;0.001812;0.458526;0.001812
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005956;0.458672;0.022350;0.458526;0.001812;0.458526;0.001812
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.083534;0;0.005867;0.459155;0.022737;0.458526;0.001812;0.458526;0.001812
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005873;0.459170;0.023213;0.458526;0.001812;0.458526;0.001812
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.087348;0;0.005946;0.458455;0.022319;0.458526;0.001812;0.458526;0.001812
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.087348;0;0.005906;0.459243;0.022441;0.458526;0.001812;0.458526;0.001812
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;-0.002012;0.049989;0.075940;0.091163;0;0.005875;0.458871;0.022298;0.458527;0.001812;0.458527;0.001812
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.049989;0.075940;0.091163;0;0.005928;0.458969;0.022328;0.458527;0.001812;0.458527;0.001812
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0.001803;0.053804;0.075940;0.087348;-0.420580;0;NaN;NaN;0.458526;0.001812;0.458526;0.001812
-0.000100;0.000001;0.000002;0.000001;-0.000003;-0.000001;0.000011;-0.000012;-0.000003;-0.000002;0.000001;0;-0.000008;0.001803;0.049989;0.075940;0.087348;-0.901994;-0.502625;0.469729;0.079099;0.458526;0.001812;0.458526;0.001812
0;0.000001;0.000005;0.000002;-0.000007;0;0.000025;-0.000028;-0.000007;-0.000004;0.000003;-0.000001;-0.000017;-0.002012;0.049989;0.075940;0.087348;-1.473946;-1.090919;0.473660;0.080092;0.458526;0.001812;0.458526;0.001812
0.000100;-0.000064;-0.000008;0.000001;-0.000031;0.000004;0.000028;-0.000020;0.000013;0.000046;0.000051;0.000037;-0.000015;-0.047788;0.027101;0.018720;-0.080498;0.357792;1.561842;0.307452;0.377783;0.458507;0.001812;0.458507;0.001811
0.000200;-0.000124;-0.000026;-0.000007;-0.000045;0.000008;0.000033;-0.000013;0.000026;0.000075;0.000081;0.000063;-0.000019;-0.013456;0.042360;0.053052;-0.030907;0.185682;2.088694;0.211936;0.507270;0.458511;0.001812;0.458512;0.001811
0.000300;-0.000162;-0.000042;-0.000016;-0.000055;0.000008;0.000040;-0.000012;0.000034;0.000086;0.000093;0.000078;-0.000019;-0.002012;0.049989;0.037794;0.033943;-1.258267;1.340413;-0.065692;0.998868;0.458519;0.001812;0.458519;0.001811
0.000400;-0.000188;-0.000054;-0.000019;-0.000051;0.000017;0.000038;-0.000004;0.000036;0.000095;0.000098;0.000088;-0.000009;0.009432;0.049989;0.041608;0.060645;-1.332630;1.848357;0.015551;0.796948;0.458523;0.001811;0.458523;0.001811
0.000500;-0.000215;-0.000070;-0.000025;-0.000048;0.000021;0.000029;0.000016;0.000045;0.000104;0.000107;0.000101;0.000009;0.017062;0.053804;0.041608;0.075904;-0.680322;2.853803;0.130616;0.595872;0.458524;0.001811;0.458525;0.001811
0.000600;-0.000233;-0.000082;-0.000031;-0.000047;0.000021;0.000014;0.000038;0.000053;0.000115;0.000109;0.000110;0.000021;0.043765;0.080507;0.049238;0.167457;-0.277294;3.429192;0.159780;0.555030;0.458533;0.001811;0.458533;0.001810
0.000700;-0.000252;-0.000095;-0.000038;-0.000046;0.000022;-0.000001;0.000064;0.000066;0.000126;0.000118;0.000120;0.000032;0.085726;0.133912;0.030164;0.163642;0.858127;4.565030;0.209796;0.471103;0.458525;0.001810;0.458526;0.001810
0.000800;-0.000269;-0.000109;-0.000045;-0.000046;0.000021;-0.000016;0.000090;0.000078;0.000136;0.000122;0.000128;0.000045;0.184908;0.236909;0.041608;-0.622183;1.622379;5.236884;0.222078;0.455015;0.458407;0.001809;0.458407;0.001809
0.000900;-0.000279;-0.000114;-0.000053;-0.000056;0.000012;-0.000022;0.000103;0.000093;0.000145;0.000132;0.000134;0.000033;0.242128;0.290314;0.060682;-1.530079;1.490610;4.964381;0.185441;0.527661;0.458279;0.001809;0.458279;0.001809
0.001000;-0.000295;-0.000124;-0.000065;-0.000070;0;-0.000027;0.000115;0.000107;0.000156;0.000139;0.000141;0.000026;0.615968;0.442902;0.095014;-2.216722;0.602057;4.059569;0.094641;0.716869;0.458167;0.001804;0.458167;0.001805
0.001100;-0.000313;-0.000131;-0.000075;-0.000084;-0.000011;-0.000034;0.000125;0.000118;0.000168;0.000143;0.000149;0.000018;1.119506;0.587860;0.217084;-2.735520;-0.627438;2.804941;-0.109101;1.130617;0.458079;0.001799;0.458079;0.001800
0.001200;-0.000328;-0.000140;-0.000086;-0.000097;-0.000019;-0.000036;0.000134;0.000132;0.000178;0.000151;0.000154;0.000010;1.779447;0.877776;0.175122;-2.941513;-1.296896;2.054325;-0.380966;1.667006;0.458013;0.001790;0.458013;0.001791
0.001300;-0.000338;-0.000146;-0.000095;-0.000108;-0.000026;-0.000033;0.000135;0.000138;0.000186;0.000151;0.000156;-0.000002;2.351650;1.312651;0.316266;-3.433608;-2.601702;0.722601;-2.082024;4.946233;0.457889;0.001785;0.457889;0.001785
0.001400;-0.000353;-0.000157;-0.000099;-0.000107;-0.000019;-0.000036;0.000147;0.000145;0.000194;0.000155;0.000159;0.000003;2.931482;1.697934;0.239972;-4.074475;-2.013041;1.229548;-1.138761;3.007055;0.457753;0.001776;0.457753;0.001777
0.001500;-0.000356;-0.000165;-0.000100;-0.000099;-0.000008;-0.000032;0.000151;0.000147;0.000195;0.000153;0.000156;0.000005;3.946189;2.418910;0.213269;-6.134406;-1.216780;1.809903;-0.679958;2.024178;0.457383;0.001763;0.457383;0.001764
0.001600;-0.000365;-0.000174;-0.000102;-0.000091;0.000004;-0.000027;0.000150;0.000149;0.000198;0.000154;0.000156;0.000007;5.174518;3.155144;-0.030871;-7.557284;-0.598441;2.242112;-0.511155;1.630677;0.457095;0.001743;0.457095;0.001745
0.001700;-0.000373;-0.000184;-0.000103;-0.000082;0.000016;-0.000023;0.000151;0.000148;0.000196;0.000151;0.000154;0.000011;6.452438;4.101187;-0.648850;-8.575806;-0.198864;2.467562;-0.463297;1.463664;0.456834;0.001719;0.456833;0.001721
0.001800;-0.000380;-0.000194;-0.000105;-0.000075;0.000027;-0.000015;0.000139;0.000139;0.000198;0.000142;0.000149;0.000008;7.875317;5.318072;-1.331679;-9.704952;-1.284657;1.235999;-1.452460;2.840555;0.456522;0.001691;0.456521;0.001692
