#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.066306;0.003906;0.002983;0.002986;0.003870;0.004529;0.005294;0.005640;0.006576;0.006355;0.006071;0.005066;0.004563;-16.954479;-14.007130;7.556541;24.413610;2183.362061;2253.284016;0.450225;0.008069;0.405675;0.004727
0.066406;0.003926;0.002958;0.002949;0.003840;0.004505;0.005267;0.005615;0.006552;0.006338;0.006022;0.005082;0.004580;-10.648800;-10.829500;5.340208;21.079571;2176.468018;2245.374579;0.450300;0.008222;0.408993;0.002173
0.066506;0.003967;0.002977;0.002957;0.003848;0.004501;0.005241;0.005588;0.006621;0.006510;0.006179;0.005161;0.004618;-18.999149;-14.873070;7.354363;23.147129;2195.784912;2266.089664;0.450311;0.008816;0.405879;0.005279
0.066606;0.003940;0.002953;0.002951;0.003855;0.004512;0.005265;0.005627;0.006644;0.006497;0.006130;0.005128;0.004582;-20.978979;-10.367920;8.555989;21.434340;2192.562012;2262.780437;0.450060;0.008590;0.409047;0.006232
0.066706;0.004009;0.002999;0.002969;0.003885;0.004528;0.005252;0.005607;0.006645;0.006574;0.006195;0.005219;0.004665;-16.355570;-15.101950;8.933643;23.250130;2210.769043;2280.868653;0.450435;0.008882;0.405710;0.004960
0.066806;0.003978;0.002987;0.002965;0.003905;0.004548;0.005269;0.005636;0.006651;0.006530;0.006094;0.005155;0.004616;-19.693420;-12.023490;10.959240;20.587469;2202.767090;2272.659767;0.450249;0.008461;0.408635;0.006567
0.066906;0.003990;0.002985;0.002963;0.003932;0.004576;0.005295;0.005651;0.006689;0.006576;0.006117;0.005153;0.004610;-21.349001;-12.450740;9.547808;24.085541;2209.031006;2280.415020;0.450131;0.008414;0.406635;0.006641
0.067006;0.003975;0.002967;0.002934;0.003926;0.004556;0.005257;0.005575;0.006625;0.006529;0.006068;0.005140;0.004604;-19.800240;-9.048038;8.536916;21.350410;2194.420898;2265.663789;0.450283;0.008435;0.409762;0.005873
0.067106;0.003998;0.003002;0.002963;0.003980;0.004606;0.005299;0.005630;0.006672;0.006579;0.006083;0.005161;0.004632;-9.176333;-8.506353;5.542387;19.706280;2211.195068;2283.224897;0.450285;0.008264;0.410876;0.001792
0.067206;0.003991;0.002965;0.002922;0.003949;0.004556;0.005226;0.005574;0.006669;0.006623;0.006114;0.005204;0.004658;-19.628571;-13.618030;9.704210;22.674110;2204.363037;2277.181378;0.450300;0.008769;0.406759;0.006172
0.067306;0.004015;0.002985;0.002927;0.003957;0.004551;0.005206;0.005605;0.006697;0.006637;0.006121;0.005223;0.004690;-23.542440;-10.509060;7.819755;24.142759;2210.722900;2283.515628;0.450378;0.008848;0.407595;0.006780
0.067406;0.004065;0.003014;0.002929;0.003955;0.004535;0.005175;0.005594;0.006693;0.006596;0.006105;0.005244;0.004725;-22.569700;-14.564080;11.100390;23.963470;2212.456055;2284.095986;0.450666;0.008917;0.405620;0.007472
0.067506;0.004011;0.002983;0.002932;0.003970;0.004552;0.005190;0.005643;0.006704;0.006556;0.005995;0.005147;0.004657;-21.032379;-9.315067;5.717862;22.773291;2201.851074;2272.798404;0.450334;0.008426;0.408901;0.005398
0.067606;0.004097;0.003029;0.002948;0.003975;0.004541;0.005164;0.005635;0.006744;0.006636;0.006088;0.005255;0.004753;-22.733730;-10.650210;9.280780;22.449039;2222.302002;2293.242444;0.450688;0.008913;0.408386;0.006975
