#Idle_Thread_Histogram (uint32)[18]
{ 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 } 
{ 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 } 
{ 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 } 
{ 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 } 
{ 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 } 
{ 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 } 
{ 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 } 
{ 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 3 } 
{ 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 3 } 
{ 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 4 } 
{ 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 4 } 
{ 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 5 } 
{ 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 6 } 
{ 5 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 6 } 
{ 5 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 7 } 
{ 6 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 7 } 
{ 6 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 7 } 
{ 7 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 7 } 
{ 7 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 8 } 
{ 7 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 9 } 
{ 8 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 9 } 
{ 8 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 9 } 
{ 9 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 9 } 
{ 9 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 9 } 
{ 10 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 9 } 
{ 10 0 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 9 } 
{ 11 0 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 9 } 
{ 11 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 9 } 
{ 12 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 9 } 
{ 12 0 0 1 0 1 1 1 0 0 2 1 1 0 0 1 0 9 } 
{ 13 0 0 1 0 1 1 1 0 0 2 1 1 0 0 1 0 9 } 
{ 13 0 0 1 0 1 1 1 0 0 2 1 2 0 0 1 0 9 } 
{ 14 0 0 1 0 1 1 1 0 0 2 1 2 0 0 1 0 9 } 
{ 14 0 0 1 0 1 2 1 0 0 2 1 2 0 0 1 0 9 } 
{ 15 0 0 1 0 1 2 1 0 0 2 1 2 0 0 1 0 9 } 
{ 15 0 0 1 0 1 2 1 0 0 2 1 2 0 0 1 0 10 } 
{ 15 0 0 1 1 1 2 1 0 0 2 1 2 0 0 1 0 10 } 
{ 16 0 0 1 1 1 2 1 0 0 2 1 2 0 0 1 0 10 } 
{ 16 0 0 1 1 1 2 1 0 0 2 1 2 1 0 1 0 10 } 
{ 17 0 0 1 1 1 2 1 0 0 2 1 2 1 0 1 0 10 } 
{ 17 0 0 1 1 2 2 1 0 0 2 1 2 1 0 1 0 10 } 
{ 18 0 0 1 1 2 2 1 0 0 2 1 2 1 0 1 0 10 } 
{ 18 0 0 1 1 2 2 1 1 0 2 1 2 1 0 1 0 10 } 
{ 19 0 0 1 1 2 2 1 1 0 2 1 2 1 0 1 0 10 } 
{ 19 0 0 1 1 2 2 1 1 0 2 2 2 1 0 1 0 10 } 
{ 20 0 0 1 1 2 2 1 1 0 2 2 2 1 0 1 0 10 } 
{ 20 0 0 1 1 2 2 1 1 1 2 2 2 1 0 1 0 10 } 
{ 21 0 0 1 1 2 2 1 1 1 2 2 2 1 0 1 0 10 } 
{ 21 0 0 1 1 2 2 1 2 1 2 2 2 1 0 1 0 10 } 
{ 22 0 0 1 1 2 2 1 2 1 2 2 2 1 0 1 0 10 } 
{ 22 0 0 1 1 2 2 1 2 1 2 2 2 1 0 1 0 11 } 
{ 22 0 0 1 1 2 2 1 2 1 2 2 2 1 0 1 0 12 } 
{ 22 0 0 1 1 2 2 1 2 1 2 3 2 1 0 1 0 12 } 
{ 23 0 0 1 1 2 2 1 2 1 2 3 2 1 0 1 0 12 } 
{ 24 0 0 1 1 2 2 1 2 1 2 3 2 1 0 1 0 12 } 
{ 24 0 0 1 1 2 2 1 2 2 2 3 2 1 0 1 0 12 } 
{ 25 0 0 1 1 2 2 1 2 2 2 3 2 1 0 1 0 12 } 
{ 25 0 0 1 1 2 2 1 3 2 2 3 2 1 0 1 0 12 } 
{ 26 0 0 1 1 2 2 1 3 2 2 3 2 1 0 1 0 12 } 
{ 26 0 0 1 1 2 2 1 3 3 2 3 2 1 0 1 0 12 } 
{ 26 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 0 12 } 
{ 26 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 12 } 
{ 26 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 13 } 
{ 26 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 14 } 
{ 27 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 14 } 
{ 27 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 15 } 
{ 27 0 0 1 2 2 2 1 3 3 2 3 2 1 0 1 1 16 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 16 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 17 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 18 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 19 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 20 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 21 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 22 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 23 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 1 0 1 1 24 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 2 0 1 1 24 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 2 0 1 1 25 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 2 0 1 1 26 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 2 0 1 1 27 } 
{ 27 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 27 } 
{ 28 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 27 } 
{ 28 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 28 } 
{ 28 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 29 } 
{ 28 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 30 } 
{ 28 0 0 2 2 2 2 1 3 3 2 3 2 2 1 1 1 31 } 
