#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.787043;0;0;NaN;NaN;146.302688;47.765832
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;0;NaN;NaN;146.283619;47.765832
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.934399;4.790857;0;0;NaN;NaN;146.283619;47.765832
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.787043;0;0;0.453222;0.008998;146.302688;47.765839
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.047581;-1.930585;4.790857;0;0;NaN;NaN;146.283619;47.742948
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.047581;-1.930585;4.790857;0;0;0.554241;-0.024200;146.283619;47.765839
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.043770;-1.938214;4.783228;0;0;NaN;NaN;146.302710;47.765837
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.047581;-1.938214;4.783228;0;0;0.453222;0.008998;146.321764;47.765837
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.518944;32.047581;-1.938214;4.779413;0.010987;0;NaN;NaN;146.340837;47.742948
-0.000100;-0.000060;0.000014;-0.000047;0.000059;-0.000028;-0.000038;0.000040;0.000028;-0.000011;0.000011;-0.000073;0.000036;3.526573;32.047581;-1.934399;4.787043;-3.597116;-2.764320;0.579193;-0.015388;146.302688;47.765832
0;-0.000087;0.000022;-0.000070;0.000089;-0.000042;-0.000056;0.000057;0.000040;-0.000015;0.000017;-0.000111;0.000052;3.526573;32.047581;-1.930585;4.787043;-5.287674;-4.057547;0.580404;-0.011113;146.302688;47.742948
0.000100;-0.000103;0.000030;-0.000065;0.000085;-0.000044;-0.000064;0.000062;0.000046;0.000017;0.000030;-0.000100;0.000041;3.469353;32.020882;-1.991620;4.703119;-3.945020;-2.569417;0.670428;-0.096865;146.588814;47.765837
0.000200;-0.000090;0.000022;-0.000044;0.000045;-0.000040;-0.000063;0.000067;0.000047;0.000044;0.000032;-0.000055;0.000012;3.511315;32.039951;-1.945844;4.767969;-2.096193;-0.852459;1.032736;-0.595457;146.359911;47.742955
0.000300;-0.000070;0.000012;-0.000025;0.000008;-0.000036;-0.000061;0.000069;0.000045;0.000060;0.000029;-0.000014;-0.000011;3.522759;32.047581;-1.934399;4.787043;-0.821361;0.231836;-1.282534;2.988974;146.302688;47.742948
0.000400;-0.000048;0.000002;-0.000006;-0.000028;-0.000031;-0.000056;0.000068;0.000041;0.000074;0.000026;0.000026;-0.000032;3.530388;32.047581;-1.930585;4.790857;0.583665;1.399739;0.246027;0.605012;146.283619;47.765839
0.000500;-0.000024;-0.000007;0.000015;-0.000062;-0.000024;-0.000049;0.000064;0.000035;0.000086;0.000021;0.000065;-0.000053;3.530388;32.047581;-1.930585;4.790857;2.070763;2.598409;0.391415;0.369875;146.283619;47.765839
0.000600;-0.000023;-0.000007;0.000018;-0.000066;-0.000020;-0.000043;0.000059;0.000034;0.000087;0.000020;0.000067;-0.000060;3.526573;32.047581;-1.934399;4.790857;2.107783;2.586521;0.381380;0.362359;146.283619;47.765832
0.000700;-0.000049;0.000006;0.000001;-0.000030;-0.000020;-0.000036;0.000056;0.000037;0.000075;0.000026;0.000025;-0.000051;3.526573;32.047581;-1.930585;4.790857;0.812558;1.530538;0.202391;0.479767;146.283619;47.742948
0.000800;-0.000074;0.000019;-0.000015;0.000008;-0.000018;-0.000029;0.000050;0.000037;0.000063;0.000032;-0.000019;-0.000041;3.526573;32.047581;-1.934399;4.787043;-0.439432;0.502337;-0.699299;1.021130;146.302688;47.765832
0.000900;-0.000100;0.000032;-0.000031;0.000047;-0.000015;-0.000018;0.000042;0.000037;0.000049;0.000038;-0.000062;-0.000032;3.530388;32.051399;-1.934399;4.790857;-1.641011;-0.502212;1.996428;-0.518866;146.302712;47.788723
0.001000;-0.000126;0.000045;-0.000046;0.000087;-0.000010;-0.000005;0.000032;0.000034;0.000035;0.000043;-0.000106;-0.000022;3.530388;32.047581;-1.934399;4.790857;-2.829918;-1.515624;1.091073;0.009215;146.283619;47.788723
0.001100;-0.000128;0.000050;-0.000042;0.000099;0.000001;0.000014;0.000015;0.000025;0.000028;0.000046;-0.000114;-0.000025;3.526573;32.051399;-1.934399;4.787043;-2.431418;-1.226528;1.268836;0.164690;146.321781;47.765832
0.001200;-0.000101;0.000042;-0.000017;0.000072;0.000020;0.000039;-0.000009;0.000008;0.000032;0.000041;-0.000078;-0.000044;3.526573;32.047581;-1.934399;4.787043;-0.546196;0.215510;-3.505713;-1.246610;146.302688;47.765832
0.001300;-0.000079;0.000033;0.000005;0.000043;0.000034;0.000056;-0.000024;-0.000005;0.000036;0.000037;-0.000038;-0.000060;3.522759;32.047581;-1.938214;4.779413;1.038054;1.430238;-0.042748;-0.177785;146.340837;47.765837
0.001400;-0.000059;0.000021;0.000025;0.000010;0.000041;0.000062;-0.000029;-0.000012;0.000044;0.000033;0.000004;-0.000073;3.507500;32.039951;-1.953473;4.760340;2.501181;2.611805;0.237594;-0.051137;146.398056;47.765837
0.001500;-0.000043;0.000006;0.000040;-0.000027;0.000041;0.000053;-0.000019;-0.000012;0.000058;0.000029;0.000049;-0.000083;3.522759;32.043770;-1.934399;4.783228;3.608587;3.558744;0.333613;0.036376;146.302710;47.742948
0.001601;-0.000050;0;0.000037;-0.000037;0.000034;0.000039;-0.000002;-0.000003;0.000064;0.000028;0.000058;-0.000083;3.526573;32.047581;-1.934399;4.790857;3.236294;3.312436;0.316524;0.092453;146.283619;47.765832
0.001701;-0.000082;0.000007;0.000014;-0.000007;0.000020;0.000022;0.000019;0.000011;0.000061;0.000034;0.000021;-0.000068;3.526573;32.047581;-1.934399;4.790857;1.457364;1.971780;0.116710;0.168195;146.283619;47.765832
0.001801;-0.000113;0.000014;-0.000009;0.000023;0.000009;0.000006;0.000038;0.000024;0.000056;0.000040;-0.000017;-0.000054;3.530388;32.047581;-1.934399;4.790857;-0.267318;0.665132;-0.860289;0.502581;146.283619;47.788723
0.001901;-0.000141;0.000023;-0.000032;0.000054;-0.000002;-0.000006;0.000055;0.000036;0.000050;0.000044;-0.000056;-0.000041;3.526573;32.047581;-1.934399;4.790857;-1.939686;-0.623130;2.192045;-0.484974;146.283619;47.765832
0.002001;-0.000169;0.000032;-0.000054;0.000085;-0.000011;-0.000014;0.000068;0.000047;0.000044;0.000050;-0.000097;-0.000029;3.530388;32.047581;-1.934399;4.790857;-3.557451;-1.872182;1.144639;-0.130706;146.283619;47.788723
0.002101;-0.000173;0.000033;-0.000056;0.000088;-0.000013;-0.000017;0.000074;0.000051;0.000047;0.000052;-0.000102;-0.000031;3.526573;32.047581;-1.930585;4.794672;-3.569718;-1.813023;1.194021;-0.148858;146.264544;47.742948
0.002201;-0.000148;0.000023;-0.000037;0.000053;-0.000007;-0.000013;0.000072;0.000046;0.000060;0.000047;-0.000063;-0.000049;3.526573;32.047581;-1.934399;4.787043;-2.133181;-0.650650;2.310661;-0.625785;146.302688;47.765832
0.002301;-0.000122;0.000013;-0.000017;0.000019;0;-0.000005;0.000066;0.000040;0.000071;0.000042;-0.000025;-0.000068;3.526573;32.047581;-1.934399;4.790857;-0.624364;0.560033;-1.465541;0.920410;146.283619;47.765832
0.002401;-0.000096;0.000003;0.000004;-0.000013;0.000009;0.000006;0.000058;0.000032;0.000081;0.000037;0.000013;-0.000086;3.526573;32.047581;-1.930585;4.787043;0.989428;1.848151;-0.054786;0.319444;146.302688;47.742948
0.002501;-0.000069;-0.000006;0.000025;-0.000045;0.000022;0.000020;0.000046;0.000023;0.000090;0.000032;0.000051;-0.000106;3.526573;32.047581;-1.934399;4.790857;2.760097;3.263558;0.207059;0.195336;146.283619;47.765832
0.002601;-0.000067;-0.000005;0.000030;-0.000046;0.000031;0.000034;0.000035;0.000017;0.000088;0.000031;0.000051;-0.000112;3.526573;32.047581;-1.934399;4.787043;2.989538;3.379535;0.208940;0.159280;146.302688;47.765832
0.002701;-0.000091;0.000007;0.000015;-0.000006;0.000036;0.000047;0.000025;0.000015;0.000073;0.000036;0.000006;-0.000103;3.526573;32.047581;-1.934399;4.790857;1.843417;2.403230;0.028135;0.109109;146.283619;47.765832
0.002801;-0.000116;0.000020;0.000001;0.000036;0.000043;0.000062;0.000013;0.000011;0.000058;0.000042;-0.000039;-0.000093;3.526573;32.047581;-1.934399;4.790857;0.711253;1.427929;-0.399707;-0.024403;146.283619;47.765832
0.002901;-0.000145;0.000030;-0.000016;0.000074;0.000044;0.000068;0.000009;0.000012;0.000044;0.000047;-0.000081;-0.000080;3.522759;32.043770;-1.938214;4.783228;-0.672330;0.274150;-4.708432;-0.907342;146.302710;47.765837
0.003001;-0.000175;0.000039;-0.000035;0.000111;0.000041;0.000068;0.000013;0.000017;0.000032;0.000052;-0.000121;-0.000066;3.515130;32.039951;-1.949658;4.764154;-2.196048;-0.945280;2.167786;0.411194;146.378987;47.788728
0.003101;-0.000186;0.000035;-0.000040;0.000112;0.000034;0.000055;0.000029;0.000025;0.000035;0.000056;-0.000122;-0.000061;3.522759;32.047581;-1.938214;4.783228;-2.519339;-1.094739;1.982680;0.242866;146.321764;47.765837
0.003201;-0.000168;0.000020;-0.000026;0.000073;0.000031;0.000044;0.000043;0.000029;0.000051;0.000051;-0.000077;-0.000074;3.530388;32.047581;-1.934399;4.787043;-1.372961;-0.076133;20.826576;-0.345002;146.302688;47.788723
0.003301;-0.000148;0.000006;-0.000011;0.000033;0.000029;0.000035;0.000055;0.000032;0.000068;0.000047;-0.000034;-0.000088;3.526573;32.047581;-1.934399;4.787043;-0.215597;0.941290;-1.064447;0.324543;146.302688;47.765832
0.003401;-0.000126;-0.000008;0.000005;-0.000006;0.000029;0.000028;0.000064;0.000034;0.000084;0.000043;0.000007;-0.000104;3.526573;32.047581;-1.930585;4.787043;1.036600;2.025711;-0.191233;0.274976;146.302688;47.742948
0.003501;-0.000103;-0.000020;0.000021;-0.000044;0.000030;0.000025;0.000071;0.000035;0.000099;0.000038;0.000048;-0.000121;3.526573;32.051399;-1.930585;4.790857;2.328251;3.121719;0.073917;0.249255;146.302712;47.742948
0.003601;-0.000103;-0.000023;0.000021;-0.000051;0.000028;0.000022;0.000078;0.000039;0.000104;0.000037;0.000052;-0.000127;3.522759;32.047581;-1.934399;4.790857;2.167175;2.999803;0.045722;0.283598;146.283619;47.742948
0.003701;-0.000130;-0.000013;0;-0.000017;0.000022;0.000018;0.000086;0.000048;0.000096;0.000042;0.000010;-0.000116;3.526573;32.047581;-1.934399;4.790857;0.615502;1.770446;-0.356712;0.421720;146.283619;47.765832
0.003801;-0.000156;-0.000002;-0.000019;0.000017;0.000018;0.000017;0.000092;0.000055;0.000088;0.000047;-0.000033;-0.000106;3.526573;32.051399;-1.934399;4.787043;-0.782916;0.676718;-1.982302;0.907590;146.321781;47.765832
0.003901;-0.000182;0.000009;-0.000038;0.000053;0.000016;0.000019;0.000094;0.000061;0.000078;0.000052;-0.000076;-0.000096;3.522759;32.047581;-1.934399;4.790857;-2.167785;-0.425430;4.830129;-1.073156;146.283619;47.742948
0.004001;-0.000208;0.000020;-0.000055;0.000089;0.000016;0.000025;0.000092;0.000065;0.000068;0.000057;-0.000120;-0.000087;3.526573;32.047581;-1.938214;4.787043;-3.498291;-1.499926;1.839152;-0.176232;146.302688;47.788721
0.004101;-0.000211;0.000023;-0.000055;0.000097;0.000022;0.000036;0.000086;0.000061;0.000065;0.000061;-0.000129;-0.000090;3.526573;32.047581;-1.934399;4.787043;-3.274635;-1.289371;2.109598;-0.129012;146.302688;47.765832
0.004201;-0.000184;0.000014;-0.000033;0.000067;0.000036;0.000053;0.000072;0.000050;0.000073;0.000056;-0.000092;-0.000110;3.526573;32.047581;-1.934399;4.787043;-1.536657;0.081637;-24.178449;2.253431;146.302688;47.765832
0.004301;-0.000159;0.000005;-0.000009;0.000038;0.000052;0.000074;0.000056;0.000038;0.000080;0.000051;-0.000056;-0.000130;3.526573;32.051399;-1.934399;4.790857;0.308341;1.549813;-0.769224;0.114694;146.302712;47.765832
0.004401;-0.000133;-0.000003;0.000015;0.000010;0.000070;0.000097;0.000037;0.000024;0.000086;0.000046;-0.000020;-0.000151;3.522759;32.047581;-1.934399;4.787043;2.165497;3.000139;-0.138408;0.047307;146.302688;47.742948
0.004501;-0.000108;-0.000012;0.000039;-0.000017;0.000089;0.000122;0.000016;0.000009;0.000090;0.000040;0.000016;-0.000171;3.526573;32.047581;-1.934399;4.787043;4.012954;4.424321;0.079303;0.019736;146.302688;47.765832
0.004601;-0.000111;-0.000014;0.000043;-0.000018;0.000098;0.000131;0.000010;0.000005;0.000088;0.000039;0.000019;-0.000175;3.522759;32.047581;-1.938214;4.783228;4.098465;4.446564;0.072102;0.006916;146.321764;47.765837
0.004701;-0.000145;-0.000007;0.000023;0.000017;0.000094;0.000128;0.000017;0.000012;0.000077;0.000044;-0.000020;-0.000161;3.515130;32.039951;-1.949658;4.764154;2.409388;3.095413;-0.168701;-0.026104;146.378987;47.788728
0.004801;-0.000181;-0.000002;0;0.000048;0.000083;0.000113;0.000039;0.000026;0.000072;0.000050;-0.000057;-0.000145;3.522759;32.043770;-1.942029;4.783228;0.634759;1.776421;-0.763596;-0.035325;146.302710;47.788728
0.004901;-0.000216;0.000003;-0.000024;0.000078;0.000070;0.000095;0.000062;0.000042;0.000069;0.000057;-0.000094;-0.000130;3.522759;32.047581;-1.934399;4.787043;-1.131739;0.479637;-4.539386;-0.037092;146.302688;47.742948
0.005001;-0.000249;0.000010;-0.000048;0.000107;0.000058;0.000079;0.000085;0.000058;0.000067;0.000062;-0.000132;-0.000117;3.526573;32.047581;-1.934399;4.787043;-2.921178;-0.854281;3.536358;-0.013733;146.302688;47.765832
0.005101;-0.000257;0.000008;-0.000054;0.000107;0.000051;0.000068;0.000101;0.000067;0.000073;0.000065;-0.000135;-0.000118;3.526573;32.047581;-1.930585;4.787043;-3.125087;-0.876215;3.553750;-0.152701;146.302688;47.742948
0.005201;-0.000237;-0.000005;-0.000038;0.000069;0.000052;0.000064;0.000111;0.000069;0.000090;0.000061;-0.000094;-0.000136;3.522759;32.047581;-1.934399;4.787043;-1.826840;0.269772;-9.280511;1.397454;146.302688;47.742948
0.005301;-0.000215;-0.000017;-0.000022;0.000032;0.000055;0.000064;0.000118;0.000070;0.000107;0.000057;-0.000055;-0.000156;3.526573;32.047581;-1.934399;4.787043;-0.515015;1.399812;-1.358576;0.421530;146.302688;47.765832
0.005401;-0.000193;-0.000029;-0.000005;-0.000005;0.000060;0.000066;0.000121;0.000070;0.000122;0.000053;-0.000016;-0.000178;3.526573;32.047581;-1.934399;4.787043;0.921400;2.629352;-0.478699;0.293291;146.302688;47.765832
0.005501;-0.000170;-0.000040;0.000014;-0.000040;0.000067;0.000072;0.000122;0.000067;0.000136;0.000048;0.000022;-0.000200;3.522759;32.043770;-1.938214;4.787043;2.396024;3.861555;-0.158654;0.237960;146.283634;47.765837
0.005601;-0.000170;-0.000041;0.000016;-0.000045;0.000072;0.000079;0.000122;0.000068;0.000140;0.000047;0.000023;-0.000210;3.526573;32.047581;-1.938214;4.787043;2.454083;3.917036;-0.169056;0.234641;146.302688;47.788721
0.005701;-0.000198;-0.000030;-0.000002;-0.000009;0.000072;0.000085;0.000125;0.000073;0.000131;0.000052;-0.000021;-0.000204;3.522759;32.047581;-1.938214;4.783228;1.118375;2.871574;-0.486964;0.258273;146.321764;47.765837
0.005801;-0.000227;-0.000019;-0.000019;0.000029;0.000075;0.000094;0.000125;0.000077;0.000121;0.000058;-0.000065;-0.000199;3.526573;32.047581;-1.934399;4.787043;-0.145292;1.875027;-1.125910;0.286619;146.302688;47.765832
0.005901;-0.000255;-0.000007;-0.000036;0.000067;0.000079;0.000106;0.000122;0.000080;0.000110;0.000064;-0.000110;-0.000195;3.522759;32.047581;-1.934399;4.787043;-1.357557;0.915108;-3.072766;0.338602;146.302688;47.742948
0.006001;-0.000284;0.000004;-0.000051;0.000106;0.000085;0.000120;0.000116;0.000081;0.000099;0.000070;-0.000155;-0.000191;3.526573;32.047581;-1.934399;4.787043;-2.459738;0.049433;-70.234956;1.203253;146.302688;47.765832
0.006101;-0.000290;0.000007;-0.000048;0.000118;0.000098;0.000141;0.000105;0.000075;0.000095;0.000073;-0.000165;-0.000199;3.526573;32.047581;-1.934399;4.783228;-2.051114;0.425231;-8.043330;-0.236500;146.321764;47.765832
0.006201;-0.000271;-0.000002;-0.000025;0.000089;0.000117;0.000165;0.000091;0.000064;0.000103;0.000069;-0.000129;-0.000223;3.515130;32.039951;-1.949658;4.767969;-0.224759;1.913852;-1.406624;-0.055198;146.359911;47.788728
