#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.503685;31.906441;-1.945844;4.790857;0;0;NaN;NaN;0.454912;0.001740;0.454912;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.507500;31.906441;-1.942029;4.794672;0;0;NaN;NaN;0.454912;0.001740;0.454912;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.507500;31.906441;-1.945844;4.794672;0;0;0.445008;0.047532;0.454912;0.001740;0.454912;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.499871;31.902620;-1.953473;4.783228;0;0;0.446364;0.082931;0.454911;0.001740;0.454911;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.499871;31.902620;-1.949658;4.787043;0;0;0.484967;-0.038566;0.454912;0.001740;0.454912;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.499871;31.902620;-1.949658;4.787043;0;0;0.484967;-0.038566;0.454912;0.001740;0.454912;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.503685;31.906441;-1.945844;4.794672;0;0;0.445008;0.047532;0.454912;0.001740;0.454912;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.507500;31.906441;-1.945844;4.794672;0;0;0.449123;0.079863;0.454912;0.001740;0.454912;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.503685;31.906441;-1.945844;4.794672;0.008599;0;NaN;NaN;0.454912;0.001740;0.454912;0.001740
-0.000100;-0.000025;0.000010;-0.000020;0.000032;-0.000009;-0.000012;0.000013;0.000010;-0.000007;0.000003;-0.000040;0.000017;3.507500;31.906441;-1.945844;4.794672;-1.417352;-1.106114;0.596849;0.062617;0.454912;0.001740;0.454914;0.001740
