#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;0.462889;0.001614;0;0
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.085731;-1.934399;4.779413;0;0.462891;0.001613;0.002129;0.015469
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085731;-1.930585;4.779413;0;0.462891;0.001614;0.003187;0.047187
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.085731;-1.942029;4.767969;0;0.462884;0.001614;0.004222;0.078237
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085731;-1.934399;4.779413;0;0.462891;0.001614;0.004382;0.083019
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.081909;-1.938214;4.771784;0;0.462889;0.001614;0.004843;0.096861
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085731;-1.930585;4.779413;0;0.462891;0.001615;0.005000;0.101559
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;0.462894;0.001614;0.004755;0.094232
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085731;-1.930585;4.779413;0.011279;0.462891;0.001614;0.004222;0.078222
-0.000100;-0.000054;0.000018;-0.000042;0.000065;-0.000023;-0.000023;0.000027;0.000023;-0.000013;0.000012;-0.000081;0.000025;3.530388;32.085731;-1.934399;4.783228;-3.294242;0.462892;0.001613;0.003423;0.054293
0;-0.000057;0.000018;-0.000049;0.000076;-0.000027;-0.000027;0.000032;0.000027;-0.000013;0.000018;-0.000092;0.000029;3.530388;32.085731;-1.930585;4.783228;-3.596187;0.462892;0.001613;0.002409;0.023859
