#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;0;NaN;NaN;146.512480;47.765839
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.085732;-1.934399;4.779413;0;0;NaN;NaN;146.531591;47.811612
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085732;-1.930585;4.779413;0;0;NaN;NaN;146.531591;47.765839
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.085732;-1.942029;4.767969;0;0;NaN;NaN;146.588812;47.788728
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085732;-1.934399;4.779413;0;0;NaN;NaN;146.531591;47.765832
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.522759;32.081909;-1.938214;4.771784;0;0;NaN;NaN;146.550627;47.765837
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.526573;32.085732;-1.930585;4.779413;0;0;NaN;NaN;146.531591;47.742948
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.081909;-1.930585;4.779413;0;0;NaN;NaN;146.512480;47.765839
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.085732;-1.930585;4.779413;0.011279;0;NaN;NaN;146.531591;47.765839
-0.000100;-0.000053;0.000016;-0.000044;0.000065;-0.000022;-0.000023;0.000026;0.000024;-0.000012;0.000012;-0.000081;0.000026;3.530388;32.085732;-1.934399;4.783228;-3.294242;-2.545473;0.603205;0.033271;146.512518;47.788723
0;-0.000059;0.000019;-0.000050;0.000075;-0.000027;-0.000028;0.000031;0.000028;-0.000012;0.000016;-0.000093;0.000029;3.530388;32.085732;-1.930585;4.783228;-3.596187;-2.732915;0.608820;0.030726;146.512518;47.765839
0.000100;-0.000064;0.000008;-0.000026;0.000035;-0.000022;-0.000030;0.000030;0.000025;0.000036;0.000022;-0.000027;0.000015;3.476983;32.062840;-1.983990;4.703119;-0.763533;0.034421;-8.345647;9.826750;146.798604;47.765838
0.000200;-0.000081;-0.000018;-0.000013;-0.000005;-0.000021;-0.000035;0.000041;0.000028;0.000070;0.000026;0.000036;0.000012;3.511315;32.078098;-1.945844;4.760340;0.633846;1.586716;0.285229;0.517970;146.588790;47.742955
0.000300;-0.000096;-0.000048;-0.000003;-0.000045;-0.000022;-0.000043;0.000055;0.000032;0.000096;0.000026;0.000098;0.000019;3.526573;32.081909;-1.938214;4.775599;1.496749;2.646550;0.374877;0.496531;146.531551;47.788721
0.000400;-0.000111;-0.000080;0.000005;-0.000084;-0.000025;-0.000053;0.000069;0.000035;0.000121;0.000026;0.000162;0.000029;3.530388;32.085732;-1.930585;4.783228;2.216470;3.692891;0.418835;0.492210;146.512518;47.765839
0.000500;-0.000145;-0.000106;-0.000002;-0.000100;-0.000030;-0.000062;0.000086;0.000042;0.000138;0.000028;0.000197;0.000049;3.530388;32.085732;-1.930585;4.779413;1.517941;3.691912;0.401705;0.604771;146.531591;47.765839
0.000600;-0.000211;-0.000120;-0.000033;-0.000071;-0.000042;-0.000075;0.000107;0.000057;0.000142;0.000041;0.000180;0.000087;3.530388;32.085732;-1.930585;4.783228;-0.772731;2.445757;0.262634;1.017241;146.512518;47.765839
0.000700;-0.000276;-0.000134;-0.000063;-0.000041;-0.000052;-0.000084;0.000126;0.000071;0.000146;0.000052;0.000162;0.000125;3.530388;32.085732;-1.930585;4.783228;-2.900573;1.252547;-0.145713;2.171628;146.512518;47.765839
0.000800;-0.000341;-0.000149;-0.000094;-0.000011;-0.000062;-0.000093;0.000145;0.000085;0.000149;0.000065;0.000144;0.000164;3.518944;32.078098;-1.942029;4.764154;-4.863817;0.028220;-36.167513;104.820499;146.569722;47.765838
