#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.050609;-0.000118;-0.000077;0.000062;0.000086;0.000084;0.000059;0.000117;0.000008;0.000065;0.000055;-0.000145;0.000117;3.526573;32.089539;-1.934399;4.779413;12.206998;0.367859;-0.073829;0.439167;-0.004255
0.050709;-0.000090;-0.000085;0.000082;0.000052;0.000089;0.000061;0.000114;0.000002;0.000076;0.000049;-0.000105;0.000103;3.530388;32.089539;-1.930585;4.779413;13.463394;0.383541;-0.052831;0.439167;-0.004255
0.050809;-0.000061;-0.000093;0.000102;0.000017;0.000096;0.000066;0.000107;-0.000006;0.000085;0.000043;-0.000065;0.000088;3.530388;32.093361;-1.934399;4.783228;14.744931;0.397816;-0.036573;0.439167;-0.004256
0.050909;-0.000033;-0.000101;0.000124;-0.000016;0.000104;0.000074;0.000097;-0.000016;0.000094;0.000037;-0.000025;0.000073;3.530388;32.089539;-1.934399;4.779413;16.029293;0.410549;-0.024236;0.439167;-0.004256
0.051009;-0.000014;-0.000105;0.000138;-0.000037;0.000113;0.000084;0.000086;-0.000024;0.000098;0.000030;-0.000003;0.000062;3.530388;32.089539;-1.934399;4.779413;16.644780;0.418155;-0.020964;0.439167;-0.004256
0.051109;-0.000037;-0.000093;0.000122;-0.000001;0.000113;0.000091;0.000080;-0.000023;0.000085;0.000036;-0.000046;0.000073;3.530388;32.089539;-1.934399;4.779413;15.624387;0.413116;-0.039397;0.439167;-0.004256
0.051209;-0.000060;-0.000080;0.000106;0.000035;0.000115;0.000101;0.000071;-0.000024;0.000070;0.000043;-0.000089;0.000084;3.530388;32.093361;-1.934399;4.779413;14.536239;0.408388;-0.061615;0.439169;-0.004256
0.051309;-0.000082;-0.000067;0.000092;0.000073;0.000118;0.000112;0.000060;-0.000026;0.000055;0.000050;-0.000133;0.000096;3.530388;32.093361;-1.930585;4.779413;13.517416;0.403980;-0.088576;0.439169;-0.004255
0.051409;-0.000108;-0.000055;0.000076;0.000109;0.000119;0.000119;0.000053;-0.000026;0.000040;0.000057;-0.000176;0.000109;3.522759;32.089539;-1.938214;4.767969;12.317022;0.396594;-0.118988;0.439173;-0.004255
0.051509;-0.000125;-0.000049;0.000065;0.000132;0.000117;0.000119;0.000052;-0.000026;0.000032;0.000062;-0.000200;0.000119;3.526573;32.093361;-1.938214;4.775599;11.664326;0.390726;-0.136613;0.439171;-0.004256
0.051609;-0.000104;-0.000061;0.000082;0.000096;0.000118;0.000113;0.000057;-0.000028;0.000042;0.000056;-0.000155;0.000110;3.522759;32.089539;-1.942029;4.771784;12.709664;0.400495;-0.104854;0.439171;-0.004256
