#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.926770;4.783228;0;0.439191;-0.004251;0.127532
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.930585;4.783228;0;0.439167;-0.004255;0.173992
-0.000800;0;0;0;0;0;0;0;0;0;0;0;-9247.264347;3.530388;32.093361;-1.926770;4.783228;0;0.507341;0.057654;0
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0.439167;-0.004256;0.215842
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.093361;-1.934399;4.783228;0;0.439167;-0.004256;0.237020
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.530388;32.089539;-1.930585;4.783228;0;0.439165;-0.004255;0.248993
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.089539;-1.930585;4.783228;0;0.439165;-0.004256;0.259120
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0;0.439167;-0.004256;0.267141
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.534203;32.093361;-1.930585;4.783228;0.008278;0.439167;-0.004256;0.272962
-0.000100;0.000047;-0.000020;0.000042;-0.000065;0.000018;0.000014;-0.000018;-0.000021;0.000012;-0.000013;0.000083;-0.000022;3.518944;32.081909;-1.945844;4.764154;2.968661;0.439210;-0.004221;0.276329
0;0.000056;-0.000029;0.000051;-0.000088;0.000015;0.000004;-0.000010;-0.000019;0.000020;-0.000018;0.000112;-0.000025;3.530388;32.093361;-1.938214;4.779413;3.490880;0.439215;-0.004215;0.276164
0.000100;0.000014;-0.000017;0.000036;-0.000059;0.000005;-0.000012;0.000005;-0.000006;0.000038;-0.000002;0.000087;-0.000018;3.492241;32.074280;-1.972546;4.722193;3.147121;0.439236;-0.004212;0.269031
0.000200;-0.000029;-0.000006;0.000018;-0.000029;-0.000003;-0.000023;0.000025;0.000010;0.000051;0.000014;0.000055;-0.000019;3.511315;32.085732;-1.953473;4.752710;2.275734;0.439221;-0.004217;0.265992
0.000300;-0.000065;0.000002;-0.000004;0.000002;-0.000014;-0.000035;0.000044;0.000025;0.000051;0.000025;0.000017;-0.000014;3.526573;32.089539;-1.934399;4.775599;0.622359;0.439192;-0.004234;0.258476
0.000400;-0.000098;0.000011;-0.000026;0.000035;-0.000023;-0.000044;0.000060;0.000038;0.000048;0.000034;-0.000023;-0.000007;3.530388;32.089539;-1.930585;4.783228;-0.987321;0.439168;-0.004252;0.248927
0.000500;-0.000118;0.000017;-0.000038;0.000055;-0.000030;-0.000051;0.000071;0.000047;0.000047;0.000041;-0.000048;-0.000004;3.534203;32.093361;-1.930585;4.783228;-1.784911;0.439174;-0.004250;0.223109
0.000600;-0.000095;0.000008;-0.000019;0.000020;-0.000025;-0.000048;0.000071;0.000043;0.000060;0.000035;-0.000007;-0.000022;3.530388;32.089539;-1.930585;4.783228;-0.322738;0.439179;-0.004242;0.215430
0.000700;-0.000071;-0.000001;0.000001;-0.000014;-0.000018;-0.000043;0.000068;0.000038;0.000072;0.000029;0.000034;-0.000041;3.534203;32.089539;-1.930585;4.783228;1.164827;0.439200;-0.004225;0.199005
0.000800;-0.000047;-0.000010;0.000021;-0.000048;-0.000010;-0.000035;0.000061;0.000031;0.000082;0.000023;0.000073;-0.000060;3.534203;32.093361;-1.930585;4.783228;2.688998;0.439222;-0.004206;0.181398
0.000900;-0.000023;-0.000018;0.000043;-0.000081;0;-0.000023;0.000053;0.000022;0.000091;0.000018;0.000111;-0.000078;3.534203;32.093361;-1.930585;4.783228;4.299422;0.439243;-0.004186;0.153691
0.001000;-0.000009;-0.000022;0.000057;-0.000101;0.000010;-0.000010;0.000043;0.000014;0.000096;0.000013;0.000134;-0.000092;3.530388;32.093361;-1.930585;4.787043;5.189488;0.439252;-0.004175;0.144043
0.001100;-0.000036;-0.000010;0.000041;-0.000065;0.000014;0.000001;0.000037;0.000016;0.000084;0.000020;0.000090;-0.000085;3.534203;32.089539;-1.934399;4.783228;3.933141;0.439235;-0.004193;0.097673
0.001200;-0.000063;0.000002;0.000026;-0.000028;0.000018;0.000014;0.000029;0.000016;0.000071;0.000027;0.000045;-0.000078;3.530388;32.089539;-1.930585;4.783228;2.644622;0.439217;-0.004207;0.079856
0.001300;-0.000090;0.000014;0.000011;0.000010;0.000024;0.000030;0.000018;0.000015;0.000057;0.000035;0;-0.000071;3.530388;32.093361;-1.930585;4.783228;1.452385;0.439202;-0.004222;0.062802
0.001400;-0.000120;0.000025;-0.000006;0.000046;0.000027;0.000039;0.000013;0.000017;0.000043;0.000042;-0.000042;-0.000062;3.526573;32.089539;-1.934399;4.775599;-0.026909;0.439184;-0.004241;0.039069
0.001500;-0.000141;0.000031;-0.000016;0.000070;0.000027;0.000044;0.000012;0.000018;0.000036;0.000048;-0.000067;-0.000055;3.530388;32.089539;-1.934399;4.779413;-0.777651;0.439172;-0.004251;0.024858
0.001600;-0.000124;0.000017;0.000001;0.000035;0.000030;0.000040;0.000019;0.000016;0.000048;0.000042;-0.000023;-0.000066;3.526573;32.089539;-1.938214;4.771784;0.515961;0.439194;-0.004235;0.005683
0.001700;-0.000107;0.000003;0.000017;-0.000002;0.000029;0.000030;0.000032;0.000017;0.000064;0.000036;0.000022;-0.000078;3.534203;32.089539;-1.934399;4.779413;1.744676;0.439208;-0.004219;0
0.001800;-0.000089;-0.000010;0.000032;-0.000039;0.000028;0.000021;0.000044;0.000019;0.000080;0.000031;0.000066;-0.000091;3.530388;32.089539;-1.930585;4.783228;3.072562;0.439225;-0.004199;0
0.001900;-0.000069;-0.000022;0.000048;-0.000075;0.000028;0.000014;0.000054;0.000020;0.000096;0.000025;0.000108;-0.000106;3.534203;32.093361;-1.930585;4.783228;4.387668;0.439245;-0.004183;0
0.002001;-0.000058;-0.000031;0.000057;-0.000099;0.000027;0.000009;0.000063;0.000022;0.000107;0.000020;0.000134;-0.000117;3.534203;32.089539;-1.930585;4.779413;4.999146;0.439254;-0.004174;0
0.002101;-0.000088;-0.000022;0.000035;-0.000067;0.000019;0.000003;0.000076;0.000035;0.000102;0.000028;0.000093;-0.000108;3.530388;32.093361;-1.930585;4.783228;3.469663;0.439235;-0.004191;0
0.002201;-0.000116;-0.000013;0.000014;-0.000034;0.000013;0;0.000086;0.000045;0.000096;0.000035;0.000051;-0.000100;3.534203;32.093361;-1.930585;4.783228;1.993970;0.439216;-0.004209;0
0.002301;-0.000144;-0.000003;-0.000006;0;0.000008;0;0.000093;0.000053;0.000089;0.000042;0.000007;-0.000093;3.534203;32.093361;-1.930585;4.783228;0.528429;0.439198;-0.004227;0
0.002401;-0.000172;0.000007;-0.000025;0.000035;0.000006;0.000004;0.000097;0.000060;0.000081;0.000049;-0.000037;-0.000086;3.530388;32.093361;-1.930585;4.787043;-0.926410;0.439178;-0.004243;0
0.002501;-0.000189;0.000015;-0.000035;0.000058;0.000007;0.000010;0.000096;0.000062;0.000076;0.000055;-0.000065;-0.000084;3.530388;32.093361;-1.930585;4.783228;-1.616089;0.439171;-0.004251;0.006180
0.002601;-0.000163;0.000006;-0.000013;0.000025;0.000021;0.000026;0.000085;0.000051;0.000084;0.000048;-0.000028;-0.000103;3.530388;32.093361;-1.930585;4.779413;0.065018;0.439194;-0.004231;0.017575
0.002701;-0.000139;-0.000002;0.000011;-0.000006;0.000035;0.000043;0.000071;0.000039;0.000091;0.000042;0.000010;-0.000122;3.534203;32.093361;-1.930585;4.783228;1.786341;0.439214;-0.004211;0.030723
0.002801;-0.000114;-0.000009;0.000034;-0.000038;0.000051;0.000063;0.000056;0.000026;0.000098;0.000036;0.000047;-0.000142;3.530388;32.089539;-1.930585;4.783228;3.544386;0.439233;-0.004189;0.053413
0.002901;-0.000090;-0.000017;0.000058;-0.000068;0.000070;0.000086;0.000038;0.000011;0.000104;0.000030;0.000083;-0.000161;3.534203;32.093361;-1.930585;4.783228;5.291813;0.439255;-0.004170;0.069884
0.003001;-0.000077;-0.000021;0.000075;-0.000086;0.000088;0.000110;0.000019;-0.000002;0.000104;0.000025;0.000104;-0.000176;3.534203;32.093361;-1.934399;4.787043;6.358865;0.439264;-0.004160;0.087492
0.003101;-0.000109;-0.000012;0.000058;-0.000049;0.000091;0.000119;0.000017;0.000001;0.000091;0.000033;0.000061;-0.000167;3.526573;32.085732;-1.938214;4.771784;4.916109;0.439249;-0.004177;0.125306
0.003201;-0.000143;-0.000005;0.000039;-0.000014;0.000090;0.000121;0.000022;0.000007;0.000082;0.000040;0.000020;-0.000157;3.526573;32.085732;-1.938214;4.775599;3.381027;0.439228;-0.004195;0.135278
0.003301;-0.000180;0;0.000016;0.000019;0.000082;0.000110;0.000040;0.000021;0.000076;0.000047;-0.000017;-0.000145;3.526573;32.089539;-1.934399;4.771784;1.644253;0.439212;-0.004214;0.154521
0.003401;-0.000216;0.000004;-0.000008;0.000051;0.000071;0.000096;0.000063;0.000037;0.000072;0.000055;-0.000055;-0.000133;3.530388;32.089539;-1.934399;4.783228;-0.144468;0.439187;-0.004234;0.173386
0.003501;-0.000241;0.000007;-0.000023;0.000071;0.000062;0.000085;0.000083;0.000049;0.000074;0.000061;-0.000078;-0.000127;3.530388;32.089539;-1.930585;4.787043;-1.024102;0.439177;-0.004241;0.199501
0.003601;-0.000223;-0.000006;-0.000007;0.000035;0.000064;0.000082;0.000094;0.000051;0.000091;0.000056;-0.000036;-0.000145;3.530388;32.093361;-1.934399;4.783228;0.388756;0.439199;-0.004224;0.222331
0.003701;-0.000204;-0.000018;0.000009;-0.000001;0.000067;0.000081;0.000103;0.000051;0.000107;0.000050;0.000005;-0.000164;3.530388;32.089539;-1.930585;4.783228;1.817929;0.439215;-0.004205;0.235483
0.003801;-0.000185;-0.000029;0.000027;-0.000037;0.000073;0.000083;0.000108;0.000050;0.000123;0.000044;0.000046;-0.000185;3.534203;32.093361;-1.930585;4.783228;3.304903;0.439234;-0.004187;0.252268
0.003901;-0.000165;-0.000041;0.000046;-0.000072;0.000080;0.000088;0.000111;0.000048;0.000138;0.000038;0.000085;-0.000206;3.530388;32.093361;-1.930585;4.783228;4.804754;0.439250;-0.004168;0.260766
0.004001;-0.000155;-0.000048;0.000058;-0.000094;0.000087;0.000095;0.000114;0.000047;0.000148;0.000034;0.000108;-0.000224;3.530388;32.093361;-1.930585;4.783228;5.607409;0.439256;-0.004159;0.270050
0.004101;-0.000187;-0.000039;0.000038;-0.000060;0.000087;0.000101;0.000121;0.000056;0.000141;0.000042;0.000063;-0.000222;3.530388;32.089539;-1.930585;4.783228;4.157212;0.439237;-0.004175;0.274071
0.004201;-0.000218;-0.000029;0.000020;-0.000024;0.000089;0.000110;0.000125;0.000063;0.000135;0.000049;0.000018;-0.000222;3.530388;32.089539;-1.930585;4.787043;2.784753;0.439221;-0.004190;0.275419
