#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.945844;4.779413;0;0.004734;0.449153;0.025867;0.454834;0.001740;0.454835;0.001740
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.949658;4.775599;0;0.004734;0.449153;0.025867;0.454834;0.001740;0.454834;0.001740
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.945844;4.779413;0;0.004756;0.449039;0.024872;0.454834;0.001740;0.454834;0.001740
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.949658;4.779413;0;0.004701;0.449158;0.025760;0.454834;0.001740;0.454834;0.001740
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.945844;4.779413;0;0.004691;0.448306;0.026745;0.454834;0.001740;0.454834;0.001740
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.945844;4.783228;0;0.004724;0.448904;0.026499;0.454835;0.001740;0.454835;0.001740
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.942029;4.779413;0;0.004671;0.449514;0.026362;0.454834;0.001740;0.454834;0.001740
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.949658;4.779413;0;0.004649;0.451188;0.026912;0.454834;0.001740;0.454834;0.001740
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;3.549462;32.478642;-1.945844;4.775599;4.268150;0;NaN;NaN;0.454834;0.001740;0.454834;0.001740
-0.000100;0.000001;0.000005;0.000002;-0.000007;-0.000001;0.000018;-0.000019;-0.000005;-0.000004;0.000002;-0.000002;-0.000017;3.549462;32.478642;-1.949658;4.779413;7.018105;-1.076940;0.478756;0.067929;0.454834;0.001740;0.454835;0.001739
0;-0.000005;0.000007;0.000002;-0.000017;-0.000003;0.000032;-0.000035;-0.000007;-0.000003;0.000005;0;-0.000029;3.545647;32.474831;-1.953473;4.771784;8.393082;-2.106400;0.484889;0.025855;0.454834;0.001740;0.454836;0.001739
0.000100;-0.000079;-0.000009;0.000006;-0.000035;0.000014;0.000068;-0.000053;0.000007;0.000027;0.000039;0.000052;-0.000055;3.496056;32.455750;-1.999249;4.699305;22.142860;-0.680130;1.079034;-0.563496;0.454827;0.001740;0.454827;0.001739
0.000200;-0.000095;0;0.000025;-0.000015;0.000062;0.000137;-0.000113;-0.000006;0.000029;0.000056;0.000060;-0.000116;3.564720;32.482460;-1.926770;4.798486;59.725601;1.014944;-0.279368;-0.011527;0.454836;0.001740;0.454837;0.001739
0.000300;-0.000071;0.000019;0.000044;0.000013;0.000102;0.000181;-0.000154;-0.000027;0.000019;0.000057;0.000040;-0.000163;3.576164;32.490089;-1.919141;4.821374;80.121109;2.334727;0.078491;-0.262795;0.454838;0.001740;0.454841;0.001739
0.000400;-0.000062;0.000028;0.000051;0.000024;0.000118;0.000179;-0.000152;-0.000031;0.000026;0.000053;0.000026;-0.000183;3.576164;32.490089;-1.919141;4.817560;15.267970;3.032855;0.136883;-0.262952;0.454838;0.001740;0.454841;0.001739
0.000500;-0.000064;0.000028;0.000047;0.000024;0.000113;0.000140;-0.000108;-0.000019;0.000039;0.000048;0.000016;-0.000174;3.568535;32.486271;-1.930585;4.809930;-70.209824;3.516143;0.165595;-0.185526;0.454837;0.001740;0.454840;0.001738
0.000600;-0.000097;0.000009;0.000031;0.000014;0.000093;0.000074;-0.000039;0.000002;0.000066;0.000043;0.000024;-0.000131;3.553276;32.478642;-1.945844;4.787043;-143.771103;3.490359;0.152174;-0.031718;0.454835;0.001740;0.454838;0.001738
0.000700;-0.000132;-0.000012;0.000014;-0.000003;0.000073;0.000034;0.000014;0.000029;0.000083;0.000047;0.000041;-0.000106;3.530388;32.471008;-1.964917;4.756525;-173.562302;3.200476;0.084086;0.139643;0.454832;0.001740;0.454835;0.001738
0.000800;-0.000171;-0.000033;-0.000005;-0.000030;0.000048;0.000011;0.000048;0.000051;0.000104;0.000049;0.000058;-0.000094;3.545647;32.478642;-1.953473;4.767969;-149.729401;1.465953;-0.461541;0.688561;0.454833;0.001740;0.454834;0.001739
0.000900;-0.000190;-0.000040;-0.000015;-0.000048;0.000036;0.000004;0.000064;0.000069;0.000114;0.000055;0.000066;-0.000103;3.545647;32.474831;-1.949658;4.775599;-98.855186;0.492003;-2.583754;2.675674;0.454834;0.001740;0.454835;0.001739
0.001000;-0.000216;-0.000052;-0.000027;-0.000069;0.000021;-0.000004;0.000081;0.000086;0.000126;0.000059;0.000075;-0.000103;3.545647;32.478642;-1.949658;4.775599;-81.897141;-0.869400;2.348164;-1.919041;0.454834;0.001740;0.454834;0.001739
