#timeI (float64)[1],SendToHorizontalValue__MARTE_NODE_IVO3.DataCollection.Channel_126 (float64)[1]
0.000000000000000000e+00,0.000000000000000000e+00
1.000167392032139384e-04,0.000000000000000000e+00
2.000334784064278768e-04,0.000000000000000000e+00
3.000502176096417882e-04,0.000000000000000000e+00
4.000669568128557537e-04,0.000000000000000000e+00
5.000836960160697734e-04,0.000000000000000000e+00
6.001004352192835763e-04,0.000000000000000000e+00
7.001171744224975960e-04,0.000000000000000000e+00
8.001339136257115073e-04,0.000000000000000000e+00
9.001506528289254187e-04,0.000000000000000000e+00
1.000167392032139547e-03,0.000000000000000000e+00
1.100184131235353241e-03,0.000000000000000000e+00
1.200200870438567153e-03,0.000000000000000000e+00
1.300217609641781281e-03,0.000000000000000000e+00
1.400234348844995192e-03,0.000000000000000000e+00
1.500251088048208887e-03,0.000000000000000000e+00
1.600267827251423015e-03,0.000000000000000000e+00
1.700284566454636926e-03,0.000000000000000000e+00
1.800301305657850837e-03,0.000000000000000000e+00
1.900318044861064532e-03,0.000000000000000000e+00
2.000334784064279094e-03,0.000000000000000000e+00
2.100351523267493005e-03,0.000000000000000000e+00
2.200368262470706483e-03,0.000000000000000000e+00
2.300385001673920394e-03,0.000000000000000000e+00
2.400401740877134305e-03,0.000000000000000000e+00
2.500418480080348217e-03,0.000000000000000000e+00
2.600435219283562562e-03,0.000000000000000000e+00
2.700451958486776473e-03,0.000000000000000000e+00
2.800468697689990384e-03,0.000000000000000000e+00
2.900485436893204295e-03,0.000000000000000000e+00
3.000502176096417773e-03,0.000000000000000000e+00
3.100518915299631684e-03,0.000000000000000000e+00
3.200535654502846029e-03,0.000000000000000000e+00
3.300552393706059941e-03,0.000000000000000000e+00
3.400569132909273852e-03,0.000000000000000000e+00
3.500585872112488197e-03,0.000000000000000000e+00
3.600602611315701675e-03,0.000000000000000000e+00
3.700619350518915586e-03,0.000000000000000000e+00
3.800636089722129064e-03,0.000000000000000000e+00
3.900652828925343409e-03,0.000000000000000000e+00
4.000669568128558187e-03,0.000000000000000000e+00
4.100686307331771231e-03,0.000000000000000000e+00
4.200703046534986010e-03,0.000000000000000000e+00
4.300719785738199054e-03,0.000000000000000000e+00
4.400736524941412965e-03,0.000000000000000000e+00
4.500753264144626876e-03,0.000000000000000000e+00
4.600770003347840788e-03,0.000000000000000000e+00
4.700786742551055566e-03,0.000000000000000000e+00
4.800803481754268610e-03,0.000000000000000000e+00
4.900820220957483389e-03,0.000000000000000000e+00
5.000836960160696433e-03,0.000000000000000000e+00
5.100853699363910344e-03,0.000000000000000000e+00
5.200870438567125123e-03,0.000000000000000000e+00
5.300887177770338167e-03,0.000000000000000000e+00
5.400903916973552946e-03,0.000000000000000000e+00
5.500920656176765990e-03,0.000000000000000000e+00
