#timeI (float64)[1],SendToVerticalValue__MARTE_NODE_IVO3.DataCollection.Channel_125 (float64)[1]
0.000000000000000000e+00,0.000000000000000000e+00
1.000090025207057959e-04,0.000000000000000000e+00
2.000180050414115918e-04,0.000000000000000000e+00
3.000270075621173471e-04,0.000000000000000000e+00
4.000360100828231837e-04,0.000000000000000000e+00
5.000450126035289660e-04,0.000000000000000000e+00
6.000540151242346942e-04,0.000000000000000000e+00
7.000630176449406392e-04,0.000000000000000000e+00
8.000720201656463674e-04,-6.000000000000000000e+01
9.000810226863520955e-04,-6.000000000000000000e+01
1.000090025207057932e-03,-6.000000000000000000e+01
1.100099027727763877e-03,-6.000000000000000000e+01
1.200108030248469388e-03,-6.000000000000000000e+01
1.300117032769175333e-03,-6.000000000000000000e+01
1.400126035289881278e-03,-6.000000000000000000e+01
1.500135037810587007e-03,-6.000000000000000000e+01
1.600144040331292735e-03,-6.000000000000000000e+01
1.700153042851998463e-03,-6.000000000000000000e+01
1.800162045372704191e-03,-6.000000000000000000e+01
1.900171047893410136e-03,-6.000000000000000000e+01
2.000180050414115864e-03,-6.000000000000000000e+01
2.100189052934821592e-03,-6.000000000000000000e+01
2.200198055455527754e-03,-6.000000000000000000e+01
2.300207057976233049e-03,-6.000000000000000000e+01
2.400216060496938777e-03,-6.000000000000000000e+01
2.500225063017645372e-03,-6.000000000000000000e+01
2.600234065538350667e-03,-6.000000000000000000e+01
2.700243068059056829e-03,-6.000000000000000000e+01
2.800252070579762557e-03,-6.000000000000000000e+01
2.900261073100467851e-03,-6.000000000000000000e+01
3.000270075621174013e-03,-6.000000000000000000e+01
3.100279078141879741e-03,-6.000000000000000000e+01
3.200288080662585469e-03,-6.000000000000000000e+01
3.300297083183291631e-03,-6.000000000000000000e+01
3.400306085703996926e-03,-6.000000000000000000e+01
3.500315088224702654e-03,-6.000000000000000000e+01
3.600324090745408382e-03,-6.000000000000000000e+01
3.700333093266114544e-03,-6.000000000000000000e+01
3.800342095786820272e-03,-6.000000000000000000e+01
3.900351098307526000e-03,-6.000000000000000000e+01
4.000360100828231728e-03,-6.000000000000000000e+01
4.100369103348938324e-03,-6.000000000000000000e+01
4.200378105869643185e-03,-6.000000000000000000e+01
4.300387108390348913e-03,-6.000000000000000000e+01
4.400396110911055508e-03,-6.000000000000000000e+01
4.500405113431760369e-03,-6.000000000000000000e+01
4.600414115952466097e-03,-6.000000000000000000e+01
4.700423118473172693e-03,-6.000000000000000000e+01
4.800432120993877554e-03,-6.000000000000000000e+01
4.900441123514583282e-03,-6.000000000000000000e+01
5.000450126035290745e-03,-6.000000000000000000e+01
5.100459128555995605e-03,-6.000000000000000000e+01
5.200468131076701334e-03,-6.000000000000000000e+01
5.300477133597407929e-03,-6.000000000000000000e+01
5.400486136118113657e-03,-6.000000000000000000e+01
5.500495138638818518e-03,-6.000000000000000000e+01
5.600504141159525114e-03,-6.000000000000000000e+01
