selection_group,shot,flat_top_start_ms,flat_top_end_ms,R_Magnetic_MAE_cm,R_Electric_MAE_cm,R_Fused_MAE_cm,Z_Magnetic_MAE_cm,Z_Electric_MAE_cm,Z_Fused_MAE_cm,R_Magnetic_RMSE_cm,R_Electric_RMSE_cm,R_Fused_RMSE_cm,Z_Magnetic_RMSE_cm,Z_Electric_RMSE_cm,Z_Fused_RMSE_cm,R_Magnetic_MaxAE_cm,R_Electric_MaxAE_cm,R_Fused_MaxAE_cm,Z_Magnetic_MaxAE_cm,Z_Electric_MaxAE_cm,Z_Fused_MaxAE_cm,R_Magnetic_PCC,R_Electric_PCC,R_Fused_PCC,Z_Magnetic_PCC,Z_Electric_PCC,Z_Fused_PCC
Langmuir reconstruction selection,45967,53,77,1.5382247924584567,1.66566062579179,1.547046042458457,0.7472831870548746,0.19000331565569406,0.584415270388208,1.5866344275317488,1.7507715576655223,1.6038137427107646,0.7488240098236387,0.1967703852853462,0.5862951162804765,2.6354332754652043,3.086533275465203,2.7421332754652026,0.9211497520227202,0.43444975202272024,0.7190497520227203,0.9320693554162189,0.7503593905384491,0.9261433472905212,0.556805911251624,0.09438140464732152,0.480712530689046
Langmuir reconstruction selection,46241,35,59,1.6882044109204846,2.5377932674788184,1.8981776907885304,0.06999686860178388,0.17565814117708606,0.06849134335531175,2.0505953926626974,2.944253839093529,2.2572105031337215,0.08550173292302082,0.20416216373022203,0.0944635845206209,4.019620753898145,6.001704322228663,4.473409353293956,0.2320539119914968,0.6697656253739666,0.3031050838414751,0.816501910527804,0.6010269877773036,0.8218440503871957,0.74730853155059,0.21205408092188935,0.7143666888625009
Langmuir reconstruction selection,53058,39,64,1.0790210006992875,1.1227765848803413,1.090707775035054,1.1355530025010299,0.9412399986072648,0.9683132332506436,1.309992673456091,1.3972045969594447,1.3149687479409669,1.3056481515800529,1.207084671116312,1.2062578768250483,3.1678002559997864,4.073700255999791,3.406000255999786,3.115832116289976,3.998432116289976,3.843632116289976,0.4842582227738285,0.9999963808148083,0.6526820486365521,0.15894845845968963,0.9999966902876937,0.2561593986868126
Langmuir reconstruction selection,53071,272,293,1.471526094409145,1.0845990036485595,1.3919382097580695,1.5640748916305167,1.145146036214919,1.131568505474335,1.6478746078561268,1.2548292718957674,1.553227948911739,1.76681494140726,1.3667069431890653,1.3570107143019525,3.3546864175548863,3.629660024979536,3.1213864175548833,3.8821951255894565,3.321195125589456,3.3695951255894556,0.726923268395702,0.9999973387951033,0.8085061968728028,0.0016421190672233903,0.999990933461322,0.12550692398464128
Reference reconstruction selection,48555,105,130,2.5539254110838336,3.3329294110838337,2.6135246110838333,0.6922642344356689,0.48162903443566896,1.063607434435669,2.5896836710113997,3.3633881179151497,2.6470851427173856,0.7004514449403052,0.5109902884725759,1.070166993671499,3.702515959794239,4.917727979429987,3.716615959794234,0.8616153874017809,0.7292913789883365,1.2001719768051966,0.5995525534296584,0.7195121135319982,0.631722594961041,0.9765350411859323,0.7753166951153492,0.9377195255943264
Reference reconstruction selection,48556,105,130,2.7426137570866267,2.9706373570866274,2.682145357086627,0.8548674164040926,0.6908362164040928,1.2382726164040925,2.862958757272572,3.0921852126814224,2.804090193541073,0.8812643857575914,0.7648296495865065,1.262100719275274,4.654344313407332,5.113054942030438,4.432063203225988,1.1864634836318464,1.173567121366736,1.609867121366736,0.5492978510741723,0.6333760127999901,0.5720137661906913,0.9501595026463802,0.05332023084315116,0.8851894454826937
Reference reconstruction selection,48561,104,128,2.714067814870302,2.880661148203635,2.635168231536968,0.834771233503043,0.6916868209250139,1.223378733503043,2.8407693896742647,3.0015303639140862,2.7643252259408704,0.8573570458370144,0.7592597904090095,1.2421137138547913,4.65902258630963,4.43825999086,4.500222586309633,1.1771623299766893,1.2339088141654946,1.5439088141654946,0.37813368006090425,0.4778868218821551,0.39355281875708853,0.9842324929941418,0.3335721177481209,0.9465384482719036
Reference reconstruction selection,48563,103,127,2.1170078471960494,2.1845266829180647,2.01809284719605,0.8057150197006676,0.562308463831446,1.1816475197006677,2.3504706670603124,2.407235934082843,2.2550045928760856,0.8545151173059945,0.6958925387738968,1.2229460658917986,4.53402937536655,3.918422887491124,4.09602937536655,1.239932571047187,1.177432571047187,1.6636325710471869,0.3588058605128054,0.6770513421974773,0.43673877535630967,0.9583153628225209,0.1296463434159748,0.8969455272976781
