#MdsTime (uint32)[1];correctedMirnov0 (float32)[1];correctedMirnov1 (float32)[1];correctedMirnov2 (float32)[1];correctedMirnov3 (float32)[1];correctedMirnov4 (float32)[1];correctedMirnov5 (float32)[1];correctedMirnov6 (float32)[1];correctedMirnov7 (float32)[1];correctedMirnov8 (float32)[1];correctedMirnov9 (float32)[1];correctedMirnov10 (float32)[1];correctedMirnov11 (float32)[1]
3899;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.193054;129108.285903;135111.176967;-14059.700965;36323.556900;12037.085294
3999;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.202590;129108.285903;135111.176967;-14059.700965;36323.556900;12037.087678
4099;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.202590;129108.297348;135111.176967;-14059.700012;36323.554515;12037.090063
4199;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.202590;129108.297348;135111.176967;-14059.700012;36323.554515;12037.092447
4299;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.202590;129108.297348;135111.176967;-14059.700012;36323.554515;12037.094831
4399;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.297348;135111.176967;-14059.700012;36323.549747;12037.096023
4499;-17431.662082;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.297348;135111.176967;-14059.698581;36323.549747;12037.098407
4599;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.297348;135111.176967;-14059.698581;36323.544979;12037.100791
4699;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.297348;135111.176967;-14059.698581;36323.544979;12037.103176
4800;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.309745;135111.176967;-14059.697151;36323.544979;12037.105560
4900;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.309745;135111.176967;-14059.697151;36323.544979;12037.105560
5000;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.212127;129108.309745;135111.176967;-14059.697151;36323.544979;12037.109136
5100;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.221664;129108.309745;135111.176967;-14059.696197;36323.542594;12037.111520
5200;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.221664;129108.309745;135111.176967;-14059.696197;36323.542594;12037.112712
5300;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.221664;129108.309745;135111.176967;-14059.696197;36323.542594;12037.116289
5400;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.221664;129108.309745;135111.176967;-14059.696197;36323.537826;12037.116289
5500;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.231201;129108.309745;135111.176967;-14059.695243;36323.537826;12037.118673
5600;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.231201;129108.309745;135111.176967;-14059.695243;36323.537826;12037.122249
5700;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.231201;129108.309745;135111.176967;-14059.695243;36323.533058;12037.123441
5800;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.231201;129108.309745;135111.176967;-14059.692382;36323.533058;12037.125825
5900;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.240737;129108.309745;135111.176967;-14059.692382;36323.530673;12037.128210
6000;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.240737;129108.309745;135111.176967;-14059.692382;36323.530673;12037.129402
6100;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.240737;129108.309745;135111.176967;-14059.692382;36323.530673;12037.131786
6200;-17431.662082;-35627.651214;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.240737;129108.309745;135111.176967;-14059.692382;36323.530673;12037.134170
6300;-17431.662082;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.250274;129108.322143;135111.176967;-14059.692382;36323.530673;12037.136554
6400;-17431.662082;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.250274;129108.322143;135111.176967;-14059.691429;36323.525905;12037.137746
6500;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.250274;129108.322143;135111.176967;-14059.691429;36323.525905;12037.140130
6600;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.259811;129108.322143;135111.176967;-14059.691429;36323.525905;12037.142515
6700;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.259811;129108.322143;135111.176967;-14059.691429;36323.523521;12037.143707
6800;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.259811;129108.322143;135111.176967;-14059.689044;36323.523521;12037.147283
6900;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.259811;129108.322143;135111.176967;-14059.689044;36323.523521;12037.148475
7000;-17431.663513;-35627.646446;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.269348;129108.322143;135111.176967;-14059.689044;36323.518753;12037.149667
7100;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.269348;129108.322143;135111.176967;-14059.687614;36323.518753;12037.152051
7200;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.269348;129108.322143;135111.176967;-14059.687614;36323.513984;12037.154436
7300;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.269348;129108.322143;135111.176967;-14059.687614;36323.513984;12037.156820
7400;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.278884;129108.322143;135111.176967;-14059.686660;36323.513984;12037.158012
7500;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.401260;-86968.278884;129108.322143;135111.176967;-14059.686660;36323.511600;12037.160396
7600;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.278884;129108.322143;135111.176967;-14059.686660;36323.511600;12037.162780
7700;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.278884;129108.333587;135111.176967;-14059.685707;36323.511600;12037.165164
7800;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.288421;129108.333587;135111.176967;-14059.685707;36323.511600;12037.167549
7900;-17431.663513;-35627.644062;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.288421;129108.333587;135111.176967;-14059.685707;36323.511600;12037.168741
8000;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.288421;129108.333587;135111.176967;-14059.685707;36323.506832;12037.171125
8100;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.288421;129108.333587;135111.176967;-14059.684276;36323.506832;12037.173509
8200;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.333587;135111.176967;-14059.684276;36323.506832;12037.175893
8300;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.333587;135111.176967;-14059.684276;36323.502063;12037.177085
8400;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.333587;135111.176967;-14059.682846;36323.502063;12037.179470
8500;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.345031;135111.176967;-14059.682846;36323.499679;12037.181854
8600;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.345031;135111.176967;-14059.682846;36323.499679;12037.183046
8700;-17431.663513;-35627.639293;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.345031;135111.176967;-14059.681892;36323.499679;12037.186622
8800;-17431.663513;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.297958;129108.345031;135111.176967;-14059.681892;36323.494911;12037.187814
8900;-17431.663513;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.307495;129108.345031;135111.176967;-14059.681892;36323.494911;12037.189006
9000;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.307495;129108.345031;135111.176967;-14059.681892;36323.494911;12037.192583
9100;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.307495;129108.345031;135111.176967;-14059.680938;36323.494911;12037.193775
9200;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.410797;-86968.307495;129108.357429;135111.176967;-14059.680938;36323.494911;12037.196159
9300;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.317031;129108.357429;135111.176967;-14059.680938;36323.490142;12037.198543
9399;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.317031;129108.357429;135111.176967;-14059.679508;36323.490142;12037.199735
9499;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.317031;129108.357429;135111.176967;-14059.679508;36323.490142;12037.202119
9599;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.317031;129108.357429;135111.176967;-14059.679508;36323.487758;12037.204504
9699;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.326568;129108.357429;135111.176967;-14059.678077;36323.487758;12037.206888
9799;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.326568;129108.357429;135111.176967;-14059.678077;36323.482990;12037.209272
9899;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.326568;129108.357429;135111.176967;-14059.678077;36323.482990;12037.210464
9999;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.336105;129108.357429;135111.176967;-14059.676170;36323.482990;12037.212848
10099;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.336105;129108.357429;135111.176967;-14059.676170;36323.480606;12037.214040
10199;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.336105;129108.357429;135111.176967;-14059.676170;36323.480606;12037.217617
10299;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.336105;129108.357429;135111.176967;-14059.676170;36323.475837;12037.220001
10399;-17431.665420;-35627.636909;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.357429;135111.176967;-14059.676170;36323.475837;12037.220001
10499;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.357429;135111.176967;-14059.676170;36323.475837;12037.223577
10599;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.357429;135111.176967;-14059.676170;36323.475837;12037.224769
10699;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.369827;135111.176967;-14059.674739;36323.475837;12037.227153
10799;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.369827;135111.176967;-14059.674739;36323.475837;12037.230730
10899;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.420333;-86968.345642;129108.369827;135111.176967;-14059.674739;36323.471069;12037.230730
10999;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.345642;129108.369827;135111.176967;-14059.672355;36323.471069;12037.233114
11099;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.345642;129108.369827;135111.176967;-14059.672355;36323.468685;12037.235498
11199;-17431.665420;-35627.632141;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.355178;129108.369827;135111.176967;-14059.672355;36323.468685;12037.237882
11299;-17431.665420;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.355178;129108.369827;135111.176967;-14059.671401;36323.468685;12037.240266
11399;-17431.665420;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.355178;129108.369827;135111.176967;-14059.671401;36323.463916;12037.241458
11499;-17431.665420;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.364715;129108.369827;135111.176967;-14059.671401;36323.463916;12037.243843
11599;-17431.668281;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.364715;129108.369827;135111.176967;-14059.671401;36323.463916;12037.246227
11699;-17431.668281;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.364715;129108.369827;135111.176967;-14059.669971;36323.459148;12037.248611
11799;-17431.668281;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.364715;129108.369827;135111.176967;-14059.669971;36323.459148;12037.250995
11899;-17431.668281;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.374252;129108.369827;135111.176967;-14059.669971;36323.456764;12037.252187
11999;-17431.668281;-35627.627372;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.374252;129108.369827;135111.176967;-14059.668540;36323.456764;12037.254571
12099;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.374252;129108.381271;135111.176967;-14059.668540;36323.456764;12037.256956
12199;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.374252;129108.381271;135111.176967;-14059.668540;36323.456764;12037.258148
12299;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.383789;129108.381271;135111.176967;-14059.667587;36323.456764;12037.261724
12399;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.383789;129108.381271;135111.176967;-14059.667587;36323.451995;12037.262916
12499;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.383789;129108.381271;135111.176967;-14059.667587;36323.451995;12037.264108
12599;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.429870;-86968.383789;129108.381271;135111.176967;-14059.667587;36323.451995;12037.267684
12699;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.383789;129108.381271;135111.176967;-14059.666633;36323.447227;12037.268877
12799;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.383789;129108.381271;135111.176967;-14059.666633;36323.447227;12037.271261
12899;-17431.668281;-35627.624988;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.383789;129108.392715;135111.176967;-14059.666633;36323.447227;12037.273645
12999;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.383789;129108.392715;135111.176967;-14059.665203;36323.444843;12037.274837
13099;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.393325;129108.392715;135111.176967;-14059.665203;36323.444843;12037.277221
13199;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.393325;129108.392715;135111.176967;-14059.665203;36323.440074;12037.279605
13299;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.393325;129108.392715;135111.176967;-14059.663772;36323.440074;12037.281990
13399;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.402862;129108.392715;135111.176967;-14059.663772;36323.440074;12037.283182
13499;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.402862;129108.392715;135111.176967;-14059.663772;36323.440074;12037.285566
13599;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.402862;129108.392715;135111.176967;-14059.662818;36323.440074;12037.287950
13699;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.402862;129108.392715;135111.176967;-14059.662818;36323.437690;12037.289142
13799;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.362640;-89523.439407;-86968.412399;129108.392715;135111.176967;-14059.662818;36323.437690;12037.292718
13899;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.412399;129108.392715;135111.176967;-14059.662818;36323.437690;12037.293910
13999;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.412399;129108.392715;135111.176967;-14059.661865;36323.432922;12037.295103
14099;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.412399;129108.392715;135111.176967;-14059.661865;36323.432922;12037.298679
14199;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.421936;129108.392715;135111.176967;-14059.661865;36323.432922;12037.301063
14299;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.421936;129108.405113;135111.200809;-14059.659004;36323.428153;12037.302255
14399;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.421936;129108.405113;135111.200809;-14059.659004;36323.428153;12037.304639
14499;-17431.668281;-35627.620220;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.421936;129108.405113;135111.200809;-14059.659004;36323.425769;12037.305831
14599;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.405113;135111.200809;-14059.659004;36323.425769;12037.308216
14699;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.405113;135111.200809;-14059.659004;36323.425769;12037.311792
14799;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.405113;135111.200809;-14059.659004;36323.421001;12037.312984
14899;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.405113;135111.200809;-14059.659004;36323.421001;12037.314176
14999;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.405113;135111.200809;-14059.658050;36323.421001;12037.316560
15099;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.417510;135111.200809;-14059.658050;36323.421001;12037.318944
15199;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.431472;129108.417510;135111.200809;-14059.658050;36323.421001;12037.321329
15299;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.441009;129108.417510;135111.200809;-14059.655666;36323.416233;12037.323713
15399;-17431.668281;-35627.615451;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.441009;129108.417510;135111.200809;-14059.655666;36323.416233;12037.324905
15499;-17431.668281;-35627.613067;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.441009;129108.417510;135111.200809;-14059.655666;36323.416233;12037.327289
15599;-17431.668281;-35627.613067;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.441009;129108.417510;135111.200809;-14059.654235;36323.413848;12037.329673
15699;-17431.668281;-35627.613067;-94372.024536;-138722.789764;-161819.386482;-89523.439407;-86968.450546;129108.417510;135111.200809;-14059.654235;36323.413848;12037.332057
15799;-17431.668281;-35627.613067;-94372.024536;-138722.812652;-161819.386482;-89523.439407;-86968.450546;129108.417510;135111.200809;-14059.654235;36323.409080;12037.333250
15899;-17431.668281;-35627.613067;-94372.024536;-138722.812652;-161819.386482;-89523.439407;-86968.450546;129108.417510;135111.200809;-14059.654235;36323.409080;12037.335634
15999;-17431.668281;-35627.613067;-94372.024536;-138722.812652;-161819.386482;-89523.439407;-86968.450546;129108.417510;135111.200809;-14059.654235;36323.409080;12037.338018
