#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1]
-0.001000;0;0;0;0;0;0;0;0;0;0;0;0;0.005956;0.458672;-0.022350
-0.000900;0;0;0;0;0;0;0;0;0;0;0;0;0.005956;0.458672;-0.022350
-0.000800;0;0;0;0;0;0;0;0;0;0;0;0;0.005867;0.459155;-0.022737
-0.000700;0;0;0;0;0;0;0;0;0;0;0;0;0.005873;0.459170;-0.023213
-0.000600;0;0;0;0;0;0;0;0;0;0;0;0;0.005946;0.458455;-0.022319
-0.000500;0;0;0;0;0;0;0;0;0;0;0;0;0.005906;0.459243;-0.022441
-0.000400;0;0;0;0;0;0;0;0;0;0;0;0;0.005875;0.458871;-0.022298
-0.000300;0;0;0;0;0;0;0;0;0;0;0;0;0.005928;0.458969;-0.022328
-0.000200;0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN
-0.000100;0.000001;0.000002;0.000001;-0.000003;-0.000001;0.000011;-0.000012;-0.000003;-0.000002;0.000001;0;-0.000008;-0.502625;0.469729;-0.079099
0;0.000001;0.000005;0.000002;-0.000007;0;0.000025;-0.000028;-0.000007;-0.000004;0.000003;-0.000001;-0.000017;-1.090919;0.473660;-0.080092
0.000100;-0.000064;-0.000008;0.000001;-0.000031;0.000004;0.000028;-0.000020;0.000013;0.000046;0.000051;0.000037;-0.000015;1.561842;0.307452;-0.377783
0.000200;-0.000124;-0.000026;-0.000007;-0.000045;0.000008;0.000033;-0.000013;0.000026;0.000075;0.000081;0.000063;-0.000019;2.088694;0.211936;-0.507270
0.000300;-0.000162;-0.000042;-0.000016;-0.000055;0.000008;0.000040;-0.000012;0.000034;0.000086;0.000093;0.000078;-0.000019;1.340413;-0.065692;-0.998868
0.000400;-0.000188;-0.000054;-0.000019;-0.000051;0.000017;0.000038;-0.000004;0.000036;0.000095;0.000098;0.000088;-0.000009;1.848357;0.015551;-0.796948
0.000500;-0.000215;-0.000070;-0.000025;-0.000048;0.000021;0.000029;0.000016;0.000045;0.000104;0.000107;0.000101;0.000009;2.853803;0.130616;-0.595872
0.000600;-0.000233;-0.000082;-0.000031;-0.000047;0.000021;0.000014;0.000038;0.000053;0.000115;0.000109;0.000110;0.000021;3.429192;0.159780;-0.555030
0.000700;-0.000252;-0.000095;-0.000038;-0.000046;0.000022;-0.000001;0.000064;0.000066;0.000126;0.000118;0.000120;0.000032;4.565030;0.209796;-0.471103
0.000800;-0.000269;-0.000109;-0.000045;-0.000046;0.000021;-0.000016;0.000090;0.000078;0.000136;0.000122;0.000128;0.000045;5.236884;0.222078;-0.455015
0.000900;-0.000279;-0.000114;-0.000053;-0.000056;0.000012;-0.000022;0.000103;0.000093;0.000145;0.000132;0.000134;0.000033;4.964381;0.185441;-0.527661
0.001000;-0.000295;-0.000124;-0.000065;-0.000070;0;-0.000027;0.000115;0.000107;0.000156;0.000139;0.000141;0.000026;4.059569;0.094641;-0.716869
